CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.128906 1764017648.0084
MEM 32.398438 1764017648.1086
MEM 52.089844 1764017648.2089
MEM 69.511719 1764017648.3091
MEM 84.500000 1764017648.4094
MEM 91.964844 1764017648.5097
MEM 97.339844 1764017648.6099
MEM 102.101562 1764017648.7102
MEM 102.726562 1764017648.8105
MEM 105.976562 1764017648.9108
MEM 106.101562 1764017649.0110
MEM 106.226562 1764017649.1112
MEM 106.351562 1764017649.2114
MEM 106.351562 1764017649.3117
MEM 106.351562 1764017649.4119
MEM 106.351562 1764017649.5122
MEM 106.351562 1764017649.6124
MEM 106.351562 1764017649.7126
MEM 106.351562 1764017649.8128
MEM 106.351562 1764017649.9130
MEM 106.351562 1764017650.0132
MEM 106.351562 1764017650.1135
MEM 106.351562 1764017650.2137
MEM 106.351562 1764017650.3139
MEM 106.351562 1764017650.4142
MEM 106.476562 1764017650.5144
MEM 106.476562 1764017650.6146
MEM 106.476562 1764017650.7152
MEM 106.476562 1764017650.8155
MEM 106.476562 1764017650.9157
MEM 106.476562 1764017651.0159
MEM 106.476562 1764017651.1162
MEM 106.476562 1764017651.2164
MEM 106.476562 1764017651.3166
MEM 106.476562 1764017651.4168
MEM 106.476562 1764017651.5171
MEM 106.476562 1764017651.6174
MEM 106.476562 1764017651.7176
MEM 106.476562 1764017651.8178
MEM 106.476562 1764017651.9180
MEM 106.476562 1764017652.0183
MEM 106.476562 1764017652.1185
MEM 106.476562 1764017652.2187
MEM 106.476562 1764017652.3189
MEM 106.476562 1764017652.4192
MEM 106.476562 1764017652.5194
MEM 106.476562 1764017652.6196
MEM 106.476562 1764017652.7198
MEM 106.476562 1764017652.8201
MEM 106.476562 1764017652.9203
MEM 106.476562 1764017653.0205
MEM 106.476562 1764017653.1208
MEM 106.476562 1764017653.2210
MEM 106.476562 1764017653.3213
MEM 106.476562 1764017653.4215
MEM 106.476562 1764017653.5217
MEM 106.476562 1764017653.6220
MEM 106.476562 1764017653.7222
MEM 106.476562 1764017653.8225
MEM 106.476562 1764017653.9227
MEM 106.476562 1764017654.0229
MEM 106.476562 1764017654.1232
MEM 106.476562 1764017654.2234
MEM 106.476562 1764017654.3237
MEM 106.476562 1764017654.4239
MEM 106.476562 1764017654.5242
MEM 106.476562 1764017654.6244
MEM 106.476562 1764017654.7246
