CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.156250 1764018049.1270
MEM 32.636719 1764018049.2289
MEM 51.964844 1764018049.3291
MEM 69.394531 1764018049.4293
MEM 84.441406 1764018049.5296
MEM 91.750000 1764018049.6299
MEM 97.375000 1764018049.7301
MEM 102.281250 1764018049.8305
MEM 103.031250 1764018049.9308
MEM 106.281250 1764018050.0311
MEM 106.281250 1764018050.1314
MEM 106.531250 1764018050.2318
MEM 106.531250 1764018050.3321
MEM 106.656250 1764018050.4324
MEM 106.656250 1764018050.5327
MEM 106.656250 1764018050.6331
MEM 106.656250 1764018050.7334
MEM 106.656250 1764018050.8337
MEM 106.656250 1764018050.9340
MEM 106.656250 1764018051.0343
MEM 106.656250 1764018051.1346
MEM 106.656250 1764018051.2349
MEM 106.656250 1764018051.3352
MEM 106.656250 1764018051.4355
MEM 106.656250 1764018051.5358
MEM 106.656250 1764018051.6361
MEM 106.656250 1764018051.7365
MEM 106.656250 1764018051.8371
MEM 106.656250 1764018051.9374
MEM 106.656250 1764018052.0377
MEM 106.656250 1764018052.1380
MEM 106.656250 1764018052.2383
MEM 106.656250 1764018052.3385
MEM 106.656250 1764018052.4389
MEM 106.656250 1764018052.5393
MEM 106.656250 1764018052.6396
MEM 106.656250 1764018052.7400
MEM 106.656250 1764018052.8403
MEM 106.656250 1764018052.9407
MEM 106.656250 1764018053.0410
MEM 106.656250 1764018053.1413
MEM 106.656250 1764018053.2416
MEM 106.656250 1764018053.3419
MEM 106.656250 1764018053.4422
MEM 106.656250 1764018053.5425
MEM 106.656250 1764018053.6429
MEM 106.656250 1764018053.7432
MEM 106.656250 1764018053.8435
MEM 106.656250 1764018053.9438
MEM 106.656250 1764018054.0442
MEM 106.656250 1764018054.1445
MEM 106.656250 1764018054.2449
MEM 106.656250 1764018054.3452
MEM 106.656250 1764018054.4455
MEM 106.656250 1764018054.5458
MEM 106.656250 1764018054.6461
MEM 106.656250 1764018054.7465
MEM 106.656250 1764018054.8468
MEM 106.656250 1764018054.9471
MEM 106.656250 1764018055.0473
MEM 106.656250 1764018055.1477
MEM 106.656250 1764018055.2480
MEM 106.656250 1764018055.3483
MEM 106.656250 1764018055.4487
MEM 106.656250 1764018055.5490
MEM 106.656250 1764018055.6493
MEM 106.656250 1764018055.7496
MEM 106.656250 1764018055.8499
MEM 106.656250 1764018055.9502
MEM 106.656250 1764018056.0505
MEM 106.656250 1764018056.1509
MEM 106.656250 1764018056.2512
MEM 106.656250 1764018056.3515
MEM 106.656250 1764018056.4518
MEM 106.656250 1764018056.5521
MEM 106.656250 1764018056.6527
MEM 106.656250 1764018056.7531
MEM 106.656250 1764018056.8534
MEM 106.656250 1764018056.9536
MEM 106.656250 1764018057.0539
