CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1764089471.4326
MEM 26.429688 1764089471.5328
MEM 30.023438 1764089471.6331
MEM 32.714844 1764089471.7334
MEM 32.714844 1764089471.8337
MEM 32.964844 1764089471.9340
MEM 36.003906 1764089472.0343
MEM 43.472656 1764089472.1357
MEM 49.238281 1764089472.2359
MEM 53.117188 1764089472.3362
MEM 56.929688 1764089472.4365
MEM 57.054688 1764089472.5368
MEM 58.089844 1764089472.6372
MEM 63.628906 1764089472.7375
MEM 71.738281 1764089472.8377
MEM 72.449219 1764089472.9380
MEM 77.863281 1764089473.0383
MEM 83.195312 1764089473.1386
MEM 84.039062 1764089473.2389
MEM 84.605469 1764089473.3392
MEM 85.890625 1764089473.4395
MEM 86.890625 1764089473.5398
MEM 89.003906 1764089473.6401
MEM 91.515625 1764089473.7404
MEM 93.339844 1764089473.8407
MEM 94.855469 1764089473.9411
MEM 96.328125 1764089474.0414
MEM 103.578125 1764089474.1417
MEM 106.156250 1764089474.2419
MEM 106.156250 1764089474.3422
MEM 106.734375 1764089474.4425
MEM 106.734375 1764089474.5428
MEM 106.734375 1764089474.6431
MEM 107.148438 1764089474.7434
MEM 110.824219 1764089474.8437
MEM 112.074219 1764089474.9440
MEM 116.074219 1764089475.0443
MEM 118.449219 1764089475.1446
MEM 119.199219 1764089475.2449
MEM 119.324219 1764089475.3452
MEM 119.699219 1764089475.4456
MEM 120.449219 1764089475.5459
MEM 123.574219 1764089475.6462
MEM 123.824219 1764089475.7465
MEM 123.949219 1764089475.8468
MEM 123.949219 1764089475.9472
MEM 123.949219 1764089476.0475
MEM 122.136719 1764089476.1478
MEM 121.152344 1764089476.2481
