CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.128906 1765219229.6041
MEM 33.238281 1765219229.7058
MEM 53.625000 1765219229.8060
MEM 69.972656 1765219229.9063
MEM 84.914062 1765219230.0065
MEM 91.550781 1765219230.1068
MEM 97.050781 1765219230.2070
MEM 102.089844 1765219230.3072
MEM 102.714844 1765219230.4074
MEM 103.589844 1765219230.5077
MEM 103.589844 1765219230.6079
MEM 103.589844 1765219230.7081
MEM 103.589844 1765219230.8083
MEM 103.589844 1765219230.9086
MEM 103.589844 1765219231.0088
MEM 103.589844 1765219231.1090
MEM 103.589844 1765219231.2092
MEM 103.589844 1765219231.3094
MEM 103.589844 1765219231.4096
MEM 103.589844 1765219231.5099
MEM 103.589844 1765219231.6101
MEM 103.589844 1765219231.7103
MEM 103.589844 1765219231.8105
MEM 103.589844 1765219231.9107
MEM 103.589844 1765219232.0110
MEM 103.589844 1765219232.1112
MEM 103.589844 1765219232.2114
MEM 103.589844 1765219232.3116
MEM 103.589844 1765219232.4118
MEM 103.589844 1765219232.5120
MEM 103.589844 1765219232.6122
MEM 103.589844 1765219232.7124
MEM 103.589844 1765219232.8127
MEM 103.589844 1765219232.9129
MEM 103.589844 1765219233.0131
MEM 103.589844 1765219233.1133
MEM 103.714844 1765219233.2135
MEM 103.714844 1765219233.3137
MEM 103.714844 1765219233.4140
MEM 103.714844 1765219233.5142
MEM 103.714844 1765219233.6144
MEM 103.714844 1765219233.7146
MEM 103.714844 1765219233.8148
MEM 103.714844 1765219233.9150
MEM 103.714844 1765219234.0153
MEM 103.714844 1765219234.1155
MEM 103.714844 1765219234.2157
MEM 103.714844 1765219234.3159
MEM 103.714844 1765219234.4161
MEM 103.714844 1765219234.5164
MEM 103.714844 1765219234.6166
MEM 103.714844 1765219234.7168
MEM 103.714844 1765219234.8170
MEM 103.714844 1765219234.9173
MEM 103.714844 1765219235.0174
MEM 103.714844 1765219235.1177
MEM 103.714844 1765219235.2179
MEM 103.714844 1765219235.3181
MEM 103.714844 1765219235.4183
MEM 103.714844 1765219235.5185
MEM 103.839844 1765219235.6188
MEM 103.839844 1765219235.7190
MEM 103.839844 1765219235.8192
MEM 103.839844 1765219235.9194
MEM 103.839844 1765219236.0196
MEM 103.839844 1765219236.1198
MEM 103.839844 1765219236.2200
MEM 103.839844 1765219236.3203
MEM 103.839844 1765219236.4205
MEM 103.839844 1765219236.5207
MEM 103.839844 1765219236.6209
MEM 103.839844 1765219236.7211
MEM 103.839844 1765219236.8214
MEM 103.839844 1765219236.9216
MEM 103.839844 1765219237.0218
MEM 103.964844 1765219237.1220
MEM 103.964844 1765219237.2222
MEM 103.964844 1765219237.3224
MEM 103.964844 1765219237.4227
MEM 103.964844 1765219237.5229
MEM 103.964844 1765219237.6231
MEM 103.964844 1765219237.7233
MEM 103.964844 1765219237.8235
MEM 103.964844 1765219237.9238
MEM 103.964844 1765219238.0240
MEM 103.964844 1765219238.1242
MEM 103.964844 1765219238.2244
MEM 103.964844 1765219238.3246
MEM 103.964844 1765219238.4248
MEM 103.964844 1765219238.5250
MEM 104.089844 1765219238.6253
MEM 104.089844 1765219238.7255
MEM 104.089844 1765219238.8257
MEM 104.089844 1765219238.9259
MEM 104.089844 1765219239.0261
MEM 104.089844 1765219239.1264
MEM 104.089844 1765219239.2267
