CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.128906 1767638294.0095
MEM 26.652344 1767638294.1097
MEM 28.265625 1767638294.2100
MEM 29.851562 1767638294.3103
MEM 30.476562 1767638294.4105
MEM 32.984375 1767638294.5108
MEM 33.109375 1767638294.6111
MEM 33.988281 1767638294.7114
MEM 35.792969 1767638294.8116
MEM 43.953125 1767638294.9134
MEM 46.546875 1767638295.0136
MEM 50.695312 1767638295.1139
MEM 56.878906 1767638295.2141
MEM 57.003906 1767638295.3144
MEM 57.003906 1767638295.4147
MEM 57.003906 1767638295.5150
MEM 57.003906 1767638295.6153
MEM 60.566406 1767638295.7155
MEM 70.058594 1767638295.8158
MEM 70.906250 1767638295.9161
MEM 71.828125 1767638296.0164
MEM 82.703125 1767638296.1167
MEM 84.062500 1767638296.2170
MEM 84.687500 1767638296.3173
MEM 84.687500 1767638296.4176
MEM 84.687500 1767638296.5179
MEM 84.687500 1767638296.6182
MEM 84.812500 1767638296.7185
MEM 85.789062 1767638296.8188
MEM 86.664062 1767638296.9191
MEM 88.902344 1767638297.0194
MEM 91.554688 1767638297.1197
MEM 94.695312 1767638297.2200
MEM 96.363281 1767638297.3203
MEM 101.171875 1767638297.4206
MEM 106.250000 1767638297.5208
MEM 106.250000 1767638297.6211
MEM 106.828125 1767638297.7214
MEM 106.828125 1767638297.8217
MEM 106.828125 1767638297.9219
MEM 106.828125 1767638298.0222
MEM 106.828125 1767638298.1226
MEM 106.828125 1767638298.2228
MEM 107.250000 1767638298.3231
MEM 107.250000 1767638298.4234
MEM 107.250000 1767638298.5237
MEM 107.250000 1767638298.6239
MEM 107.250000 1767638298.7242
MEM 107.250000 1767638298.8244
MEM 107.250000 1767638298.9247
MEM 107.250000 1767638299.0250
MEM 107.250000 1767638299.1253
MEM 107.250000 1767638299.2256
MEM 107.250000 1767638299.3258
MEM 108.316406 1767638299.4261
MEM 112.191406 1767638299.5264
MEM 113.441406 1767638299.6267
MEM 118.066406 1767638299.7269
MEM 118.691406 1767638299.8273
MEM 119.191406 1767638299.9275
MEM 119.316406 1767638300.0278
MEM 119.941406 1767638300.1281
MEM 122.441406 1767638300.2285
MEM 123.691406 1767638300.3287
MEM 123.816406 1767638300.4290
MEM 123.941406 1767638300.5294
MEM 123.941406 1767638300.6296
MEM 123.941406 1767638300.7300
MEM 120.679688 1767638300.8303
