CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.140625 1767638303.7247
MEM 32.386719 1767638303.8250
MEM 40.132812 1767638303.9253
MEM 64.226562 1767638304.0256
MEM 77.453125 1767638304.1259
MEM 89.285156 1767638304.2262
MEM 95.925781 1767638304.3265
MEM 101.691406 1767638304.4268
MEM 102.820312 1767638304.5271
MEM 103.695312 1767638304.6274
MEM 103.695312 1767638304.7277
MEM 103.695312 1767638304.8280
MEM 103.695312 1767638304.9283
MEM 103.695312 1767638305.0286
MEM 103.695312 1767638305.1289
MEM 103.695312 1767638305.2292
MEM 103.695312 1767638305.3294
MEM 103.695312 1767638305.4297
MEM 103.695312 1767638305.5299
MEM 103.695312 1767638305.6302
MEM 103.695312 1767638305.7305
MEM 103.695312 1767638305.8308
MEM 103.695312 1767638305.9311
MEM 103.695312 1767638306.0314
MEM 103.695312 1767638306.1317
MEM 103.695312 1767638306.2320
MEM 103.695312 1767638306.3323
MEM 103.695312 1767638306.4325
MEM 103.695312 1767638306.5328
MEM 103.695312 1767638306.6331
MEM 103.695312 1767638306.7334
MEM 103.695312 1767638306.8337
MEM 103.695312 1767638306.9339
MEM 103.695312 1767638307.0343
MEM 103.695312 1767638307.1345
MEM 103.695312 1767638307.2348
MEM 103.695312 1767638307.3351
MEM 103.695312 1767638307.4354
MEM 103.695312 1767638307.5357
MEM 103.695312 1767638307.6360
MEM 103.695312 1767638307.7362
MEM 103.695312 1767638307.8365
MEM 103.695312 1767638307.9368
MEM 103.695312 1767638308.0371
MEM 103.695312 1767638308.1374
MEM 103.695312 1767638308.2377
MEM 103.695312 1767638308.3380
MEM 103.695312 1767638308.4384
MEM 103.695312 1767638308.5387
MEM 103.695312 1767638308.6389
MEM 103.695312 1767638308.7392
MEM 103.695312 1767638308.8395
MEM 103.695312 1767638308.9398
MEM 103.820312 1767638309.0401
MEM 103.820312 1767638309.1404
MEM 103.820312 1767638309.2407
MEM 103.820312 1767638309.3410
MEM 103.820312 1767638309.4413
MEM 103.820312 1767638309.5415
MEM 103.820312 1767638309.6418
MEM 103.820312 1767638309.7421
MEM 103.820312 1767638309.8424
MEM 103.820312 1767638309.9427
MEM 103.820312 1767638310.0430
MEM 103.820312 1767638310.1433
MEM 103.820312 1767638310.2436
MEM 103.820312 1767638310.3439
MEM 103.820312 1767638310.4441
MEM 103.820312 1767638310.5444
MEM 103.945312 1767638310.6447
MEM 103.945312 1767638310.7450
MEM 103.945312 1767638310.8453
MEM 103.945312 1767638310.9455
MEM 103.945312 1767638311.0458
MEM 103.945312 1767638311.1461
MEM 103.945312 1767638311.2464
MEM 103.945312 1767638311.3466
MEM 103.945312 1767638311.4468
MEM 103.945312 1767638311.5471
MEM 103.945312 1767638311.6474
MEM 103.945312 1767638311.7476
MEM 103.945312 1767638311.8479
MEM 103.945312 1767638311.9483
MEM 103.945312 1767638312.0486
MEM 104.070312 1767638312.1488
MEM 104.070312 1767638312.2491
MEM 104.070312 1767638312.3494
MEM 104.070312 1767638312.4497
MEM 104.070312 1767638312.5501
MEM 104.070312 1767638312.6504
MEM 104.070312 1767638312.7507
MEM 104.070312 1767638312.8510
MEM 104.070312 1767638312.9513
MEM 104.070312 1767638313.0516
MEM 104.070312 1767638313.1519
MEM 104.070312 1767638313.2521
MEM 103.214844 1767638313.3525
