CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.152344 1767632017.5190
MEM 26.781250 1767632017.6192
MEM 29.308594 1767632017.7195
MEM 30.160156 1767632017.8197
MEM 32.843750 1767632017.9199
MEM 33.093750 1767632018.0201
MEM 36.023438 1767632018.1203
MEM 43.660156 1767632018.2225
MEM 44.371094 1767632018.3226
MEM 49.625000 1767632018.4228
MEM 51.691406 1767632018.5230
MEM 57.218750 1767632018.6232
MEM 62.468750 1767632018.7235
MEM 71.296875 1767632018.8237
MEM 72.144531 1767632018.9239
MEM 73.574219 1767632019.0241
MEM 84.382812 1767632019.1244
MEM 84.222656 1767632019.2247
MEM 84.347656 1767632019.3249
MEM 85.289062 1767632019.4251
MEM 87.074219 1767632019.5253
MEM 87.546875 1767632019.6255
MEM 89.062500 1767632019.7257
MEM 91.730469 1767632019.8259
MEM 94.871094 1767632019.9262
MEM 95.664062 1767632020.0265
MEM 102.191406 1767632020.1267
MEM 106.414062 1767632020.2269
MEM 106.414062 1767632020.3271
MEM 106.863281 1767632020.4274
MEM 106.863281 1767632020.5276
MEM 106.863281 1767632020.6278
MEM 107.042969 1767632020.7280
MEM 107.042969 1767632020.8282
MEM 107.042969 1767632020.9284
MEM 107.042969 1767632021.0286
MEM 107.042969 1767632021.1288
MEM 107.042969 1767632021.2290
MEM 107.042969 1767632021.3292
MEM 107.042969 1767632021.4294
MEM 108.445312 1767632021.5296
MEM 112.320312 1767632021.6298
MEM 113.695312 1767632021.7301
MEM 118.320312 1767632021.8303
MEM 118.945312 1767632021.9305
MEM 119.445312 1767632022.0307
MEM 119.695312 1767632022.1310
MEM 120.320312 1767632022.2312
MEM 123.445312 1767632022.3315
MEM 123.945312 1767632022.4317
MEM 124.070312 1767632022.5319
MEM 124.195312 1767632022.6321
MEM 124.195312 1767632022.7323
MEM 122.343750 1767632022.8326
