CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1767721343.1104
MEM 26.394531 1767721343.2107
MEM 29.937500 1767721343.3109
MEM 33.207031 1767721343.4111
MEM 35.707031 1767721343.5114
MEM 43.386719 1767721343.6138
MEM 46.289062 1767721343.7140
MEM 50.593750 1767721343.8142
MEM 57.554688 1767721343.9145
MEM 63.746094 1767721344.0148
MEM 71.742188 1767721344.1150
MEM 72.160156 1767721344.2153
MEM 76.125000 1767721344.3156
MEM 83.398438 1767721344.4159
MEM 84.253906 1767721344.5162
MEM 84.832031 1767721344.6164
MEM 86.371094 1767721344.7168
MEM 87.121094 1767721344.8171
MEM 88.949219 1767721344.9174
MEM 91.894531 1767721345.0177
MEM 94.730469 1767721345.1179
MEM 96.257812 1767721345.2182
MEM 102.257812 1767721345.3185
MEM 106.140625 1767721345.4188
MEM 106.140625 1767721345.5191
MEM 106.710938 1767721345.6193
MEM 106.710938 1767721345.7197
MEM 106.710938 1767721345.8199
MEM 108.234375 1767721345.9202
MEM 111.234375 1767721346.0205
MEM 113.734375 1767721346.1208
MEM 118.234375 1767721346.2210
MEM 118.609375 1767721346.3213
MEM 119.359375 1767721346.4216
MEM 119.484375 1767721346.5219
MEM 120.109375 1767721346.6222
MEM 122.609375 1767721346.7225
MEM 123.859375 1767721346.8228
MEM 123.984375 1767721346.9231
MEM 124.109375 1767721347.0234
MEM 124.109375 1767721347.1238
MEM 124.109375 1767721347.2241
MEM 121.289062 1767721347.3244
