CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1767720904.4978
MEM 33.039062 1767720904.6006
MEM 52.492188 1767720904.7009
MEM 69.625000 1767720904.8011
MEM 84.781250 1767720904.9013
MEM 92.011719 1767720905.0016
MEM 97.386719 1767720905.1019
MEM 102.093750 1767720905.2021
MEM 102.718750 1767720905.3025
MEM 105.968750 1767720905.4028
MEM 106.093750 1767720905.5031
MEM 106.218750 1767720905.6034
MEM 106.343750 1767720905.7037
MEM 106.343750 1767720905.8040
MEM 106.343750 1767720905.9043
MEM 106.343750 1767720906.0046
MEM 106.343750 1767720906.1049
MEM 106.343750 1767720906.2052
MEM 106.343750 1767720906.3055
MEM 106.343750 1767720906.4058
MEM 106.343750 1767720906.5061
MEM 106.343750 1767720906.6065
MEM 106.468750 1767720906.7067
MEM 106.468750 1767720906.8070
MEM 106.468750 1767720906.9073
MEM 106.468750 1767720907.0076
MEM 106.468750 1767720907.1079
MEM 106.468750 1767720907.2081
MEM 106.468750 1767720907.3084
MEM 106.468750 1767720907.4087
MEM 106.468750 1767720907.5090
MEM 106.468750 1767720907.6093
MEM 106.468750 1767720907.7096
MEM 106.468750 1767720907.8099
MEM 106.468750 1767720907.9101
MEM 106.468750 1767720908.0104
MEM 106.468750 1767720908.1107
MEM 106.468750 1767720908.2109
MEM 106.468750 1767720908.3112
MEM 106.468750 1767720908.4115
MEM 106.468750 1767720908.5118
MEM 106.468750 1767720908.6122
MEM 106.468750 1767720908.7125
MEM 106.468750 1767720908.8128
MEM 106.468750 1767720908.9131
MEM 106.468750 1767720909.0135
MEM 106.468750 1767720909.1138
MEM 106.468750 1767720909.2141
MEM 106.468750 1767720909.3144
MEM 106.468750 1767720909.4147
MEM 106.468750 1767720909.5150
MEM 106.468750 1767720909.6153
MEM 106.468750 1767720909.7156
MEM 106.468750 1767720909.8159
MEM 106.468750 1767720909.9162
MEM 106.468750 1767720910.0165
MEM 106.468750 1767720910.1168
MEM 106.468750 1767720910.2170
MEM 106.468750 1767720910.3173
MEM 106.468750 1767720910.4176
MEM 106.468750 1767720910.5179
MEM 106.468750 1767720910.6181
MEM 106.468750 1767720910.7184
MEM 106.468750 1767720910.8187
MEM 106.468750 1767720910.9190
MEM 106.468750 1767720911.0193
MEM 106.468750 1767720911.1196
MEM 106.468750 1767720911.2199
