CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.433594 1767720144.1527
MEM 31.929688 1767720144.2559
MEM 50.710938 1767720144.3562
MEM 67.699219 1767720144.4565
MEM 82.859375 1767720144.5568
MEM 91.566406 1767720144.6570
MEM 97.191406 1767720144.7573
MEM 102.085938 1767720144.8576
MEM 102.835938 1767720144.9579
MEM 106.085938 1767720145.0582
MEM 106.210938 1767720145.1585
MEM 106.335938 1767720145.2587
MEM 106.460938 1767720145.3590
MEM 106.460938 1767720145.4593
MEM 106.460938 1767720145.5595
MEM 106.460938 1767720145.6598
MEM 106.460938 1767720145.7601
MEM 106.460938 1767720145.8603
MEM 106.460938 1767720145.9606
MEM 106.585938 1767720146.0608
MEM 106.585938 1767720146.1611
MEM 106.585938 1767720146.2613
MEM 106.585938 1767720146.3615
MEM 106.585938 1767720146.4617
MEM 106.585938 1767720146.5620
MEM 106.585938 1767720146.6622
MEM 106.585938 1767720146.7625
MEM 106.585938 1767720146.8627
MEM 106.585938 1767720146.9629
MEM 106.585938 1767720147.0631
MEM 106.585938 1767720147.1634
MEM 106.585938 1767720147.2636
MEM 106.585938 1767720147.3638
MEM 106.585938 1767720147.4640
MEM 106.585938 1767720147.5642
MEM 106.585938 1767720147.6644
MEM 106.585938 1767720147.7646
MEM 106.585938 1767720147.8648
MEM 106.585938 1767720147.9650
MEM 106.585938 1767720148.0653
MEM 106.585938 1767720148.1655
MEM 106.585938 1767720148.2657
MEM 106.585938 1767720148.3659
MEM 106.585938 1767720148.4661
MEM 106.585938 1767720148.5663
MEM 106.585938 1767720148.6665
MEM 106.585938 1767720148.7667
MEM 106.585938 1767720148.8669
MEM 106.585938 1767720148.9672
MEM 106.585938 1767720149.0674
MEM 106.585938 1767720149.1676
MEM 106.585938 1767720149.2679
MEM 106.585938 1767720149.3681
MEM 106.585938 1767720149.4683
MEM 106.585938 1767720149.5685
MEM 106.585938 1767720149.6687
MEM 106.585938 1767720149.7689
MEM 106.585938 1767720149.8692
MEM 106.585938 1767720149.9694
MEM 106.585938 1767720150.0696
MEM 106.585938 1767720150.1698
MEM 106.585938 1767720150.2701
MEM 106.585938 1767720150.3703
MEM 106.585938 1767720150.4705
MEM 106.585938 1767720150.5707
MEM 106.585938 1767720150.6709
MEM 106.585938 1767720150.7712
MEM 106.585938 1767720150.8714
