CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.453125 1770938034.2466
MEM 26.640625 1770938034.3468
MEM 29.203125 1770938034.4470
MEM 29.765625 1770938034.5472
MEM 32.710938 1770938034.6475
MEM 32.890625 1770938034.7477
MEM 33.035156 1770938034.8479
MEM 35.972656 1770938034.9481
MEM 43.480469 1770938035.0484
MEM 44.128906 1770938035.1486
MEM 49.316406 1770938035.2488
MEM 51.312500 1770938035.3490
MEM 58.160156 1770938035.4492
MEM 63.179688 1770938035.5494
MEM 71.890625 1770938035.6496
MEM 72.402344 1770938035.7498
MEM 75.480469 1770938035.8500
MEM 83.449219 1770938035.9504
MEM 85.097656 1770938036.0506
MEM 85.136719 1770938036.1508
MEM 85.812500 1770938036.2510
MEM 87.109375 1770938036.3512
MEM 89.027344 1770938036.4514
MEM 92.093750 1770938036.5516
MEM 94.929688 1770938036.6518
MEM 96.046875 1770938036.7521
MEM 101.230469 1770938036.8524
MEM 106.207031 1770938036.9526
MEM 106.234375 1770938037.0529
MEM 106.839844 1770938037.1530
MEM 106.839844 1770938037.2532
MEM 106.839844 1770938037.3534
MEM 106.839844 1770938037.4536
MEM 106.906250 1770938037.5539
MEM 106.906250 1770938037.6541
MEM 106.906250 1770938037.7544
MEM 106.906250 1770938037.8546
MEM 106.906250 1770938037.9548
MEM 106.906250 1770938038.0550
MEM 106.906250 1770938038.1552
MEM 106.906250 1770938038.2555
MEM 106.906250 1770938038.3557
MEM 106.906250 1770938038.4559
MEM 106.906250 1770938038.5562
MEM 106.906250 1770938038.6564
MEM 106.906250 1770938038.7567
MEM 107.277344 1770938038.8569
MEM 107.277344 1770938038.9572
MEM 107.277344 1770938039.0574
MEM 110.507812 1770938039.1576
MEM 112.378906 1770938039.2578
MEM 113.761719 1770938039.3581
MEM 118.332031 1770938039.4583
MEM 119.449219 1770938039.5586
MEM 119.492188 1770938039.6588
MEM 119.855469 1770938039.7591
MEM 120.699219 1770938039.8594
MEM 123.871094 1770938039.9596
MEM 124.070312 1770938040.0598
MEM 124.183594 1770938040.1600
MEM 124.226562 1770938040.2602
MEM 124.269531 1770938040.3605
MEM 122.332031 1770938040.4608
