CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.261719 1771007207.8835
MEM 26.476562 1771007207.9838
MEM 30.867188 1771007208.0841
MEM 32.929688 1771007208.1844
MEM 35.195312 1771007208.2847
MEM 43.488281 1771007208.3854
MEM 46.492188 1771007208.4857
MEM 50.441406 1771007208.5859
MEM 59.769531 1771007208.6863
MEM 71.691406 1771007208.7866
MEM 72.304688 1771007208.8869
MEM 73.410156 1771007208.9872
MEM 82.890625 1771007209.0876
MEM 83.941406 1771007209.1878
MEM 84.828125 1771007209.2882
MEM 85.703125 1771007209.3885
MEM 87.566406 1771007209.4887
MEM 88.058594 1771007209.5890
MEM 89.574219 1771007209.6893
MEM 92.238281 1771007209.7895
MEM 95.464844 1771007209.8898
MEM 97.753906 1771007209.9901
MEM 105.109375 1771007210.0904
MEM 106.882812 1771007210.1907
MEM 107.308594 1771007210.2910
MEM 107.511719 1771007210.3913
MEM 107.578125 1771007210.4916
MEM 108.953125 1771007210.5919
MEM 112.472656 1771007210.6921
MEM 114.281250 1771007210.7924
MEM 118.859375 1771007210.8927
MEM 119.484375 1771007210.9930
MEM 120.054688 1771007211.0933
MEM 120.207031 1771007211.1937
MEM 120.753906 1771007211.2940
MEM 123.929688 1771007211.3943
MEM 124.515625 1771007211.4946
MEM 124.664062 1771007211.5949
MEM 124.738281 1771007211.6952
MEM 124.781250 1771007211.7955
MEM 124.855469 1771007211.8958
MEM 120.875000 1771007211.9961
