CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.492188 1771007215.0004
MEM 32.175781 1771007215.1015
MEM 50.601562 1771007215.2017
MEM 67.781250 1771007215.3020
MEM 81.261719 1771007215.4023
MEM 89.847656 1771007215.5026
MEM 96.738281 1771007215.6029
MEM 102.121094 1771007215.7032
MEM 103.019531 1771007215.8035
MEM 103.910156 1771007215.9038
MEM 103.960938 1771007216.0041
MEM 103.960938 1771007216.1044
MEM 103.960938 1771007216.2047
MEM 103.960938 1771007216.3049
MEM 103.960938 1771007216.4052
MEM 103.964844 1771007216.5055
MEM 103.968750 1771007216.6058
MEM 103.968750 1771007216.7060
MEM 103.968750 1771007216.8064
MEM 103.968750 1771007216.9066
MEM 103.968750 1771007217.0069
MEM 103.968750 1771007217.1072
MEM 103.968750 1771007217.2075
MEM 103.968750 1771007217.3079
MEM 103.968750 1771007217.4082
MEM 103.968750 1771007217.5085
MEM 103.968750 1771007217.6088
MEM 103.968750 1771007217.7091
MEM 103.968750 1771007217.8094
MEM 103.968750 1771007217.9097
MEM 103.968750 1771007218.0099
MEM 103.968750 1771007218.1102
MEM 103.976562 1771007218.2105
MEM 103.984375 1771007218.3108
MEM 103.988281 1771007218.4111
MEM 103.996094 1771007218.5114
MEM 104.000000 1771007218.6116
MEM 104.003906 1771007218.7119
MEM 104.003906 1771007218.8122
MEM 104.003906 1771007218.9125
MEM 104.007812 1771007219.0127
MEM 104.007812 1771007219.1131
MEM 104.007812 1771007219.2134
MEM 104.007812 1771007219.3137
MEM 104.019531 1771007219.4140
MEM 104.023438 1771007219.5142
MEM 104.027344 1771007219.6145
MEM 104.035156 1771007219.7148
MEM 104.039062 1771007219.8151
MEM 104.054688 1771007219.9153
MEM 104.058594 1771007220.0156
MEM 104.066406 1771007220.1160
MEM 104.074219 1771007220.2165
MEM 104.078125 1771007220.3168
MEM 104.093750 1771007220.4171
MEM 104.101562 1771007220.5175
MEM 104.121094 1771007220.6178
MEM 104.132812 1771007220.7181
MEM 104.140625 1771007220.8185
MEM 104.144531 1771007220.9188
MEM 104.152344 1771007221.0191
MEM 104.156250 1771007221.1195
MEM 104.164062 1771007221.2198
MEM 104.171875 1771007221.3202
MEM 104.175781 1771007221.4205
MEM 104.183594 1771007221.5208
MEM 104.195312 1771007221.6212
MEM 104.199219 1771007221.7215
MEM 104.207031 1771007221.8218
MEM 104.214844 1771007221.9222
MEM 104.218750 1771007222.0225
MEM 104.226562 1771007222.1228
MEM 104.234375 1771007222.2231
MEM 104.242188 1771007222.3235
MEM 104.253906 1771007222.4238
MEM 104.261719 1771007222.5241
MEM 104.269531 1771007222.6245
MEM 104.277344 1771007222.7247
MEM 104.285156 1771007222.8251
MEM 104.304688 1771007222.9254
MEM 104.312500 1771007223.0257
MEM 104.316406 1771007223.1261
MEM 104.324219 1771007223.2264
MEM 104.332031 1771007223.3267
MEM 104.335938 1771007223.4270
MEM 104.343750 1771007223.5274
MEM 104.351562 1771007223.6277
MEM 104.355469 1771007223.7279
MEM 104.363281 1771007223.8282
MEM 104.371094 1771007223.9285
MEM 104.378906 1771007224.0287
MEM 104.386719 1771007224.1290
MEM 104.394531 1771007224.2294
MEM 104.402344 1771007224.3297
MEM 104.410156 1771007224.4300
MEM 104.417969 1771007224.5304
MEM 104.425781 1771007224.6306
MEM 103.476562 1771007224.7310
