CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.257812 1771007236.4421
MEM 32.367188 1771007236.5425
MEM 51.296875 1771007236.6427
MEM 69.085938 1771007236.7429
MEM 83.156250 1771007236.8432
MEM 91.929688 1771007236.9435
MEM 97.562500 1771007237.0437
MEM 102.347656 1771007237.1440
MEM 103.039062 1771007237.2444
MEM 106.343750 1771007237.3447
MEM 106.414062 1771007237.4450
MEM 106.519531 1771007237.5453
MEM 106.558594 1771007237.6456
MEM 106.636719 1771007237.7458
MEM 106.656250 1771007237.8461
MEM 106.656250 1771007237.9464
MEM 106.671875 1771007238.0467
MEM 106.671875 1771007238.1470
MEM 106.671875 1771007238.2473
MEM 106.687500 1771007238.3476
MEM 106.687500 1771007238.4479
MEM 106.707031 1771007238.5482
MEM 106.707031 1771007238.6484
MEM 106.707031 1771007238.7487
MEM 106.707031 1771007238.8490
MEM 106.707031 1771007238.9493
MEM 106.722656 1771007239.0495
MEM 106.722656 1771007239.1498
MEM 106.722656 1771007239.2501
MEM 106.722656 1771007239.3505
MEM 106.722656 1771007239.4507
MEM 106.722656 1771007239.5510
MEM 106.722656 1771007239.6513
MEM 106.746094 1771007239.7516
MEM 106.746094 1771007239.8519
MEM 106.746094 1771007239.9522
MEM 106.746094 1771007240.0524
MEM 106.746094 1771007240.1527
MEM 106.746094 1771007240.2529
MEM 106.750000 1771007240.3532
MEM 106.750000 1771007240.4535
MEM 106.750000 1771007240.5538
MEM 106.750000 1771007240.6540
MEM 106.753906 1771007240.7544
MEM 106.753906 1771007240.8547
MEM 106.753906 1771007240.9549
MEM 106.753906 1771007241.0552
MEM 106.757812 1771007241.1555
MEM 106.757812 1771007241.2558
MEM 106.757812 1771007241.3561
MEM 106.757812 1771007241.4564
MEM 106.757812 1771007241.5568
MEM 106.761719 1771007241.6571
MEM 106.761719 1771007241.7574
MEM 106.761719 1771007241.8576
MEM 106.761719 1771007241.9579
MEM 106.761719 1771007242.0582
MEM 106.769531 1771007242.1586
MEM 106.773438 1771007242.2589
MEM 106.773438 1771007242.3592
MEM 106.773438 1771007242.4595
MEM 106.773438 1771007242.5598
MEM 106.773438 1771007242.6601
MEM 106.777344 1771007242.7604
MEM 106.777344 1771007242.8607
MEM 106.777344 1771007242.9610
MEM 106.777344 1771007243.0613
MEM 106.777344 1771007243.1616
MEM 106.777344 1771007243.2619
MEM 106.777344 1771007243.3622
MEM 106.781250 1771007243.4625
MEM 106.781250 1771007243.5628
MEM 106.785156 1771007243.6630
MEM 106.785156 1771007243.7633
MEM 106.785156 1771007243.8636
MEM 106.785156 1771007243.9639
MEM 106.785156 1771007244.0642
MEM 106.785156 1771007244.1645
MEM 106.789062 1771007244.2648
MEM 106.789062 1771007244.3651
MEM 106.789062 1771007244.4655
MEM 106.789062 1771007244.5658
MEM 106.808594 1771007244.6661
MEM 106.808594 1771007244.7664
MEM 106.808594 1771007244.8667
MEM 106.808594 1771007244.9670
MEM 106.808594 1771007245.0673
MEM 106.808594 1771007245.1676
MEM 106.808594 1771007245.2679
MEM 106.808594 1771007245.3683
MEM 106.808594 1771007245.4686
MEM 106.808594 1771007245.5689
MEM 106.808594 1771007245.6692
MEM 106.808594 1771007245.7695
MEM 106.808594 1771007245.8699
MEM 106.808594 1771007245.9702
MEM 106.808594 1771007246.0705
MEM 106.808594 1771007246.1708
MEM 106.808594 1771007246.2711
MEM 106.820312 1771007246.3715
MEM 106.820312 1771007246.4718
MEM 106.820312 1771007246.5721
MEM 106.820312 1771007246.6724
MEM 106.820312 1771007246.7727
MEM 106.820312 1771007246.8730
MEM 106.820312 1771007246.9733
MEM 106.820312 1771007247.0737
MEM 106.820312 1771007247.1740
MEM 106.820312 1771007247.2744
MEM 106.820312 1771007247.3747
MEM 106.820312 1771007247.4750
MEM 106.820312 1771007247.5753
MEM 106.820312 1771007247.6756
MEM 106.820312 1771007247.7759
MEM 106.820312 1771007247.8762
MEM 106.820312 1771007247.9764
MEM 106.820312 1771007248.0767
MEM 106.820312 1771007248.1770
MEM 106.820312 1771007248.2773
MEM 106.843750 1771007248.3776
MEM 106.843750 1771007248.4778
MEM 106.843750 1771007248.5781
MEM 106.843750 1771007248.6784
MEM 106.843750 1771007248.7788
MEM 106.843750 1771007248.8791
MEM 106.843750 1771007248.9795
MEM 106.843750 1771007249.0798
MEM 106.843750 1771007249.1801
MEM 106.843750 1771007249.2805
MEM 106.843750 1771007249.3808
MEM 106.843750 1771007249.4812
MEM 106.843750 1771007249.5815
MEM 106.843750 1771007249.6818
MEM 106.843750 1771007249.7821
MEM 106.843750 1771007249.8825
MEM 106.843750 1771007249.9828
MEM 106.843750 1771007250.0831
MEM 106.843750 1771007250.1835
MEM 106.843750 1771007250.2838
MEM 106.843750 1771007250.3841
MEM 106.843750 1771007250.4845
MEM 106.843750 1771007250.5848
MEM 106.843750 1771007250.6851
MEM 106.843750 1771007250.7855
MEM 106.855469 1771007250.8858
MEM 106.855469 1771007250.9860
MEM 106.855469 1771007251.0863
MEM 106.855469 1771007251.1866
MEM 106.976562 1771007251.2868
MEM 106.976562 1771007251.3871
MEM 106.976562 1771007251.4875
MEM 106.980469 1771007251.5878
MEM 106.980469 1771007251.6881
MEM 106.980469 1771007251.7884
MEM 106.980469 1771007251.8887
MEM 106.980469 1771007251.9890
MEM 106.984375 1771007252.0893
MEM 106.984375 1771007252.1897
MEM 106.984375 1771007252.2900
MEM 106.984375 1771007252.3903
MEM 106.984375 1771007252.4906
MEM 106.988281 1771007252.5909
MEM 106.988281 1771007252.6913
MEM 106.988281 1771007252.7916
MEM 106.988281 1771007252.8919
MEM 106.988281 1771007252.9922
MEM 106.992188 1771007253.0925
MEM 106.992188 1771007253.1928
MEM 106.992188 1771007253.2931
MEM 106.992188 1771007253.3934
MEM 106.996094 1771007253.4936
MEM 106.996094 1771007253.5939
MEM 106.996094 1771007253.6942
MEM 106.996094 1771007253.7944
MEM 106.996094 1771007253.8947
MEM 107.000000 1771007253.9950
MEM 107.000000 1771007254.0952
MEM 107.000000 1771007254.1955
MEM 107.000000 1771007254.2958
MEM 107.000000 1771007254.3961
MEM 107.003906 1771007254.4964
MEM 107.003906 1771007254.5967
MEM 0.000000 1771007254.6970
