CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.265625 1771020734.1037
MEM 34.035156 1771020734.2039
MEM 56.035156 1771020734.3041
MEM 72.933594 1771020734.4043
MEM 88.035156 1771020734.5046
MEM 95.992188 1771020734.6048
MEM 102.078125 1771020734.7051
MEM 103.011719 1771020734.8053
MEM 106.328125 1771020734.9056
MEM 106.382812 1771020735.0059
MEM 106.570312 1771020735.1061
MEM 106.675781 1771020735.2064
MEM 106.703125 1771020735.3066
MEM 106.710938 1771020735.4069
MEM 106.710938 1771020735.5071
MEM 106.726562 1771020735.6073
MEM 106.726562 1771020735.7075
MEM 106.726562 1771020735.8078
MEM 106.726562 1771020735.9080
MEM 106.726562 1771020736.0083
MEM 106.742188 1771020736.1085
MEM 106.761719 1771020736.2087
MEM 106.761719 1771020736.3089
MEM 106.761719 1771020736.4091
MEM 106.761719 1771020736.5093
MEM 106.761719 1771020736.6095
MEM 106.761719 1771020736.7097
MEM 106.777344 1771020736.8099
MEM 106.777344 1771020736.9101
MEM 106.777344 1771020737.0103
MEM 106.777344 1771020737.1105
MEM 106.777344 1771020737.2107
MEM 106.781250 1771020737.3109
MEM 106.781250 1771020737.4111
MEM 106.781250 1771020737.5113
MEM 106.785156 1771020737.6115
MEM 106.785156 1771020737.7117
MEM 106.785156 1771020737.8120
MEM 106.789062 1771020737.9122
MEM 106.789062 1771020738.0124
MEM 106.789062 1771020738.1126
MEM 106.789062 1771020738.2129
MEM 106.792969 1771020738.3131
MEM 106.792969 1771020738.4134
MEM 106.792969 1771020738.5136
MEM 106.792969 1771020738.6138
MEM 106.796875 1771020738.7141
MEM 106.796875 1771020738.8143
MEM 106.796875 1771020738.9145
MEM 106.796875 1771020739.0147
MEM 106.796875 1771020739.1149
MEM 106.800781 1771020739.2151
MEM 106.800781 1771020739.3153
MEM 106.800781 1771020739.4155
MEM 106.800781 1771020739.5158
MEM 106.800781 1771020739.6160
MEM 106.800781 1771020739.7162
MEM 106.804688 1771020739.8164
MEM 106.808594 1771020739.9166
MEM 106.808594 1771020740.0168
MEM 106.808594 1771020740.1170
MEM 106.808594 1771020740.2172
MEM 106.808594 1771020740.3174
MEM 106.812500 1771020740.4176
MEM 106.812500 1771020740.5178
MEM 106.812500 1771020740.6181
MEM 106.812500 1771020740.7183
MEM 106.812500 1771020740.8185
MEM 106.812500 1771020740.9187
MEM 106.812500 1771020741.0189
MEM 106.820312 1771020741.1191
MEM 106.820312 1771020741.2193
MEM 106.820312 1771020741.3195
MEM 106.820312 1771020741.4197
MEM 106.820312 1771020741.5200
MEM 106.820312 1771020741.6202
MEM 106.820312 1771020741.7204
MEM 106.824219 1771020741.8206
MEM 106.824219 1771020741.9208
