CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.492188 1771004187.4307
MEM 26.519531 1771004187.5310
MEM 29.339844 1771004187.6313
MEM 30.074219 1771004187.7316
MEM 32.855469 1771004187.8319
MEM 34.070312 1771004187.9322
MEM 42.785156 1771004188.0349
MEM 44.226562 1771004188.1351
MEM 49.511719 1771004188.2354
MEM 51.441406 1771004188.3356
MEM 58.507812 1771004188.4358
MEM 64.554688 1771004188.5361
MEM 72.062500 1771004188.6364
MEM 73.191406 1771004188.7367
MEM 83.144531 1771004188.8370
MEM 83.609375 1771004188.9373
MEM 85.277344 1771004189.0376
MEM 85.339844 1771004189.1379
MEM 85.988281 1771004189.2382
MEM 87.175781 1771004189.3385
MEM 89.390625 1771004189.4388
MEM 91.910156 1771004189.5391
MEM 93.738281 1771004189.6393
MEM 95.863281 1771004189.7397
MEM 101.562500 1771004189.8400
MEM 106.617188 1771004189.9403
MEM 106.644531 1771004190.0406
MEM 107.253906 1771004190.1409
MEM 107.253906 1771004190.2412
MEM 107.253906 1771004190.3415
MEM 107.320312 1771004190.4418
MEM 107.320312 1771004190.5420
MEM 107.320312 1771004190.6423
MEM 107.679688 1771004190.7425
MEM 107.679688 1771004190.8428
MEM 107.679688 1771004190.9431
MEM 107.679688 1771004191.0433
MEM 111.605469 1771004191.1436
MEM 112.722656 1771004191.2439
MEM 118.539062 1771004191.3442
MEM 118.984375 1771004191.4445
MEM 119.765625 1771004191.5448
MEM 119.937500 1771004191.6451
MEM 120.238281 1771004191.7455
MEM 121.031250 1771004191.8458
MEM 124.199219 1771004191.9461
MEM 124.402344 1771004192.0464
MEM 124.464844 1771004192.1466
MEM 124.503906 1771004192.2470
MEM 124.554688 1771004192.3473
MEM 121.636719 1771004192.4477
