CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.480469 1771121389.3929
MEM 32.414062 1771121389.4931
MEM 51.378906 1771121389.5934
MEM 67.863281 1771121389.6936
MEM 79.144531 1771121389.7939
MEM 89.636719 1771121389.8942
MEM 96.207031 1771121389.9945
MEM 101.832031 1771121390.0948
MEM 102.976562 1771121390.1951
MEM 104.500000 1771121390.2954
MEM 104.535156 1771121390.3957
MEM 104.554688 1771121390.4960
MEM 104.554688 1771121390.5962
MEM 104.562500 1771121390.6965
MEM 104.566406 1771121390.7968
MEM 104.566406 1771121390.8970
MEM 104.566406 1771121390.9973
MEM 104.566406 1771121391.0976
MEM 104.566406 1771121391.1978
MEM 104.566406 1771121391.2981
MEM 104.566406 1771121391.3984
MEM 104.566406 1771121391.4987
MEM 104.566406 1771121391.5990
MEM 104.566406 1771121391.6992
MEM 104.566406 1771121391.7994
MEM 104.566406 1771121391.8997
MEM 104.566406 1771121391.9999
MEM 104.566406 1771121392.1002
MEM 104.566406 1771121392.2005
MEM 104.566406 1771121392.3008
MEM 104.566406 1771121392.4010
MEM 104.566406 1771121392.5013
MEM 104.566406 1771121392.6016
MEM 104.566406 1771121392.7018
MEM 104.570312 1771121392.8021
MEM 104.570312 1771121392.9023
MEM 104.570312 1771121393.0026
MEM 104.574219 1771121393.1029
MEM 104.578125 1771121393.2032
MEM 104.578125 1771121393.3035
MEM 104.578125 1771121393.4037
MEM 104.582031 1771121393.5039
MEM 104.582031 1771121393.6042
MEM 104.582031 1771121393.7045
MEM 104.582031 1771121393.8047
MEM 104.585938 1771121393.9050
MEM 104.589844 1771121394.0053
MEM 104.589844 1771121394.1056
MEM 104.589844 1771121394.2059
MEM 104.597656 1771121394.3061
MEM 104.597656 1771121394.4063
MEM 104.601562 1771121394.5066
MEM 104.601562 1771121394.6068
MEM 104.601562 1771121394.7071
MEM 104.601562 1771121394.8073
MEM 104.605469 1771121394.9076
MEM 104.609375 1771121395.0079
MEM 104.609375 1771121395.1082
MEM 104.609375 1771121395.2085
MEM 104.609375 1771121395.3088
MEM 104.613281 1771121395.4090
MEM 104.617188 1771121395.5093
MEM 104.617188 1771121395.6096
MEM 104.621094 1771121395.7098
MEM 104.621094 1771121395.8101
MEM 104.621094 1771121395.9104
MEM 104.621094 1771121396.0106
MEM 104.625000 1771121396.1109
MEM 104.628906 1771121396.2112
MEM 104.628906 1771121396.3114
MEM 104.628906 1771121396.4117
MEM 104.632812 1771121396.5120
MEM 104.632812 1771121396.6122
MEM 104.632812 1771121396.7124
MEM 104.636719 1771121396.8127
MEM 104.640625 1771121396.9130
MEM 104.640625 1771121397.0133
MEM 104.640625 1771121397.1136
MEM 104.644531 1771121397.2139
MEM 104.644531 1771121397.3142
MEM 104.644531 1771121397.4144
MEM 104.644531 1771121397.5147
MEM 104.648438 1771121397.6149
MEM 104.652344 1771121397.7152
MEM 104.652344 1771121397.8155
MEM 104.656250 1771121397.9158
MEM 104.656250 1771121398.0161
MEM 104.656250 1771121398.1164
MEM 104.660156 1771121398.2167
MEM 104.660156 1771121398.3169
MEM 104.660156 1771121398.4172
MEM 104.664062 1771121398.5175
MEM 104.664062 1771121398.6177
MEM 104.664062 1771121398.7180
MEM 104.664062 1771121398.8183
MEM 104.667969 1771121398.9186
MEM 104.667969 1771121399.0188
MEM 104.667969 1771121399.1191
MEM 104.671875 1771121399.2194
MEM 104.671875 1771121399.3197
MEM 104.671875 1771121399.4200
MEM 104.671875 1771121399.5203
MEM 104.675781 1771121399.6207
