CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.492188 1771120703.1550
MEM 26.648438 1771120703.2553
MEM 29.792969 1771120703.3555
MEM 32.742188 1771120703.4557
MEM 36.003906 1771120703.5559
MEM 43.515625 1771120703.6561
MEM 46.414062 1771120703.7563
MEM 50.785156 1771120703.8565
MEM 60.171875 1771120703.9567
MEM 71.457031 1771120704.0570
MEM 72.144531 1771120704.1572
MEM 73.277344 1771120704.2574
MEM 83.542969 1771120704.3577
MEM 84.621094 1771120704.4579
MEM 84.636719 1771120704.5582
MEM 85.851562 1771120704.6584
MEM 87.324219 1771120704.7586
MEM 89.175781 1771120704.8588
MEM 92.031250 1771120704.9590
MEM 93.843750 1771120705.0593
MEM 96.214844 1771120705.1595
MEM 101.449219 1771120705.2597
MEM 106.453125 1771120705.3600
MEM 106.468750 1771120705.4602
MEM 107.230469 1771120705.5605
MEM 107.230469 1771120705.6607
MEM 107.296875 1771120705.7609
MEM 107.687500 1771120705.8611
MEM 110.894531 1771120705.9614
MEM 112.746094 1771120706.0616
MEM 114.242188 1771120706.1618
MEM 119.058594 1771120706.2621
MEM 119.847656 1771120706.3623
MEM 120.011719 1771120706.4625
MEM 120.375000 1771120706.5628
MEM 121.140625 1771120706.6630
MEM 128.019531 1771120706.7633
MEM 127.269531 1771120706.8635
MEM 127.269531 1771120706.9637
MEM 127.269531 1771120707.0639
MEM 127.281250 1771120707.1642
MEM 127.281250 1771120707.2644
MEM 123.308594 1771120707.3647
