CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_ktam.py
MEM 0.453125 1771117786.2569
MEM 31.718750 1771117786.3572
MEM 48.226562 1771117786.4575
MEM 67.589844 1771117786.5578
MEM 81.054688 1771117786.6580
MEM 89.558594 1771117786.7583
MEM 96.250000 1771117786.8586
MEM 101.800781 1771117786.9589
MEM 102.941406 1771117787.0592
MEM 104.460938 1771117787.1595
MEM 104.488281 1771117787.2599
MEM 104.523438 1771117787.3602
MEM 104.523438 1771117787.4606
MEM 104.527344 1771117787.5609
MEM 104.535156 1771117787.6612
MEM 104.535156 1771117787.7615
MEM 104.535156 1771117787.8618
MEM 104.535156 1771117787.9622
MEM 104.535156 1771117788.0626
MEM 104.535156 1771117788.1629
MEM 104.535156 1771117788.2632
MEM 104.535156 1771117788.3636
MEM 104.535156 1771117788.4639
MEM 104.535156 1771117788.5642
MEM 104.535156 1771117788.6646
MEM 104.535156 1771117788.7650
MEM 104.535156 1771117788.8653
MEM 104.535156 1771117788.9657
MEM 104.535156 1771117789.0660
MEM 104.554688 1771117789.1662
MEM 104.554688 1771117789.2666
MEM 104.554688 1771117789.3669
MEM 104.554688 1771117789.4673
MEM 104.554688 1771117789.5677
MEM 104.554688 1771117789.6680
MEM 104.554688 1771117789.7684
MEM 104.554688 1771117789.8687
MEM 104.554688 1771117789.9690
MEM 104.554688 1771117790.0694
MEM 104.554688 1771117790.1698
MEM 104.554688 1771117790.2702
MEM 104.554688 1771117790.3706
MEM 104.554688 1771117790.4709
MEM 104.554688 1771117790.5712
MEM 104.554688 1771117790.6716
MEM 104.554688 1771117790.7719
MEM 104.554688 1771117790.8722
MEM 104.554688 1771117790.9726
MEM 104.558594 1771117791.0729
MEM 104.558594 1771117791.1733
MEM 104.625000 1771117791.2736
MEM 104.625000 1771117791.3740
MEM 104.628906 1771117791.4743
MEM 104.628906 1771117791.5746
MEM 104.628906 1771117791.6750
MEM 104.628906 1771117791.7753
MEM 104.632812 1771117791.8756
MEM 104.636719 1771117791.9760
MEM 104.636719 1771117792.0763
MEM 104.636719 1771117792.1766
MEM 104.636719 1771117792.2769
MEM 104.640625 1771117792.3772
MEM 104.644531 1771117792.4776
MEM 104.644531 1771117792.5780
MEM 104.648438 1771117792.6783
MEM 104.648438 1771117792.7787
MEM 104.648438 1771117792.8790
MEM 104.648438 1771117792.9793
MEM 104.652344 1771117793.0797
MEM 104.656250 1771117793.1799
MEM 104.656250 1771117793.2803
MEM 104.656250 1771117793.3806
MEM 104.660156 1771117793.4810
MEM 104.660156 1771117793.5813
MEM 104.660156 1771117793.6816
MEM 104.664062 1771117793.7820
MEM 104.664062 1771117793.8823
MEM 104.667969 1771117793.9827
MEM 104.667969 1771117794.0830
MEM 104.671875 1771117794.1833
MEM 104.671875 1771117794.2836
MEM 104.671875 1771117794.3839
MEM 104.671875 1771117794.4842
MEM 104.671875 1771117794.5846
MEM 104.679688 1771117794.6848
MEM 104.683594 1771117794.7852
MEM 104.683594 1771117794.8855
MEM 104.687500 1771117794.9858
MEM 104.687500 1771117795.0862
MEM 104.691406 1771117795.1865
MEM 104.691406 1771117795.2868
MEM 104.691406 1771117795.3872
MEM 104.691406 1771117795.4876
MEM 104.695312 1771117795.5879
MEM 104.699219 1771117795.6883
MEM 104.699219 1771117795.7886
MEM 104.699219 1771117795.8890
MEM 104.703125 1771117795.9893
MEM 104.703125 1771117796.0897
MEM 104.703125 1771117796.1900
MEM 104.710938 1771117796.2904
MEM 104.714844 1771117796.3907
MEM 104.722656 1771117796.4911
MEM 104.726562 1771117796.5914
