CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.445312 1771260779.4294
MEM 26.597656 1771260779.5297
MEM 30.757812 1771260779.6300
MEM 32.816406 1771260779.7303
MEM 35.089844 1771260779.8306
MEM 43.375000 1771260779.9311
MEM 46.621094 1771260780.0314
MEM 50.382812 1771260780.1317
MEM 58.640625 1771260780.2320
MEM 66.078125 1771260780.3323
MEM 72.167969 1771260780.4325
MEM 72.941406 1771260780.5329
MEM 76.507812 1771260780.6332
MEM 83.667969 1771260780.7335
MEM 85.375000 1771260780.8338
MEM 85.437500 1771260780.9342
MEM 86.089844 1771260781.0345
MEM 87.324219 1771260781.1347
MEM 89.359375 1771260781.2351
MEM 92.074219 1771260781.3354
MEM 95.199219 1771260781.4356
MEM 96.781250 1771260781.5359
MEM 103.738281 1771260781.6362
MEM 106.636719 1771260781.7365
MEM 106.656250 1771260781.8368
MEM 107.343750 1771260781.9371
MEM 107.343750 1771260782.0375
MEM 107.410156 1771260782.1377
MEM 111.011719 1771260782.2381
MEM 112.824219 1771260782.3384
MEM 114.128906 1771260782.4387
MEM 118.750000 1771260782.5391
MEM 119.828125 1771260782.6394
MEM 119.867188 1771260782.7397
MEM 120.199219 1771260782.8401
MEM 120.894531 1771260782.9404
MEM 124.066406 1771260783.0407
MEM 124.453125 1771260783.1411
MEM 124.621094 1771260783.2414
MEM 124.664062 1771260783.3417
MEM 124.699219 1771260783.4421
MEM 124.722656 1771260783.5425
MEM 121.800781 1771260783.6428
