CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.265625 1771351914.5857
MEM 31.964844 1771351914.6860
MEM 50.843750 1771351914.7862
MEM 68.078125 1771351914.8865
MEM 82.898438 1771351914.9867
MEM 91.085938 1771351915.0871
MEM 96.902344 1771351915.1874
MEM 102.046875 1771351915.2877
MEM 102.937500 1771351915.3880
MEM 105.582031 1771351915.4884
MEM 105.625000 1771351915.5887
MEM 105.796875 1771351915.6890
MEM 105.867188 1771351915.7893
MEM 105.925781 1771351915.8896
MEM 105.929688 1771351915.9899
MEM 105.937500 1771351916.0902
MEM 105.937500 1771351916.1905
MEM 105.972656 1771351916.2909
MEM 105.972656 1771351916.3912
MEM 105.972656 1771351916.4915
MEM 105.980469 1771351916.5918
MEM 105.980469 1771351916.6921
MEM 105.980469 1771351916.7924
MEM 105.980469 1771351916.8927
MEM 105.980469 1771351916.9931
MEM 105.980469 1771351917.0934
MEM 106.000000 1771351917.1937
MEM 106.015625 1771351917.2940
MEM 106.015625 1771351917.3943
MEM 106.015625 1771351917.4946
MEM 106.015625 1771351917.5949
MEM 106.015625 1771351917.6952
MEM 106.023438 1771351917.7956
MEM 106.023438 1771351917.8959
MEM 106.023438 1771351917.9962
MEM 106.027344 1771351918.0966
MEM 106.027344 1771351918.1969
MEM 106.027344 1771351918.2972
MEM 106.031250 1771351918.3975
MEM 106.031250 1771351918.4978
MEM 106.031250 1771351918.5982
MEM 106.031250 1771351918.6985
MEM 106.035156 1771351918.7988
MEM 106.035156 1771351918.8992
MEM 106.035156 1771351918.9995
MEM 106.035156 1771351919.0998
MEM 106.039062 1771351919.2002
MEM 106.039062 1771351919.3005
MEM 106.039062 1771351919.4008
MEM 106.039062 1771351919.5011
MEM 106.039062 1771351919.6015
MEM 106.042969 1771351919.7018
MEM 106.042969 1771351919.8022
MEM 106.042969 1771351919.9025
MEM 106.042969 1771351920.0028
MEM 106.042969 1771351920.1032
MEM 106.046875 1771351920.2035
MEM 106.046875 1771351920.3038
MEM 106.046875 1771351920.4042
MEM 106.046875 1771351920.5045
MEM 106.046875 1771351920.6048
MEM 106.046875 1771351920.7051
MEM 106.050781 1771351920.8055
MEM 106.050781 1771351920.9058
MEM 106.054688 1771351921.0062
MEM 106.054688 1771351921.1065
MEM 106.054688 1771351921.2068
MEM 106.054688 1771351921.3072
MEM 106.054688 1771351921.4075
MEM 106.062500 1771351921.5078
MEM 106.062500 1771351921.6081
MEM 106.062500 1771351921.7084
MEM 106.062500 1771351921.8088
MEM 106.062500 1771351921.9091
MEM 106.062500 1771351922.0095
MEM 106.062500 1771351922.1098
MEM 106.062500 1771351922.2101
MEM 106.066406 1771351922.3105
MEM 106.070312 1771351922.4108
MEM 106.070312 1771351922.5111
MEM 106.070312 1771351922.6114
MEM 106.070312 1771351922.7117
MEM 106.070312 1771351922.8121
MEM 106.070312 1771351922.9124
MEM 106.070312 1771351923.0128
MEM 106.074219 1771351923.1131
MEM 106.074219 1771351923.2135
MEM 106.074219 1771351923.3138
MEM 106.078125 1771351923.4142
MEM 106.078125 1771351923.5145
MEM 106.078125 1771351923.6148
MEM 106.078125 1771351923.7151
MEM 106.078125 1771351923.8155
MEM 106.078125 1771351923.9158
MEM 106.078125 1771351924.0162
MEM 106.082031 1771351924.1165
MEM 106.082031 1771351924.2168
MEM 106.085938 1771351924.3172
MEM 106.085938 1771351924.4175
MEM 106.085938 1771351924.5178
MEM 106.085938 1771351924.6182
MEM 106.085938 1771351924.7185
MEM 106.085938 1771351924.8188
MEM 106.085938 1771351924.9192
MEM 106.085938 1771351925.0195
MEM 106.089844 1771351925.1198
MEM 106.093750 1771351925.2202
MEM 106.093750 1771351925.3205
MEM 106.093750 1771351925.4208
MEM 106.093750 1771351925.5212
