CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_heterodimerization_small.py
MEM 0.453125 1771286339.5289
MEM 26.671875 1771286339.6292
MEM 29.980469 1771286339.7294
MEM 32.699219 1771286339.8297
MEM 35.671875 1771286339.9300
MEM 43.421875 1771286340.0302
MEM 49.269531 1771286340.1305
MEM 53.210938 1771286340.2307
MEM 62.625000 1771286340.3310
MEM 71.132812 1771286340.4313
MEM 72.218750 1771286340.5316
MEM 73.613281 1771286340.6319
MEM 83.968750 1771286340.7322
MEM 83.523438 1771286340.8325
MEM 84.187500 1771286340.9328
MEM 85.695312 1771286341.0331
MEM 87.007812 1771286341.1334
MEM 89.160156 1771286341.2337
MEM 91.722656 1771286341.3339
MEM 94.878906 1771286341.4342
MEM 96.328125 1771286341.5345
MEM 103.285156 1771286341.6348
MEM 106.390625 1771286341.7350
MEM 106.402344 1771286341.8352
MEM 107.105469 1771286341.9355
MEM 107.105469 1771286342.0357
MEM 107.105469 1771286342.1359
MEM 107.171875 1771286342.2361
MEM 107.171875 1771286342.3364
MEM 107.171875 1771286342.4365
MEM 107.171875 1771286342.5367
MEM 107.171875 1771286342.6370
MEM 107.171875 1771286342.7372
MEM 107.562500 1771286342.8374
MEM 107.683594 1771286342.9377
MEM 111.472656 1771286343.0379
MEM 113.718750 1771286343.1381
MEM 118.410156 1771286343.2384
MEM 118.800781 1771286343.3387
MEM 119.574219 1771286343.4389
MEM 119.718750 1771286343.5392
MEM 120.449219 1771286343.6395
MEM 123.574219 1771286343.7397
MEM 124.125000 1771286343.8399
MEM 124.242188 1771286343.9400
MEM 124.289062 1771286344.0402
MEM 124.332031 1771286344.1404
MEM 122.363281 1771286344.2407
