CMDLINE /home/runner/work/pykappa/pykappa/.venv/bin/python profile_uni_bi_small.py
MEM 0.261719 1771286368.3158
MEM 32.519531 1771286368.4165
MEM 52.070312 1771286368.5167
MEM 69.562500 1771286368.6170
MEM 84.890625 1771286368.7172
MEM 92.328125 1771286368.8175
MEM 97.671875 1771286368.9177
MEM 102.285156 1771286369.0180
MEM 102.937500 1771286369.1184
MEM 105.554688 1771286369.2186
MEM 105.640625 1771286369.3188
MEM 105.812500 1771286369.4191
MEM 105.890625 1771286369.5193
MEM 105.925781 1771286369.6195
MEM 105.949219 1771286369.7198
MEM 105.953125 1771286369.8200
MEM 105.953125 1771286369.9202
MEM 105.976562 1771286370.0204
MEM 105.976562 1771286370.1206
MEM 105.976562 1771286370.2209
MEM 105.976562 1771286370.3211
MEM 105.976562 1771286370.4213
MEM 105.976562 1771286370.5216
MEM 105.976562 1771286370.6218
MEM 105.976562 1771286370.7221
MEM 105.976562 1771286370.8223
MEM 105.976562 1771286370.9225
MEM 105.996094 1771286371.0228
MEM 105.996094 1771286371.1230
MEM 106.015625 1771286371.2232
MEM 106.015625 1771286371.3234
MEM 106.015625 1771286371.4237
MEM 106.015625 1771286371.5239
MEM 106.015625 1771286371.6241
MEM 106.015625 1771286371.7243
MEM 106.019531 1771286371.8245
MEM 106.019531 1771286371.9247
MEM 106.019531 1771286372.0250
MEM 106.023438 1771286372.1252
MEM 106.023438 1771286372.2254
MEM 106.023438 1771286372.3257
MEM 106.023438 1771286372.4259
MEM 106.027344 1771286372.5261
MEM 106.027344 1771286372.6264
MEM 106.027344 1771286372.7266
MEM 106.027344 1771286372.8269
MEM 106.031250 1771286372.9271
MEM 106.031250 1771286373.0274
MEM 106.031250 1771286373.1276
MEM 106.031250 1771286373.2278
MEM 106.035156 1771286373.3280
MEM 106.035156 1771286373.4282
MEM 106.035156 1771286373.5284
MEM 106.035156 1771286373.6287
MEM 106.035156 1771286373.7289
MEM 106.035156 1771286373.8291
MEM 106.039062 1771286373.9294
MEM 106.039062 1771286374.0296
MEM 106.039062 1771286374.1298
MEM 106.039062 1771286374.2300
MEM 106.039062 1771286374.3302
MEM 106.039062 1771286374.4304
MEM 106.042969 1771286374.5306
MEM 106.046875 1771286374.6308
MEM 106.046875 1771286374.7311
MEM 106.046875 1771286374.8314
MEM 106.046875 1771286374.9316
MEM 106.046875 1771286375.0318
MEM 106.050781 1771286375.1320
MEM 106.050781 1771286375.2322
MEM 106.050781 1771286375.3324
MEM 106.050781 1771286375.4327
MEM 106.050781 1771286375.5329
MEM 106.050781 1771286375.6331
MEM 106.050781 1771286375.7334
MEM 106.050781 1771286375.8336
MEM 106.054688 1771286375.9338
MEM 106.058594 1771286376.0340
MEM 106.062500 1771286376.1343
MEM 106.062500 1771286376.2345
MEM 106.062500 1771286376.3347
MEM 106.062500 1771286376.4349
MEM 106.062500 1771286376.5351
MEM 106.062500 1771286376.6354
MEM 106.066406 1771286376.7356
MEM 106.066406 1771286376.8359
MEM 106.070312 1771286376.9361
MEM 106.070312 1771286377.0364
MEM 106.070312 1771286377.1366
MEM 106.070312 1771286377.2368
MEM 106.070312 1771286377.3370
MEM 106.070312 1771286377.4372
MEM 106.070312 1771286377.5374
MEM 106.070312 1771286377.6376
MEM 106.074219 1771286377.7379
MEM 106.078125 1771286377.8381
MEM 106.078125 1771286377.9383
MEM 106.078125 1771286378.0385
MEM 106.078125 1771286378.1387
MEM 106.078125 1771286378.2390
MEM 106.078125 1771286378.3392
MEM 106.078125 1771286378.4395
MEM 106.078125 1771286378.5397
MEM 106.078125 1771286378.6399
MEM 106.078125 1771286378.7401
MEM 106.085938 1771286378.8404
MEM 106.085938 1771286378.9406
MEM 106.085938 1771286379.0408
MEM 106.085938 1771286379.1410
MEM 106.089844 1771286379.2413
MEM 106.089844 1771286379.3415
MEM 106.093750 1771286379.4416
MEM 106.097656 1771286379.5419
MEM 106.101562 1771286379.6421
MEM 106.105469 1771286379.7424
MEM 106.105469 1771286379.8426
MEM 106.105469 1771286379.9428
MEM 106.109375 1771286380.0430
MEM 106.117188 1771286380.1432
MEM 106.117188 1771286380.2434
MEM 106.121094 1771286380.3437
MEM 106.125000 1771286380.4439
MEM 106.128906 1771286380.5441
MEM 106.132812 1771286380.6444
MEM 106.136719 1771286380.7446
MEM 106.136719 1771286380.8448
MEM 106.140625 1771286380.9451
MEM 106.144531 1771286381.0453
MEM 106.148438 1771286381.1455
MEM 106.156250 1771286381.2458
MEM 106.160156 1771286381.3460
MEM 106.164062 1771286381.4463
MEM 106.171875 1771286381.5465
MEM 106.175781 1771286381.6467
MEM 106.179688 1771286381.7469
MEM 106.183594 1771286381.8472
MEM 106.187500 1771286381.9474
MEM 106.195312 1771286382.0476
MEM 106.195312 1771286382.1479
MEM 106.195312 1771286382.2481
MEM 106.203125 1771286382.3483
MEM 106.207031 1771286382.4486
MEM 106.210938 1771286382.5488
MEM 106.214844 1771286382.6490
MEM 106.218750 1771286382.7493
MEM 106.222656 1771286382.8495
MEM 106.230469 1771286382.9498
MEM 106.234375 1771286383.0500
MEM 106.238281 1771286383.1502
MEM 106.242188 1771286383.2504
MEM 106.246094 1771286383.3506
MEM 106.253906 1771286383.4508
MEM 106.253906 1771286383.5511
MEM 106.253906 1771286383.6514
MEM 106.257812 1771286383.7516
MEM 106.265625 1771286383.8518
MEM 106.269531 1771286383.9520
MEM 106.273438 1771286384.0522
MEM 106.300781 1771286384.1524
MEM 106.304688 1771286384.2527
MEM 106.304688 1771286384.3529
MEM 106.308594 1771286384.4531
MEM 106.312500 1771286384.5534
MEM 106.449219 1771286384.6536
MEM 106.453125 1771286384.7538
MEM 106.460938 1771286384.8541
MEM 106.464844 1771286384.9543
