CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_heterodimerization_small.py
MEM 0.128906 1771528929.9312
MEM 25.953125 1771528930.0315
MEM 31.214844 1771528930.1318
MEM 33.964844 1771528930.2321
MEM 43.136719 1771528930.3324
MEM 49.640625 1771528930.4327
MEM 57.144531 1771528930.5330
MEM 71.199219 1771528930.6333
MEM 80.964844 1771528930.7335
MEM 95.457031 1771528930.8338
MEM 95.457031 1771528930.9341
MEM 95.457031 1771528931.0344
MEM 96.207031 1771528931.1347
MEM 96.207031 1771528931.2350
MEM 96.207031 1771528931.3354
MEM 96.207031 1771528931.4356
MEM 96.207031 1771528931.5360
MEM 96.636719 1771528931.6363
MEM 96.636719 1771528931.7366
MEM 96.636719 1771528931.8369
MEM 96.636719 1771528931.9372
MEM 96.761719 1771528932.0375
MEM 99.066406 1771528932.1377
MEM 104.191406 1771528932.2381
MEM 108.570312 1771528932.3384
MEM 109.589844 1771528932.4387
MEM 113.339844 1771528932.5390
MEM 114.089844 1771528932.6393
MEM 114.464844 1771528932.7396
MEM 114.589844 1771528932.8400
MEM 114.714844 1771528932.9403
MEM 111.832031 1771528933.0406
