CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1771523505.6723
MEM 32.542969 1771523505.7726
MEM 49.792969 1771523505.8729
MEM 69.136719 1771523505.9731
MEM 84.335938 1771523506.0734
MEM 91.652344 1771523506.1737
MEM 96.433594 1771523506.2740
MEM 102.109375 1771523506.3743
MEM 102.949219 1771523506.4747
MEM 106.023438 1771523506.5750
MEM 106.027344 1771523506.6753
MEM 106.230469 1771523506.7757
MEM 106.292969 1771523506.8760
MEM 106.367188 1771523506.9763
MEM 106.367188 1771523507.0766
MEM 106.367188 1771523507.1768
MEM 106.386719 1771523507.2771
MEM 106.386719 1771523507.3774
MEM 106.402344 1771523507.4777
MEM 106.421875 1771523507.5780
MEM 106.421875 1771523507.6784
MEM 106.421875 1771523507.7788
MEM 106.421875 1771523507.8791
MEM 106.425781 1771523507.9794
MEM 106.425781 1771523508.0798
MEM 106.425781 1771523508.1801
MEM 106.425781 1771523508.2804
MEM 106.425781 1771523508.3807
MEM 106.441406 1771523508.4809
MEM 106.441406 1771523508.5812
MEM 106.460938 1771523508.6815
MEM 106.460938 1771523508.7819
MEM 106.460938 1771523508.8822
MEM 106.460938 1771523508.9825
MEM 106.460938 1771523509.0828
MEM 106.464844 1771523509.1831
MEM 106.464844 1771523509.2835
MEM 106.464844 1771523509.3838
MEM 106.476562 1771523509.4841
MEM 106.476562 1771523509.5844
MEM 106.476562 1771523509.6848
MEM 106.476562 1771523509.7851
MEM 106.480469 1771523509.8854
MEM 106.480469 1771523509.9858
MEM 106.480469 1771523510.0861
MEM 106.480469 1771523510.1864
MEM 106.484375 1771523510.2868
MEM 106.484375 1771523510.3871
MEM 106.484375 1771523510.4875
MEM 106.484375 1771523510.5878
MEM 106.484375 1771523510.6881
MEM 106.488281 1771523510.7885
MEM 106.492188 1771523510.8887
MEM 106.492188 1771523510.9891
MEM 106.492188 1771523511.0894
MEM 106.492188 1771523511.1897
MEM 106.496094 1771523511.2899
MEM 106.496094 1771523511.3902
MEM 106.496094 1771523511.4905
MEM 106.496094 1771523511.5908
MEM 106.496094 1771523511.6912
MEM 106.496094 1771523511.7915
MEM 106.500000 1771523511.8918
MEM 106.500000 1771523511.9921
MEM 106.500000 1771523512.0924
MEM 106.500000 1771523512.1928
MEM 106.500000 1771523512.2931
MEM 106.500000 1771523512.3934
MEM 106.500000 1771523512.4936
MEM 106.503906 1771523512.5940
MEM 106.507812 1771523512.6943
MEM 106.507812 1771523512.7946
MEM 106.507812 1771523512.8949
MEM 106.507812 1771523512.9952
MEM 106.507812 1771523513.0955
MEM 106.507812 1771523513.1957
MEM 106.507812 1771523513.2960
MEM 106.511719 1771523513.3962
MEM 106.511719 1771523513.4965
MEM 106.511719 1771523513.5969
MEM 106.515625 1771523513.6972
MEM 106.515625 1771523513.7975
MEM 106.515625 1771523513.8978
MEM 106.515625 1771523513.9981
MEM 106.515625 1771523514.0984
MEM 106.519531 1771523514.1987
MEM 106.519531 1771523514.2990
MEM 106.519531 1771523514.3993
MEM 106.519531 1771523514.4996
MEM 106.523438 1771523514.5999
MEM 106.523438 1771523514.7002
MEM 106.523438 1771523514.8006
MEM 106.523438 1771523514.9009
MEM 106.523438 1771523515.0012
MEM 106.523438 1771523515.1015
MEM 106.527344 1771523515.2018
MEM 106.527344 1771523515.3021
MEM 106.527344 1771523515.4024
MEM 106.531250 1771523515.5027
MEM 106.531250 1771523515.6030
MEM 106.531250 1771523515.7033
MEM 106.531250 1771523515.8037
MEM 106.531250 1771523515.9040
MEM 106.531250 1771523516.0043
MEM 106.531250 1771523516.1047
MEM 106.531250 1771523516.2050
MEM 106.535156 1771523516.3052
MEM 106.535156 1771523516.4054
MEM 106.539062 1771523516.5058
MEM 106.539062 1771523516.6061
MEM 106.539062 1771523516.7064
MEM 106.539062 1771523516.8066
MEM 106.542969 1771523516.9069
MEM 106.542969 1771523517.0071
MEM 106.542969 1771523517.1074
MEM 106.542969 1771523517.2077
MEM 106.558594 1771523517.3079
MEM 106.558594 1771523517.4082
MEM 106.656250 1771523517.5084
MEM 106.656250 1771523517.6087
MEM 106.656250 1771523517.7089
MEM 106.656250 1771523517.8092
MEM 106.660156 1771523517.9094
MEM 106.660156 1771523518.0097
MEM 106.660156 1771523518.1100
MEM 106.660156 1771523518.2102
MEM 106.664062 1771523518.3105
MEM 106.664062 1771523518.4107
MEM 106.664062 1771523518.5109
MEM 106.664062 1771523518.6112
MEM 106.664062 1771523518.7114
MEM 106.667969 1771523518.8118
MEM 106.667969 1771523518.9120
MEM 106.667969 1771523519.0123
MEM 106.667969 1771523519.1126
MEM 106.671875 1771523519.2129
MEM 106.671875 1771523519.3132
MEM 106.671875 1771523519.4134
MEM 106.671875 1771523519.5137
MEM 106.671875 1771523519.6139
MEM 106.675781 1771523519.7142
MEM 106.675781 1771523519.8144
MEM 106.675781 1771523519.9147
MEM 106.675781 1771523520.0149
MEM 106.675781 1771523520.1152
MEM 106.675781 1771523520.2154
MEM 106.679688 1771523520.3157
MEM 106.679688 1771523520.4159
MEM 106.679688 1771523520.5161
MEM 106.683594 1771523520.6164
MEM 106.683594 1771523520.7166
MEM 106.683594 1771523520.8169
MEM 106.683594 1771523520.9171
MEM 106.683594 1771523521.0174
MEM 106.687500 1771523521.1176
MEM 106.687500 1771523521.2179
MEM 106.687500 1771523521.3182
MEM 106.687500 1771523521.4184
MEM 106.691406 1771523521.5187
MEM 106.691406 1771523521.6189
MEM 106.691406 1771523521.7192
MEM 106.691406 1771523521.8195
MEM 106.691406 1771523521.9198
MEM 106.695312 1771523522.0201
MEM 106.695312 1771523522.1204
MEM 106.695312 1771523522.2207
MEM 106.695312 1771523522.3210
MEM 106.699219 1771523522.4213
MEM 106.699219 1771523522.5217
MEM 106.699219 1771523522.6220
MEM 106.699219 1771523522.7223
MEM 106.699219 1771523522.8226
MEM 106.703125 1771523522.9228
MEM 106.703125 1771523523.0231
MEM 106.703125 1771523523.1233
MEM 106.703125 1771523523.2236
MEM 106.707031 1771523523.3238
MEM 106.707031 1771523523.4240
MEM 106.707031 1771523523.5243
MEM 106.707031 1771523523.6246
MEM 106.707031 1771523523.7250
MEM 106.707031 1771523523.8253
MEM 106.710938 1771523523.9256
MEM 105.714844 1771523524.0260
