CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_ktam.py
MEM 0.261719 1772212593.5241
MEM 32.292969 1772212593.6249
MEM 49.414062 1772212593.7252
MEM 69.378906 1772212593.8255
MEM 85.226562 1772212593.9258
MEM 92.507812 1772212594.0260
MEM 98.742188 1772212594.1263
MEM 102.800781 1772212594.2266
MEM 103.570312 1772212594.3269
MEM 104.339844 1772212594.4271
MEM 104.378906 1772212594.5274
MEM 104.378906 1772212594.6277
MEM 104.378906 1772212594.7279
MEM 104.378906 1772212594.8281
MEM 104.378906 1772212594.9283
MEM 104.378906 1772212595.0286
MEM 104.378906 1772212595.1288
MEM 104.378906 1772212595.2290
MEM 104.382812 1772212595.3292
MEM 104.382812 1772212595.4295
MEM 104.382812 1772212595.5298
MEM 104.394531 1772212595.6300
MEM 104.398438 1772212595.7302
MEM 104.398438 1772212595.8305
MEM 104.398438 1772212595.9307
MEM 104.398438 1772212596.0309
MEM 104.402344 1772212596.1311
MEM 104.402344 1772212596.2314
MEM 104.406250 1772212596.3316
MEM 104.406250 1772212596.4318
MEM 104.410156 1772212596.5320
MEM 104.410156 1772212596.6323
MEM 104.410156 1772212596.7325
MEM 104.417969 1772212596.8328
MEM 104.417969 1772212596.9330
MEM 104.417969 1772212597.0332
MEM 104.421875 1772212597.1334
MEM 104.421875 1772212597.2336
MEM 104.421875 1772212597.3339
MEM 104.421875 1772212597.4341
MEM 104.425781 1772212597.5343
MEM 104.429688 1772212597.6345
MEM 104.429688 1772212597.7348
MEM 104.429688 1772212597.8350
MEM 104.433594 1772212597.9353
MEM 104.437500 1772212598.0355
MEM 104.437500 1772212598.1358
MEM 104.437500 1772212598.2359
MEM 104.441406 1772212598.3362
MEM 104.441406 1772212598.4364
MEM 104.449219 1772212598.5366
MEM 104.457031 1772212598.6368
MEM 104.464844 1772212598.7371
MEM 104.472656 1772212598.8373
MEM 104.480469 1772212598.9375
MEM 104.492188 1772212599.0378
MEM 104.496094 1772212599.1380
MEM 104.503906 1772212599.2382
MEM 104.511719 1772212599.3384
MEM 104.519531 1772212599.4386
MEM 104.527344 1772212599.5389
MEM 104.527344 1772212599.6391
MEM 104.527344 1772212599.7393
MEM 104.542969 1772212599.8395
MEM 104.546875 1772212599.9398
MEM 104.554688 1772212600.0400
MEM 104.566406 1772212600.1402
MEM 104.574219 1772212600.2404
MEM 104.582031 1772212600.3406
MEM 104.585938 1772212600.4408
MEM 104.593750 1772212600.5410
MEM 104.605469 1772212600.6413
MEM 104.613281 1772212600.7415
MEM 104.621094 1772212600.8418
MEM 104.625000 1772212600.9420
MEM 104.636719 1772212601.0422
MEM 104.644531 1772212601.1425
MEM 104.656250 1772212601.2427
MEM 104.660156 1772212601.3430
MEM 104.664062 1772212601.4432
MEM 104.671875 1772212601.5434
MEM 104.683594 1772212601.6437
MEM 104.695312 1772212601.7439
MEM 104.703125 1772212601.8441
MEM 104.710938 1772212601.9443
MEM 104.718750 1772212602.0446
MEM 104.726562 1772212602.1448
MEM 104.734375 1772212602.2451
MEM 104.742188 1772212602.3453
MEM 104.750000 1772212602.4455
MEM 104.761719 1772212602.5458
MEM 104.769531 1772212602.6460
MEM 104.777344 1772212602.7462
MEM 104.785156 1772212602.8465
MEM 104.796875 1772212602.9467
MEM 104.800781 1772212603.0469
MEM 104.808594 1772212603.1471
MEM 104.820312 1772212603.2474
MEM 104.824219 1772212603.3477
