CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1772212614.7483
MEM 32.867188 1772212614.8489
MEM 50.402344 1772212614.9491
MEM 69.320312 1772212615.0494
MEM 85.054688 1772212615.1496
MEM 92.882812 1772212615.2499
MEM 98.632812 1772212615.3501
MEM 102.781250 1772212615.4504
MEM 103.496094 1772212615.5507
MEM 106.148438 1772212615.6509
MEM 106.238281 1772212615.7511
MEM 106.398438 1772212615.8514
MEM 106.496094 1772212615.9516
MEM 106.539062 1772212616.0518
MEM 106.542969 1772212616.1520
MEM 106.550781 1772212616.2523
MEM 106.550781 1772212616.3525
MEM 106.550781 1772212616.4528
MEM 106.554688 1772212616.5530
MEM 106.554688 1772212616.6532
MEM 106.554688 1772212616.7534
MEM 106.554688 1772212616.8537
MEM 106.554688 1772212616.9540
MEM 106.554688 1772212617.0542
MEM 106.558594 1772212617.1544
MEM 106.558594 1772212617.2546
MEM 106.558594 1772212617.3549
MEM 106.574219 1772212617.4551
MEM 106.574219 1772212617.5553
MEM 106.593750 1772212617.6555
MEM 106.593750 1772212617.7558
MEM 106.593750 1772212617.8560
MEM 106.597656 1772212617.9562
MEM 106.597656 1772212618.0565
MEM 106.597656 1772212618.1567
MEM 106.601562 1772212618.2569
MEM 106.601562 1772212618.3572
MEM 106.601562 1772212618.4574
MEM 106.605469 1772212618.5576
MEM 106.605469 1772212618.6578
MEM 106.605469 1772212618.7581
MEM 106.605469 1772212618.8583
MEM 106.605469 1772212618.9585
MEM 106.605469 1772212619.0588
MEM 106.605469 1772212619.1590
MEM 106.605469 1772212619.2591
MEM 106.609375 1772212619.3594
MEM 106.609375 1772212619.4596
MEM 106.609375 1772212619.5598
MEM 106.609375 1772212619.6601
MEM 106.609375 1772212619.7603
MEM 106.617188 1772212619.8606
MEM 106.617188 1772212619.9609
MEM 106.617188 1772212620.0612
MEM 106.617188 1772212620.1614
MEM 106.617188 1772212620.2616
MEM 106.621094 1772212620.3618
MEM 106.621094 1772212620.4621
MEM 106.621094 1772212620.5623
MEM 106.621094 1772212620.6626
MEM 106.621094 1772212620.7629
MEM 106.621094 1772212620.8631
MEM 106.621094 1772212620.9633
MEM 106.625000 1772212621.0635
MEM 106.625000 1772212621.1638
MEM 106.625000 1772212621.2640
MEM 106.625000 1772212621.3642
MEM 106.625000 1772212621.4644
MEM 106.625000 1772212621.5646
MEM 106.628906 1772212621.6649
MEM 106.632812 1772212621.7651
MEM 106.632812 1772212621.8654
MEM 106.632812 1772212621.9656
MEM 106.632812 1772212622.0659
MEM 106.632812 1772212622.1661
MEM 106.632812 1772212622.2663
MEM 106.632812 1772212622.3665
MEM 106.636719 1772212622.4668
MEM 106.636719 1772212622.5670
MEM 106.636719 1772212622.6672
MEM 106.640625 1772212622.7674
MEM 106.640625 1772212622.8677
MEM 106.640625 1772212622.9679
MEM 106.640625 1772212623.0681
MEM 106.640625 1772212623.1684
MEM 106.644531 1772212623.2686
MEM 106.644531 1772212623.3689
MEM 106.644531 1772212623.4690
MEM 106.644531 1772212623.5693
MEM 106.648438 1772212623.6695
MEM 106.648438 1772212623.7698
MEM 106.648438 1772212623.8700
MEM 106.648438 1772212623.9702
MEM 106.648438 1772212624.0704
MEM 106.648438 1772212624.1706
MEM 106.652344 1772212624.2709
MEM 106.652344 1772212624.3711
MEM 106.652344 1772212624.4713
MEM 106.656250 1772212624.5715
MEM 106.656250 1772212624.6718
MEM 106.656250 1772212624.7720
MEM 106.656250 1772212624.8722
MEM 106.656250 1772212624.9724
MEM 106.656250 1772212625.0727
MEM 106.656250 1772212625.1729
MEM 106.656250 1772212625.2731
MEM 106.660156 1772212625.3734
MEM 106.660156 1772212625.4736
MEM 106.664062 1772212625.5738
MEM 106.664062 1772212625.6740
MEM 106.664062 1772212625.7742
MEM 106.664062 1772212625.8745
MEM 106.664062 1772212625.9747
MEM 106.667969 1772212626.0749
MEM 106.667969 1772212626.1751
MEM 106.667969 1772212626.2753
MEM 106.667969 1772212626.3755
MEM 106.667969 1772212626.4758
MEM 106.671875 1772212626.5760
MEM 106.671875 1772212626.6762
MEM 106.671875 1772212626.7764
MEM 106.671875 1772212626.8766
MEM 106.675781 1772212626.9768
MEM 106.675781 1772212627.0771
MEM 106.675781 1772212627.1773
MEM 106.675781 1772212627.2775
MEM 106.679688 1772212627.3778
MEM 106.679688 1772212627.4780
MEM 106.679688 1772212627.5782
MEM 106.679688 1772212627.6784
MEM 106.679688 1772212627.7786
MEM 106.679688 1772212627.8788
MEM 106.683594 1772212627.9790
MEM 106.683594 1772212628.0793
MEM 106.683594 1772212628.1795
MEM 106.683594 1772212628.2797
MEM 106.687500 1772212628.3799
MEM 106.687500 1772212628.4801
MEM 106.687500 1772212628.5803
MEM 106.687500 1772212628.6806
MEM 106.691406 1772212628.7808
MEM 106.691406 1772212628.8810
MEM 106.691406 1772212628.9812
MEM 106.691406 1772212629.0814
MEM 106.691406 1772212629.1816
MEM 106.691406 1772212629.2818
MEM 106.691406 1772212629.3821
MEM 106.691406 1772212629.4823
MEM 106.699219 1772212629.5825
MEM 106.699219 1772212629.6827
MEM 106.703125 1772212629.7830
MEM 106.703125 1772212629.8832
MEM 106.703125 1772212629.9834
MEM 106.703125 1772212630.0836
MEM 106.703125 1772212630.1839
MEM 106.707031 1772212630.2841
MEM 106.707031 1772212630.3843
MEM 106.707031 1772212630.4845
MEM 106.707031 1772212630.5847
MEM 106.707031 1772212630.6850
MEM 106.710938 1772212630.7852
MEM 106.710938 1772212630.8854
MEM 106.710938 1772212630.9856
MEM 106.710938 1772212631.0859
MEM 106.710938 1772212631.1861
MEM 106.714844 1772212631.2863
MEM 106.714844 1772212631.3865
MEM 106.714844 1772212631.4868
MEM 106.714844 1772212631.5870
MEM 106.718750 1772212631.6872
MEM 106.718750 1772212631.7875
MEM 106.718750 1772212631.8877
MEM 106.718750 1772212631.9879
MEM 106.718750 1772212632.0882
MEM 106.722656 1772212632.1884
MEM 106.722656 1772212632.2886
MEM 106.722656 1772212632.3888
MEM 106.722656 1772212632.4890
MEM 106.722656 1772212632.5893
MEM 106.726562 1772212632.6895
MEM 106.726562 1772212632.7897
MEM 106.726562 1772212632.8899
MEM 106.726562 1772212632.9902
MEM 106.726562 1772212633.0904
MEM 104.789062 1772212633.1907
