CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1772303991.6580
MEM 25.898438 1772303991.7582
MEM 34.230469 1772303991.8585
MEM 44.511719 1772303991.9600
MEM 55.847656 1772303992.0602
MEM 70.402344 1772303992.1605
MEM 84.101562 1772303992.2607
MEM 95.753906 1772303992.3610
MEM 95.753906 1772303992.4612
MEM 96.468750 1772303992.5615
MEM 96.519531 1772303992.6619
MEM 96.519531 1772303992.7622
MEM 96.527344 1772303992.8625
MEM 97.070312 1772303992.9627
MEM 97.167969 1772303993.0630
MEM 97.167969 1772303993.1632
MEM 97.167969 1772303993.2635
MEM 97.167969 1772303993.3639
MEM 97.167969 1772303993.4641
MEM 97.167969 1772303993.5643
MEM 100.148438 1772303993.6646
MEM 105.500000 1772303993.7649
MEM 108.910156 1772303993.8652
MEM 109.851562 1772303993.9655
MEM 113.429688 1772303994.0659
MEM 114.167969 1772303994.1662
MEM 114.394531 1772303994.2664
MEM 114.457031 1772303994.3667
MEM 114.531250 1772303994.4670
MEM 114.597656 1772303994.5674
MEM 112.781250 1772303994.6677
