CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_heterodimerization_small.py
MEM 0.257812 1773084474.5661
MEM 26.042969 1773084474.6663
MEM 30.753906 1773084474.7666
MEM 31.484375 1773084474.8669
MEM 34.171875 1773084474.9672
MEM 34.199219 1773084475.0675
MEM 43.277344 1773084475.1682
MEM 45.453125 1773084475.2685
MEM 57.593750 1773084475.3688
MEM 74.464844 1773084475.4690
MEM 84.488281 1773084475.5693
MEM 95.968750 1773084475.6696
MEM 95.968750 1773084475.7699
MEM 95.968750 1773084475.8702
MEM 96.656250 1773084475.9705
MEM 96.734375 1773084476.0707
MEM 96.734375 1773084476.1710
MEM 96.734375 1773084476.2713
MEM 96.734375 1773084476.3715
MEM 97.246094 1773084476.4718
MEM 97.246094 1773084476.5721
MEM 97.246094 1773084476.6725
MEM 97.246094 1773084476.7727
MEM 97.246094 1773084476.8730
MEM 97.246094 1773084476.9732
MEM 97.246094 1773084477.0735
MEM 97.246094 1773084477.1738
MEM 97.246094 1773084477.2741
MEM 97.246094 1773084477.3743
MEM 97.246094 1773084477.4745
MEM 97.347656 1773084477.5747
MEM 97.347656 1773084477.6750
MEM 97.347656 1773084477.7752
MEM 99.917969 1773084477.8754
MEM 105.097656 1773084477.9757
MEM 108.886719 1773084478.0760
MEM 110.480469 1773084478.1762
MEM 111.496094 1773084478.2766
MEM 114.777344 1773084478.3768
MEM 114.996094 1773084478.4771
MEM 115.074219 1773084478.5774
MEM 115.167969 1773084478.6777
MEM 115.210938 1773084478.7779
MEM 112.285156 1773084478.8783
