CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1773423258.2574
MEM 26.078125 1773423258.3577
MEM 34.640625 1773423258.4580
MEM 49.023438 1773423258.5586
MEM 66.429688 1773423258.6589
MEM 81.890625 1773423258.7591
MEM 95.972656 1773423258.8593
MEM 96.675781 1773423258.9596
MEM 96.722656 1773423259.0598
MEM 97.433594 1773423259.1600
MEM 98.003906 1773423259.2603
MEM 104.082031 1773423259.3605
MEM 108.421875 1773423259.4608
MEM 110.175781 1773423259.5611
MEM 110.937500 1773423259.6614
MEM 114.312500 1773423259.7616
MEM 114.621094 1773423259.8619
MEM 114.718750 1773423259.9621
MEM 114.863281 1773423260.0623
MEM 114.925781 1773423260.1627
MEM 111.015625 1773423260.2630
