CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1773423283.9848
MEM 32.753906 1773423284.0856
MEM 49.718750 1773423284.1858
MEM 69.269531 1773423284.2861
MEM 85.214844 1773423284.3863
MEM 92.773438 1773423284.4866
MEM 99.152344 1773423284.5868
MEM 103.097656 1773423284.6871
MEM 103.968750 1773423284.7873
MEM 106.726562 1773423284.8876
MEM 106.808594 1773423284.9878
MEM 107.039062 1773423285.0881
MEM 108.117188 1773423285.1883
MEM 109.582031 1773423285.2886
MEM 109.582031 1773423285.3887
MEM 109.582031 1773423285.4890
MEM 109.582031 1773423285.5892
MEM 109.582031 1773423285.6894
MEM 109.582031 1773423285.7897
MEM 109.582031 1773423285.8899
MEM 109.582031 1773423285.9901
MEM 109.582031 1773423286.0904
MEM 109.582031 1773423286.1906
MEM 109.582031 1773423286.2909
MEM 109.582031 1773423286.3911
MEM 109.582031 1773423286.4913
MEM 109.582031 1773423286.5916
MEM 109.582031 1773423286.6918
MEM 109.582031 1773423286.7920
MEM 109.582031 1773423286.8922
MEM 109.582031 1773423286.9925
MEM 109.582031 1773423287.0928
MEM 109.582031 1773423287.1930
MEM 109.582031 1773423287.2933
MEM 109.582031 1773423287.3935
MEM 109.582031 1773423287.4938
MEM 109.582031 1773423287.5940
MEM 109.582031 1773423287.6943
MEM 109.582031 1773423287.7945
MEM 109.582031 1773423287.8948
MEM 109.582031 1773423287.9950
MEM 109.582031 1773423288.0953
MEM 109.582031 1773423288.1956
MEM 109.582031 1773423288.2958
MEM 109.582031 1773423288.3960
MEM 109.582031 1773423288.4962
MEM 109.582031 1773423288.5965
MEM 109.582031 1773423288.6968
MEM 109.582031 1773423288.7970
MEM 109.582031 1773423288.8973
MEM 109.582031 1773423288.9976
MEM 109.582031 1773423289.0979
MEM 109.582031 1773423289.1982
MEM 109.582031 1773423289.2984
MEM 109.582031 1773423289.3986
MEM 109.582031 1773423289.4988
MEM 109.582031 1773423289.5991
MEM 109.582031 1773423289.6993
MEM 109.582031 1773423289.7995
MEM 109.582031 1773423289.8997
MEM 109.582031 1773423290.0000
MEM 109.582031 1773423290.1003
MEM 109.582031 1773423290.2006
MEM 109.582031 1773423290.3009
MEM 109.582031 1773423290.4011
MEM 109.582031 1773423290.5014
MEM 109.582031 1773423290.6016
MEM 109.582031 1773423290.7018
MEM 109.582031 1773423290.8020
MEM 109.582031 1773423290.9024
MEM 109.582031 1773423291.0026
MEM 109.582031 1773423291.1029
MEM 109.582031 1773423291.2033
MEM 109.582031 1773423291.3035
MEM 109.582031 1773423291.4038
MEM 109.582031 1773423291.5040
MEM 109.582031 1773423291.6042
MEM 109.582031 1773423291.7045
MEM 109.582031 1773423291.8047
MEM 109.582031 1773423291.9049
MEM 109.582031 1773423292.0052
MEM 109.582031 1773423292.1054
MEM 109.582031 1773423292.2057
MEM 109.582031 1773423292.3059
MEM 109.582031 1773423292.4061
MEM 109.582031 1773423292.5063
MEM 109.582031 1773423292.6065
MEM 109.582031 1773423292.7068
MEM 109.582031 1773423292.8070
MEM 109.582031 1773423292.9072
MEM 109.582031 1773423293.0075
MEM 109.582031 1773423293.1077
MEM 109.582031 1773423293.2080
MEM 109.582031 1773423293.3082
MEM 109.582031 1773423293.4084
MEM 109.582031 1773423293.5087
MEM 109.582031 1773423293.6089
MEM 109.582031 1773423293.7091
MEM 109.582031 1773423293.8093
MEM 109.582031 1773423293.9096
MEM 109.582031 1773423294.0098
MEM 109.582031 1773423294.1100
MEM 109.582031 1773423294.2103
MEM 109.582031 1773423294.3105
MEM 109.582031 1773423294.4107
MEM 109.582031 1773423294.5110
MEM 109.582031 1773423294.6112
MEM 109.582031 1773423294.7115
MEM 109.582031 1773423294.8117
MEM 109.582031 1773423294.9119
MEM 109.582031 1773423295.0121
MEM 109.582031 1773423295.1124
MEM 109.582031 1773423295.2126
MEM 109.582031 1773423295.3128
MEM 109.582031 1773423295.4131
MEM 109.582031 1773423295.5133
MEM 109.582031 1773423295.6135
MEM 109.582031 1773423295.7138
MEM 109.582031 1773423295.8140
MEM 109.582031 1773423295.9143
MEM 109.582031 1773423296.0145
MEM 109.582031 1773423296.1148
MEM 109.582031 1773423296.2150
MEM 109.582031 1773423296.3152
MEM 109.582031 1773423296.4155
MEM 109.582031 1773423296.5157
MEM 109.582031 1773423296.6160
MEM 109.582031 1773423296.7162
MEM 109.582031 1773423296.8164
MEM 109.582031 1773423296.9166
MEM 109.582031 1773423297.0168
MEM 109.582031 1773423297.1171
MEM 109.582031 1773423297.2173
MEM 109.582031 1773423297.3176
MEM 109.582031 1773423297.4178
MEM 109.582031 1773423297.5180
MEM 109.582031 1773423297.6182
MEM 109.582031 1773423297.7185
MEM 109.582031 1773423297.8187
MEM 109.582031 1773423297.9189
MEM 109.582031 1773423298.0192
MEM 109.582031 1773423298.1194
MEM 109.582031 1773423298.2197
MEM 109.582031 1773423298.3199
MEM 109.582031 1773423298.4201
MEM 109.582031 1773423298.5204
MEM 109.582031 1773423298.6206
MEM 109.582031 1773423298.7208
MEM 109.582031 1773423298.8210
MEM 109.582031 1773423298.9213
MEM 109.582031 1773423299.0215
MEM 109.582031 1773423299.1217
MEM 109.582031 1773423299.2219
MEM 109.582031 1773423299.3222
MEM 109.582031 1773423299.4225
MEM 109.582031 1773423299.5227
MEM 109.582031 1773423299.6229
MEM 109.582031 1773423299.7231
MEM 109.582031 1773423299.8234
MEM 109.582031 1773423299.9236
MEM 109.582031 1773423300.0239
MEM 109.582031 1773423300.1241
MEM 109.582031 1773423300.2245
MEM 109.582031 1773423300.3247
MEM 109.582031 1773423300.4250
MEM 109.582031 1773423300.5252
MEM 109.582031 1773423300.6255
MEM 109.582031 1773423300.7256
MEM 109.582031 1773423300.8259
MEM 109.582031 1773423300.9261
MEM 109.582031 1773423301.0263
MEM 109.582031 1773423301.1265
MEM 109.582031 1773423301.2268
MEM 109.582031 1773423301.3270
MEM 109.582031 1773423301.4273
MEM 109.582031 1773423301.5275
MEM 109.582031 1773423301.6277
MEM 109.582031 1773423301.7279
MEM 109.582031 1773423301.8282
MEM 109.585938 1773423301.9284
MEM 109.589844 1773423302.0287
MEM 109.593750 1773423302.1289
MEM 106.632812 1773423302.2292
