CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_uni_bi_small.py
MEM 0.453125 1773428467.4626
MEM 34.167969 1773428467.5635
MEM 52.261719 1773428467.6637
MEM 70.203125 1773428467.7639
MEM 87.679688 1773428467.8641
MEM 93.867188 1773428467.9643
MEM 100.472656 1773428468.0646
MEM 101.625000 1773428468.1649
MEM 104.726562 1773428468.2651
MEM 104.800781 1773428468.3655
MEM 104.976562 1773428468.4657
MEM 106.000000 1773428468.5660
MEM 107.113281 1773428468.6663
MEM 107.113281 1773428468.7665
MEM 107.113281 1773428468.8668
MEM 107.113281 1773428468.9671
MEM 107.113281 1773428469.0674
MEM 107.113281 1773428469.1678
MEM 107.113281 1773428469.2680
MEM 107.113281 1773428469.3683
MEM 107.113281 1773428469.4686
MEM 107.113281 1773428469.5688
MEM 107.113281 1773428469.6691
MEM 107.113281 1773428469.7695
MEM 107.113281 1773428469.8697
MEM 107.113281 1773428469.9700
MEM 107.113281 1773428470.0703
MEM 107.113281 1773428470.1706
MEM 107.113281 1773428470.2709
MEM 107.113281 1773428470.3712
MEM 107.113281 1773428470.4714
MEM 107.113281 1773428470.5717
MEM 107.113281 1773428470.6720
MEM 107.113281 1773428470.7723
MEM 107.113281 1773428470.8726
MEM 107.113281 1773428470.9729
MEM 107.113281 1773428471.0731
MEM 107.113281 1773428471.1735
MEM 107.113281 1773428471.2737
MEM 107.113281 1773428471.3740
MEM 107.113281 1773428471.4743
MEM 107.113281 1773428471.5745
MEM 107.113281 1773428471.6748
MEM 107.113281 1773428471.7751
MEM 107.113281 1773428471.8754
MEM 107.113281 1773428471.9757
MEM 107.113281 1773428472.0759
MEM 107.113281 1773428472.1762
MEM 107.113281 1773428472.2765
MEM 107.113281 1773428472.3768
MEM 107.113281 1773428472.4770
MEM 107.113281 1773428472.5774
MEM 107.113281 1773428472.6777
MEM 107.113281 1773428472.7779
MEM 107.113281 1773428472.8782
MEM 107.113281 1773428472.9785
MEM 107.113281 1773428473.0788
