CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1773416072.7676
MEM 26.339844 1773416072.8679
MEM 34.953125 1773416072.9682
MEM 44.324219 1773416073.0694
MEM 60.042969 1773416073.1697
MEM 76.257812 1773416073.2700
MEM 91.402344 1773416073.3703
MEM 95.960938 1773416073.4706
MEM 96.546875 1773416073.5708
MEM 96.726562 1773416073.6710
MEM 97.203125 1773416073.7713
MEM 97.203125 1773416073.8715
MEM 97.203125 1773416073.9717
MEM 97.203125 1773416074.0719
MEM 97.203125 1773416074.1721
MEM 97.312500 1773416074.2723
MEM 97.312500 1773416074.3725
MEM 97.312500 1773416074.4727
MEM 97.433594 1773416074.5729
MEM 101.375000 1773416074.6731
MEM 106.070312 1773416074.7733
MEM 109.761719 1773416074.8736
MEM 110.390625 1773416074.9738
MEM 113.933594 1773416075.0741
MEM 114.531250 1773416075.1744
MEM 114.707031 1773416075.2746
MEM 114.816406 1773416075.3748
MEM 114.882812 1773416075.4750
MEM 112.984375 1773416075.5754
