CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1773428973.6641
MEM 32.609375 1773428973.7654
MEM 48.625000 1773428973.8656
MEM 68.632812 1773428973.9659
MEM 82.839844 1773428974.0662
MEM 92.226562 1773428974.1665
MEM 97.363281 1773428974.2668
MEM 102.507812 1773428974.3673
MEM 103.507812 1773428974.4676
MEM 106.722656 1773428974.5680
MEM 106.722656 1773428974.6684
MEM 106.882812 1773428974.7687
MEM 107.023438 1773428974.8690
MEM 108.613281 1773428974.9694
MEM 109.253906 1773428975.0696
MEM 109.253906 1773428975.1700
MEM 109.253906 1773428975.2703
MEM 109.253906 1773428975.3705
MEM 109.253906 1773428975.4709
MEM 109.253906 1773428975.5712
MEM 109.253906 1773428975.6715
MEM 109.253906 1773428975.7718
MEM 109.253906 1773428975.8723
MEM 109.253906 1773428975.9726
MEM 109.253906 1773428976.0729
MEM 109.253906 1773428976.1733
MEM 109.253906 1773428976.2735
MEM 109.253906 1773428976.3739
MEM 109.253906 1773428976.4742
MEM 109.253906 1773428976.5745
MEM 109.253906 1773428976.6749
MEM 109.253906 1773428976.7752
MEM 109.253906 1773428976.8756
MEM 109.253906 1773428976.9759
MEM 109.253906 1773428977.0763
MEM 109.253906 1773428977.1766
MEM 109.253906 1773428977.2769
MEM 109.253906 1773428977.3772
MEM 109.253906 1773428977.4775
MEM 109.253906 1773428977.5779
MEM 109.253906 1773428977.6782
MEM 109.253906 1773428977.7786
MEM 109.253906 1773428977.8789
MEM 109.253906 1773428977.9793
MEM 109.253906 1773428978.0796
MEM 109.253906 1773428978.1799
MEM 109.253906 1773428978.2803
MEM 109.253906 1773428978.3806
MEM 109.253906 1773428978.4809
MEM 109.253906 1773428978.5812
MEM 109.253906 1773428978.6815
MEM 109.253906 1773428978.7819
MEM 109.253906 1773428978.8823
MEM 109.253906 1773428978.9826
MEM 109.253906 1773428979.0829
MEM 109.253906 1773428979.1832
MEM 109.257812 1773428979.2835
MEM 109.257812 1773428979.3838
MEM 109.257812 1773428979.4842
MEM 109.257812 1773428979.5845
MEM 109.257812 1773428979.6849
MEM 109.257812 1773428979.7852
MEM 109.257812 1773428979.8856
MEM 109.257812 1773428979.9859
MEM 109.257812 1773428980.0862
MEM 109.257812 1773428980.1865
MEM 109.257812 1773428980.2869
MEM 109.257812 1773428980.3872
MEM 109.257812 1773428980.4875
MEM 109.257812 1773428980.5879
MEM 109.257812 1773428980.6883
MEM 109.257812 1773428980.7886
MEM 109.257812 1773428980.8889
MEM 109.257812 1773428980.9893
MEM 109.257812 1773428981.0896
MEM 109.257812 1773428981.1899
MEM 109.257812 1773428981.2903
MEM 109.257812 1773428981.3906
MEM 109.257812 1773428981.4909
MEM 109.257812 1773428981.5913
MEM 109.257812 1773428981.6916
MEM 109.257812 1773428981.7919
MEM 109.257812 1773428981.8923
MEM 109.257812 1773428981.9926
