CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1773429034.1405
MEM 28.132812 1773429034.2407
MEM 34.261719 1773429034.3409
MEM 44.101562 1773429034.4420
MEM 54.945312 1773429034.5422
MEM 70.492188 1773429034.6425
MEM 82.558594 1773429034.7427
MEM 94.078125 1773429034.8429
MEM 94.304688 1773429034.9432
MEM 94.808594 1773429035.0434
MEM 94.820312 1773429035.1437
MEM 94.820312 1773429035.2440
MEM 94.828125 1773429035.3443
MEM 95.398438 1773429035.4445
MEM 95.398438 1773429035.5447
MEM 95.398438 1773429035.6449
MEM 95.398438 1773429035.7452
MEM 95.890625 1773429035.8454
MEM 102.320312 1773429035.9457
MEM 106.414062 1773429036.0460
MEM 108.410156 1773429036.1463
MEM 111.769531 1773429036.2467
MEM 112.566406 1773429036.3471
MEM 112.875000 1773429036.4474
MEM 112.957031 1773429036.5477
MEM 113.156250 1773429036.6481
MEM 111.316406 1773429036.7484
