CMDLINE /opt/hostedtoolcache/Python/3.12.12/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1773588968.4732
MEM 25.906250 1773588968.5735
MEM 34.085938 1773588968.6738
MEM 43.167969 1773588968.7740
MEM 52.953125 1773588968.8744
MEM 66.812500 1773588968.9747
MEM 80.464844 1773588969.0750
MEM 95.968750 1773588969.1753
MEM 96.683594 1773588969.2756
MEM 96.707031 1773588969.3759
MEM 97.324219 1773588969.4762
MEM 97.777344 1773588969.5765
MEM 103.480469 1773588969.6768
MEM 108.097656 1773588969.7771
MEM 109.753906 1773588969.8774
MEM 110.343750 1773588969.9778
MEM 114.199219 1773588970.0781
MEM 114.566406 1773588970.1785
MEM 114.722656 1773588970.2788
MEM 114.851562 1773588970.3792
MEM 114.917969 1773588970.4796
MEM 113.000000 1773588970.5800
