CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1773588578.7894
MEM 26.089844 1773588578.8897
MEM 34.089844 1773588578.9900
MEM 43.214844 1773588579.0912
MEM 54.414062 1773588579.1915
MEM 63.648438 1773588579.2917
MEM 78.546875 1773588579.3920
MEM 93.093750 1773588579.4923
MEM 96.019531 1773588579.5926
MEM 96.660156 1773588579.6928
MEM 96.781250 1773588579.7932
MEM 97.320312 1773588579.8935
MEM 97.320312 1773588579.9937
MEM 97.320312 1773588580.0940
MEM 97.320312 1773588580.1944
MEM 97.320312 1773588580.2946
MEM 97.421875 1773588580.3949
MEM 97.421875 1773588580.4952
MEM 100.605469 1773588580.5955
MEM 105.847656 1773588580.6959
MEM 109.667969 1773588580.7962
MEM 110.523438 1773588580.8965
MEM 113.957031 1773588580.9968
MEM 114.593750 1773588581.0971
MEM 114.796875 1773588581.1975
MEM 114.875000 1773588581.2978
MEM 114.957031 1773588581.3981
MEM 112.988281 1773588581.4985
