CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.242188 1774643437.3195
MEM 30.671875 1774643437.4198
MEM 43.648438 1774643437.5205
MEM 65.050781 1774643437.6208
MEM 81.179688 1774643437.7211
MEM 91.531250 1774643437.8214
MEM 97.054688 1774643437.9217
MEM 102.601562 1774643438.0220
MEM 103.597656 1774643438.1224
MEM 106.820312 1774643438.2227
MEM 106.820312 1774643438.3230
MEM 106.992188 1774643438.4234
MEM 107.289062 1774643438.5237
MEM 108.027344 1774643438.6240
MEM 108.855469 1774643438.7244
MEM 108.867188 1774643438.8248
MEM 108.867188 1774643438.9251
MEM 108.867188 1774643439.0255
MEM 108.867188 1774643439.1258
MEM 108.867188 1774643439.2262
MEM 108.867188 1774643439.3265
MEM 108.886719 1774643439.4268
MEM 108.886719 1774643439.5272
MEM 108.886719 1774643439.6275
MEM 108.917969 1774643439.7278
MEM 108.917969 1774643439.8282
MEM 108.917969 1774643439.9285
MEM 108.917969 1774643440.0289
MEM 108.917969 1774643440.1293
MEM 108.921875 1774643440.2295
MEM 108.921875 1774643440.3298
MEM 108.921875 1774643440.4301
MEM 108.921875 1774643440.5304
MEM 108.921875 1774643440.6308
MEM 108.921875 1774643440.7311
MEM 108.921875 1774643440.8314
MEM 108.921875 1774643440.9317
MEM 108.921875 1774643441.0320
MEM 108.921875 1774643441.1325
MEM 108.921875 1774643441.2328
MEM 108.921875 1774643441.3331
MEM 108.921875 1774643441.4334
MEM 108.925781 1774643441.5337
MEM 108.925781 1774643441.6341
MEM 108.925781 1774643441.7344
MEM 108.964844 1774643441.8348
MEM 108.964844 1774643441.9351
MEM 108.964844 1774643442.0355
MEM 108.964844 1774643442.1358
MEM 108.964844 1774643442.2361
MEM 108.964844 1774643442.3365
MEM 108.964844 1774643442.4369
MEM 108.964844 1774643442.5373
MEM 108.964844 1774643442.6377
MEM 108.964844 1774643442.7380
MEM 108.964844 1774643442.8384
MEM 108.964844 1774643442.9387
MEM 108.964844 1774643443.0390
MEM 108.964844 1774643443.1394
MEM 108.964844 1774643443.2398
MEM 108.964844 1774643443.3401
MEM 108.964844 1774643443.4404
MEM 108.964844 1774643443.5408
MEM 108.988281 1774643443.6411
MEM 108.988281 1774643443.7415
