CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1774640750.1434
MEM 33.550781 1774640750.2461
MEM 47.972656 1774640750.3463
MEM 67.750000 1774640750.4466
MEM 82.929688 1774640750.5470
MEM 92.406250 1774640750.6472
MEM 97.757812 1774640750.7475
MEM 103.007812 1774640750.8477
MEM 103.808594 1774640750.9481
MEM 106.734375 1774640751.0483
MEM 106.781250 1774640751.1485
MEM 106.964844 1774640751.2487
MEM 107.449219 1774640751.3490
MEM 108.195312 1774640751.4492
MEM 108.652344 1774640751.5494
MEM 108.757812 1774640751.6497
MEM 108.757812 1774640751.7499
MEM 108.757812 1774640751.8502
MEM 108.761719 1774640751.9504
MEM 108.761719 1774640752.0506
MEM 108.761719 1774640752.1509
MEM 108.761719 1774640752.2511
MEM 108.761719 1774640752.3513
MEM 108.761719 1774640752.4516
MEM 108.761719 1774640752.5518
MEM 108.800781 1774640752.6520
MEM 108.800781 1774640752.7522
MEM 108.800781 1774640752.8525
MEM 108.800781 1774640752.9527
MEM 108.800781 1774640753.0530
MEM 108.808594 1774640753.1532
MEM 108.808594 1774640753.2535
MEM 108.808594 1774640753.3537
MEM 108.808594 1774640753.4540
MEM 108.808594 1774640753.5542
MEM 108.808594 1774640753.6544
MEM 108.808594 1774640753.7546
MEM 108.882812 1774640753.8548
MEM 108.882812 1774640753.9551
MEM 108.882812 1774640754.0553
MEM 108.882812 1774640754.1555
MEM 108.886719 1774640754.2557
MEM 108.886719 1774640754.3560
MEM 108.886719 1774640754.4562
MEM 108.886719 1774640754.5564
MEM 108.886719 1774640754.6566
MEM 108.886719 1774640754.7569
MEM 108.886719 1774640754.8571
MEM 108.886719 1774640754.9574
MEM 108.886719 1774640755.0576
MEM 108.886719 1774640755.1578
MEM 108.886719 1774640755.2581
MEM 108.886719 1774640755.3583
MEM 109.050781 1774640755.4585
MEM 109.050781 1774640755.5588
MEM 109.050781 1774640755.6590
MEM 109.050781 1774640755.7592
MEM 109.050781 1774640755.8595
MEM 109.050781 1774640755.9597
MEM 109.050781 1774640756.0600
MEM 109.050781 1774640756.1602
MEM 109.050781 1774640756.2605
MEM 109.050781 1774640756.3607
MEM 109.050781 1774640756.4610
MEM 109.050781 1774640756.5612
MEM 109.050781 1774640756.6615
MEM 109.050781 1774640756.7617
MEM 109.050781 1774640756.8619
MEM 109.050781 1774640756.9622
MEM 109.050781 1774640757.0624
MEM 109.050781 1774640757.1626
MEM 109.050781 1774640757.2628
MEM 109.050781 1774640757.3631
MEM 109.050781 1774640757.4633
MEM 109.050781 1774640757.5635
MEM 109.050781 1774640757.6637
MEM 109.050781 1774640757.7640
MEM 109.050781 1774640757.8642
MEM 109.050781 1774640757.9644
MEM 109.050781 1774640758.0646
MEM 109.050781 1774640758.1649
MEM 109.050781 1774640758.2652
MEM 109.050781 1774640758.3654
MEM 109.050781 1774640758.4656
MEM 109.050781 1774640758.5659
MEM 109.050781 1774640758.6661
MEM 109.050781 1774640758.7663
MEM 109.050781 1774640758.8665
MEM 109.050781 1774640758.9668
MEM 109.050781 1774640759.0670
MEM 109.050781 1774640759.1672
MEM 109.050781 1774640759.2675
MEM 109.050781 1774640759.3677
MEM 109.050781 1774640759.4678
MEM 109.050781 1774640759.5681
MEM 109.050781 1774640759.6683
MEM 109.050781 1774640759.7685
MEM 109.050781 1774640759.8687
MEM 109.050781 1774640759.9690
MEM 109.050781 1774640760.0692
MEM 109.050781 1774640760.1695
MEM 109.050781 1774640760.2697
MEM 109.050781 1774640760.3700
MEM 109.050781 1774640760.4702
MEM 109.050781 1774640760.5704
MEM 109.050781 1774640760.6707
MEM 109.050781 1774640760.7709
MEM 109.050781 1774640760.8711
MEM 109.050781 1774640760.9714
MEM 109.050781 1774640761.0716
MEM 109.050781 1774640761.1718
MEM 109.050781 1774640761.2720
MEM 109.050781 1774640761.3722
MEM 109.050781 1774640761.4724
MEM 109.050781 1774640761.5727
