CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.250000 1778521745.0743
MEM 31.933594 1778521745.1749
MEM 45.257812 1778521745.2752
MEM 65.882812 1778521745.3754
MEM 81.937500 1778521745.4757
MEM 92.265625 1778521745.5760
MEM 97.449219 1778521745.6763
MEM 102.972656 1778521745.7765
MEM 103.761719 1778521745.8769
MEM 106.812500 1778521745.9772
MEM 106.812500 1778521746.0774
MEM 106.882812 1778521746.1776
MEM 107.007812 1778521746.2779
MEM 107.183594 1778521746.3781
MEM 108.574219 1778521746.4784
MEM 109.347656 1778521746.5787
MEM 109.347656 1778521746.6789
MEM 109.347656 1778521746.7791
MEM 109.347656 1778521746.8793
MEM 109.347656 1778521746.9796
MEM 109.347656 1778521747.0798
MEM 109.347656 1778521747.1801
MEM 109.347656 1778521747.2803
MEM 109.347656 1778521747.3805
MEM 109.347656 1778521747.4808
MEM 109.347656 1778521747.5810
MEM 109.347656 1778521747.6813
MEM 109.347656 1778521747.7815
MEM 109.347656 1778521747.8818
MEM 109.347656 1778521747.9820
MEM 109.347656 1778521748.0822
MEM 109.347656 1778521748.1824
MEM 109.347656 1778521748.2826
MEM 109.347656 1778521748.3829
MEM 109.347656 1778521748.4831
MEM 109.347656 1778521748.5833
MEM 109.347656 1778521748.6836
MEM 109.347656 1778521748.7839
MEM 109.347656 1778521748.8841
MEM 109.347656 1778521748.9844
MEM 109.347656 1778521749.0846
MEM 109.347656 1778521749.1848
MEM 109.347656 1778521749.2850
MEM 109.347656 1778521749.3852
MEM 109.347656 1778521749.4855
MEM 109.347656 1778521749.5858
MEM 109.347656 1778521749.6861
MEM 109.347656 1778521749.7864
MEM 109.347656 1778521749.8867
MEM 109.347656 1778521749.9869
MEM 109.347656 1778521750.0871
MEM 109.347656 1778521750.1874
MEM 109.347656 1778521750.2876
MEM 109.347656 1778521750.3879
MEM 109.351562 1778521750.4881
MEM 109.351562 1778521750.5884
MEM 109.351562 1778521750.6886
MEM 109.351562 1778521750.7888
MEM 109.351562 1778521750.8891
MEM 109.351562 1778521750.9893
MEM 109.351562 1778521751.0895
MEM 109.351562 1778521751.1898
MEM 109.351562 1778521751.2900
MEM 109.351562 1778521751.3903
MEM 109.351562 1778521751.4906
MEM 109.351562 1778521751.5909
MEM 109.351562 1778521751.6911
MEM 109.351562 1778521751.7914
MEM 109.351562 1778521751.8916
MEM 109.351562 1778521751.9918
