CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1778871618.8186
MEM 26.066406 1778871618.9189
MEM 34.738281 1778871619.0192
MEM 50.128906 1778871619.1202
MEM 63.507812 1778871619.2205
MEM 79.113281 1778871619.3208
MEM 95.519531 1778871619.4211
MEM 96.941406 1778871619.5213
MEM 97.015625 1778871619.6216
MEM 98.335938 1778871619.7219
MEM 104.125000 1778871619.8222
MEM 108.230469 1778871619.9225
MEM 110.320312 1778871620.0228
MEM 113.109375 1778871620.1232
MEM 114.949219 1778871620.2235
MEM 115.261719 1778871620.3238
MEM 115.429688 1778871620.4242
MEM 115.515625 1778871620.5245
MEM 113.167969 1778871620.6248
