CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1779136355.2828
MEM 29.460938 1779136355.3830
MEM 41.144531 1779136355.4837
MEM 61.769531 1779136355.5839
MEM 76.804688 1779136355.6842
MEM 88.406250 1779136355.7845
MEM 92.753906 1779136355.8848
MEM 97.964844 1779136355.9851
MEM 101.121094 1779136356.0855
MEM 101.847656 1779136356.1858
MEM 104.304688 1779136356.2862
MEM 104.304688 1779136356.3865
MEM 104.386719 1779136356.4868
MEM 104.515625 1779136356.5872
MEM 105.296875 1779136356.6875
MEM 107.066406 1779136356.7879
MEM 107.066406 1779136356.8882
MEM 107.066406 1779136356.9885
MEM 107.066406 1779136357.0889
MEM 107.066406 1779136357.1892
MEM 107.066406 1779136357.2896
MEM 107.066406 1779136357.3899
MEM 107.066406 1779136357.4903
MEM 107.066406 1779136357.5906
MEM 107.066406 1779136357.6909
MEM 107.066406 1779136357.7913
MEM 107.066406 1779136357.8917
MEM 107.066406 1779136357.9920
MEM 107.066406 1779136358.0923
MEM 107.066406 1779136358.1927
MEM 107.066406 1779136358.2930
MEM 107.066406 1779136358.3934
MEM 107.066406 1779136358.4937
MEM 107.066406 1779136358.5941
MEM 107.066406 1779136358.6944
MEM 107.066406 1779136358.7947
MEM 107.066406 1779136358.8951
MEM 107.066406 1779136358.9954
MEM 107.066406 1779136359.0957
MEM 107.066406 1779136359.1961
MEM 107.066406 1779136359.2964
MEM 107.066406 1779136359.3968
MEM 107.066406 1779136359.4971
MEM 107.066406 1779136359.5974
MEM 107.066406 1779136359.6978
MEM 107.066406 1779136359.7981
MEM 107.066406 1779136359.8984
MEM 107.066406 1779136359.9988
MEM 107.066406 1779136360.0991
MEM 107.066406 1779136360.1995
MEM 107.066406 1779136360.2998
MEM 107.066406 1779136360.4002
MEM 107.066406 1779136360.5006
MEM 107.066406 1779136360.6009
MEM 107.066406 1779136360.7013
MEM 107.066406 1779136360.8017
MEM 107.066406 1779136360.9020
MEM 107.066406 1779136361.0023
MEM 107.066406 1779136361.1026
MEM 107.066406 1779136361.2030
MEM 107.066406 1779136361.3033
MEM 107.066406 1779136361.4037
MEM 107.066406 1779136361.5041
MEM 107.066406 1779136361.6044
MEM 107.066406 1779136361.7047
MEM 107.066406 1779136361.8051
MEM 107.066406 1779136361.9054
MEM 107.066406 1779136362.0057
MEM 107.066406 1779136362.1061
MEM 107.066406 1779136362.2064
MEM 107.066406 1779136362.3067
MEM 107.066406 1779136362.4071
MEM 107.066406 1779136362.5074
MEM 107.070312 1779136362.6077
MEM 107.074219 1779136362.7081
MEM 107.074219 1779136362.8084
MEM 107.074219 1779136362.9087
MEM 107.074219 1779136363.0091
MEM 107.074219 1779136363.1094
MEM 107.074219 1779136363.2097
MEM 107.074219 1779136363.3101
MEM 107.074219 1779136363.4104
MEM 107.074219 1779136363.5108
MEM 107.074219 1779136363.6111
MEM 107.074219 1779136363.7114
MEM 107.074219 1779136363.8117
MEM 107.074219 1779136363.9120
MEM 107.140625 1779136364.0123
MEM 107.140625 1779136364.1127
MEM 107.140625 1779136364.2130
MEM 107.140625 1779136364.3132
MEM 107.140625 1779136364.4135
MEM 107.140625 1779136364.5137
MEM 107.140625 1779136364.6140
MEM 107.140625 1779136364.7143
MEM 107.140625 1779136364.8146
MEM 107.140625 1779136364.9149
MEM 107.140625 1779136365.0152
MEM 107.140625 1779136365.1154
MEM 107.140625 1779136365.2157
MEM 107.140625 1779136365.3161
MEM 107.140625 1779136365.4164
MEM 107.140625 1779136365.5167
MEM 107.140625 1779136365.6170
MEM 107.140625 1779136365.7172
MEM 107.140625 1779136365.8176
MEM 107.140625 1779136365.9179
MEM 107.140625 1779136366.0182
