CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.332031 1779121555.1989
MEM 26.484375 1779121555.2992
MEM 35.007812 1779121555.3995
MEM 47.796875 1779121555.5013
MEM 56.613281 1779121555.6016
MEM 70.312500 1779121555.7018
MEM 84.871094 1779121555.8021
MEM 93.875000 1779121555.9024
MEM 94.515625 1779121556.0026
MEM 94.593750 1779121556.1028
MEM 94.667969 1779121556.2030
MEM 94.667969 1779121556.3032
MEM 94.667969 1779121556.4035
MEM 94.667969 1779121556.5037
MEM 94.667969 1779121556.6039
MEM 94.667969 1779121556.7042
MEM 95.253906 1779121556.8044
MEM 95.253906 1779121556.9046
MEM 95.378906 1779121557.0049
MEM 99.308594 1779121557.1051
MEM 104.000000 1779121557.2054
MEM 107.675781 1779121557.3057
MEM 108.480469 1779121557.4059
MEM 112.382812 1779121557.5062
MEM 112.781250 1779121557.6064
MEM 112.925781 1779121557.7067
MEM 112.972656 1779121557.8070
MEM 113.226562 1779121557.9072
MEM 110.867188 1779121558.0075
