CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1779121582.9389
MEM 25.031250 1779121583.0392
MEM 38.359375 1779121583.1412
MEM 61.292969 1779121583.2415
MEM 77.593750 1779121583.3418
MEM 89.125000 1779121583.4421
MEM 94.683594 1779121583.5423
MEM 100.230469 1779121583.6426
MEM 101.339844 1779121583.7429
MEM 104.480469 1779121583.8433
MEM 104.480469 1779121583.9436
MEM 104.550781 1779121584.0438
MEM 104.621094 1779121584.1441
MEM 104.792969 1779121584.2443
MEM 105.964844 1779121584.3446
MEM 106.917969 1779121584.4448
MEM 106.917969 1779121584.5450
MEM 106.917969 1779121584.6452
MEM 106.917969 1779121584.7454
MEM 106.917969 1779121584.8457
MEM 106.917969 1779121584.9459
MEM 106.917969 1779121585.0462
MEM 106.917969 1779121585.1464
MEM 106.917969 1779121585.2466
MEM 106.917969 1779121585.3468
MEM 106.917969 1779121585.4470
MEM 106.917969 1779121585.5473
MEM 106.917969 1779121585.6476
MEM 106.917969 1779121585.7478
MEM 106.917969 1779121585.8482
MEM 106.917969 1779121585.9484
MEM 106.917969 1779121586.0486
MEM 106.917969 1779121586.1489
MEM 106.917969 1779121586.2491
MEM 106.917969 1779121586.3493
MEM 106.917969 1779121586.4496
MEM 106.917969 1779121586.5498
MEM 106.917969 1779121586.6501
MEM 106.917969 1779121586.7504
MEM 106.917969 1779121586.8506
MEM 106.917969 1779121586.9509
MEM 106.917969 1779121587.0512
MEM 106.917969 1779121587.1514
MEM 106.917969 1779121587.2518
MEM 106.917969 1779121587.3521
MEM 106.917969 1779121587.4523
MEM 106.917969 1779121587.5526
MEM 106.917969 1779121587.6528
MEM 106.917969 1779121587.7530
MEM 106.917969 1779121587.8533
MEM 106.917969 1779121587.9535
MEM 106.917969 1779121588.0538
MEM 106.917969 1779121588.1541
MEM 106.917969 1779121588.2545
MEM 106.917969 1779121588.3548
MEM 106.917969 1779121588.4550
MEM 106.917969 1779121588.5552
MEM 106.917969 1779121588.6554
MEM 106.917969 1779121588.7557
MEM 106.917969 1779121588.8560
MEM 106.917969 1779121588.9562
MEM 106.917969 1779121589.0564
MEM 106.917969 1779121589.1567
MEM 106.917969 1779121589.2570
MEM 106.917969 1779121589.3572
MEM 106.917969 1779121589.4575
MEM 106.917969 1779121589.5577
MEM 106.917969 1779121589.6579
MEM 106.917969 1779121589.7581
MEM 106.917969 1779121589.8584
MEM 106.917969 1779121589.9586
MEM 106.917969 1779121590.0589
MEM 106.917969 1779121590.1592
MEM 106.917969 1779121590.2594
MEM 106.917969 1779121590.3597
MEM 106.917969 1779121590.4599
MEM 106.917969 1779121590.5601
MEM 106.917969 1779121590.6603
MEM 106.917969 1779121590.7605
MEM 106.917969 1779121590.8608
MEM 106.917969 1779121590.9610
MEM 106.917969 1779121591.0613
MEM 106.917969 1779121591.1615
MEM 106.917969 1779121591.2618
MEM 106.917969 1779121591.3620
MEM 106.917969 1779121591.4622
MEM 106.917969 1779121591.5625
MEM 106.917969 1779121591.6626
MEM 106.917969 1779121591.7629
MEM 106.917969 1779121591.8632
MEM 106.917969 1779121591.9634
MEM 106.917969 1779121592.0636
MEM 106.917969 1779121592.1638
MEM 106.917969 1779121592.2640
MEM 106.917969 1779121592.3643
MEM 106.917969 1779121592.4645
MEM 106.917969 1779121592.5647
MEM 106.917969 1779121592.6650
MEM 106.917969 1779121592.7652
MEM 106.917969 1779121592.8655
MEM 106.917969 1779121592.9657
MEM 106.917969 1779121593.0660
MEM 106.917969 1779121593.1662
MEM 106.917969 1779121593.2665
MEM 106.917969 1779121593.3667
MEM 106.917969 1779121593.4669
MEM 106.917969 1779121593.5672
MEM 106.917969 1779121593.6673
MEM 106.917969 1779121593.7675
MEM 106.917969 1779121593.8678
MEM 106.917969 1779121593.9680
MEM 106.917969 1779121594.0682
MEM 106.917969 1779121594.1684
MEM 106.917969 1779121594.2686
MEM 106.917969 1779121594.3688
MEM 106.917969 1779121594.4690
MEM 106.917969 1779121594.5693
MEM 106.917969 1779121594.6695
MEM 106.917969 1779121594.7697
MEM 106.917969 1779121594.8701
MEM 106.917969 1779121594.9703
MEM 106.917969 1779121595.0706
MEM 106.917969 1779121595.1708
MEM 106.917969 1779121595.2711
MEM 106.917969 1779121595.3714
MEM 106.917969 1779121595.4716
MEM 106.917969 1779121595.5718
MEM 106.917969 1779121595.6720
MEM 106.917969 1779121595.7723
MEM 106.917969 1779121595.8726
MEM 106.917969 1779121595.9728
MEM 106.917969 1779121596.0730
MEM 106.917969 1779121596.1733
MEM 106.917969 1779121596.2735
MEM 106.917969 1779121596.3737
MEM 106.917969 1779121596.4739
MEM 106.917969 1779121596.5742
MEM 106.917969 1779121596.6745
MEM 106.917969 1779121596.7747
MEM 106.917969 1779121596.8750
MEM 106.917969 1779121596.9752
MEM 106.917969 1779121597.0754
MEM 106.917969 1779121597.1756
MEM 106.917969 1779121597.2758
MEM 106.917969 1779121597.3760
MEM 106.921875 1779121597.4763
MEM 106.921875 1779121597.5765
MEM 106.921875 1779121597.6768
MEM 106.921875 1779121597.7770
MEM 106.921875 1779121597.8773
MEM 106.921875 1779121597.9775
MEM 106.921875 1779121598.0777
MEM 106.921875 1779121598.1780
MEM 106.921875 1779121598.2782
MEM 106.921875 1779121598.3784
MEM 106.921875 1779121598.4787
MEM 106.921875 1779121598.5789
MEM 106.921875 1779121598.6791
MEM 106.921875 1779121598.7793
MEM 106.921875 1779121598.8796
MEM 106.921875 1779121598.9798
MEM 106.921875 1779121599.0801
MEM 106.921875 1779121599.1803
MEM 106.921875 1779121599.2806
MEM 106.921875 1779121599.3808
MEM 106.921875 1779121599.4810
MEM 106.925781 1779121599.5812
MEM 106.929688 1779121599.6814
MEM 106.929688 1779121599.7817
MEM 106.933594 1779121599.8819
MEM 106.933594 1779121599.9823
MEM 106.933594 1779121600.0826
MEM 106.933594 1779121600.1829
MEM 106.933594 1779121600.2831
MEM 106.933594 1779121600.3834
MEM 106.933594 1779121600.4836
MEM 106.933594 1779121600.5839
MEM 106.933594 1779121600.6841
MEM 106.933594 1779121600.7843
MEM 106.933594 1779121600.8846
MEM 106.933594 1779121600.9849
MEM 106.933594 1779121601.0851
MEM 106.933594 1779121601.1853
MEM 106.933594 1779121601.2856
MEM 106.933594 1779121601.3858
MEM 106.933594 1779121601.4860
MEM 106.933594 1779121601.5862
