CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1779482604.5211
MEM 31.246094 1779482604.6221
MEM 41.816406 1779482604.7223
MEM 63.910156 1779482604.8226
MEM 80.597656 1779482604.9228
MEM 90.140625 1779482605.0231
MEM 95.484375 1779482605.1233
MEM 100.878906 1779482605.2236
MEM 101.628906 1779482605.3239
MEM 104.613281 1779482605.4241
MEM 104.613281 1779482605.5244
MEM 104.664062 1779482605.6247
MEM 104.750000 1779482605.7250
MEM 104.992188 1779482605.8252
MEM 106.320312 1779482605.9255
MEM 107.281250 1779482606.0257
MEM 107.281250 1779482606.1261
MEM 107.281250 1779482606.2263
MEM 107.281250 1779482606.3265
MEM 107.281250 1779482606.4268
MEM 107.281250 1779482606.5271
MEM 107.281250 1779482606.6273
MEM 107.281250 1779482606.7275
MEM 107.281250 1779482606.8278
MEM 107.281250 1779482606.9280
MEM 107.281250 1779482607.0283
MEM 107.281250 1779482607.1285
MEM 107.281250 1779482607.2288
MEM 107.281250 1779482607.3290
MEM 107.281250 1779482607.4292
MEM 107.281250 1779482607.5295
MEM 107.281250 1779482607.6297
MEM 107.281250 1779482607.7300
MEM 107.281250 1779482607.8303
MEM 107.281250 1779482607.9306
MEM 107.281250 1779482608.0308
MEM 107.281250 1779482608.1311
MEM 107.281250 1779482608.2313
MEM 107.281250 1779482608.3316
MEM 107.281250 1779482608.4318
MEM 107.281250 1779482608.5321
MEM 107.281250 1779482608.6324
MEM 107.281250 1779482608.7326
MEM 107.281250 1779482608.8328
MEM 107.281250 1779482608.9331
MEM 107.281250 1779482609.0334
MEM 107.281250 1779482609.1337
MEM 107.281250 1779482609.2341
MEM 107.281250 1779482609.3343
MEM 107.281250 1779482609.4347
MEM 107.281250 1779482609.5350
MEM 107.281250 1779482609.6354
MEM 107.281250 1779482609.7357
MEM 107.281250 1779482609.8361
MEM 107.281250 1779482609.9364
MEM 107.281250 1779482610.0367
MEM 107.281250 1779482610.1371
MEM 107.281250 1779482610.2374
MEM 107.281250 1779482610.3377
MEM 107.281250 1779482610.4380
MEM 107.281250 1779482610.5383
MEM 107.281250 1779482610.6387
MEM 107.281250 1779482610.7389
MEM 107.281250 1779482610.8392
MEM 107.281250 1779482610.9396
MEM 107.281250 1779482611.0399
MEM 107.281250 1779482611.1402
MEM 107.281250 1779482611.2405
MEM 107.281250 1779482611.3408
MEM 107.281250 1779482611.4412
MEM 107.281250 1779482611.5415
MEM 107.281250 1779482611.6418
MEM 107.281250 1779482611.7421
MEM 107.281250 1779482611.8424
MEM 107.281250 1779482611.9428
MEM 107.281250 1779482612.0431
MEM 107.281250 1779482612.1435
MEM 107.281250 1779482612.2438
MEM 107.281250 1779482612.3441
MEM 107.281250 1779482612.4444
MEM 107.281250 1779482612.5447
MEM 107.281250 1779482612.6451
MEM 107.281250 1779482612.7453
MEM 107.281250 1779482612.8456
MEM 107.281250 1779482612.9460
MEM 107.281250 1779482613.0463
MEM 107.281250 1779482613.1466
MEM 107.281250 1779482613.2469
MEM 107.281250 1779482613.3473
MEM 107.281250 1779482613.4476
MEM 107.281250 1779482613.5479
MEM 107.281250 1779482613.6482
MEM 107.281250 1779482613.7485
MEM 107.281250 1779482613.8489
MEM 107.281250 1779482613.9492
MEM 107.281250 1779482614.0495
MEM 107.281250 1779482614.1498
MEM 107.281250 1779482614.2501
MEM 107.281250 1779482614.3504
MEM 107.281250 1779482614.4507
MEM 107.281250 1779482614.5511
MEM 107.281250 1779482614.6514
MEM 107.281250 1779482614.7518
MEM 107.281250 1779482614.8521
MEM 107.281250 1779482614.9524
