CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1779826203.7939
MEM 26.273438 1779826203.8942
MEM 33.898438 1779826203.9944
MEM 35.281250 1779826204.0947
MEM 47.621094 1779826204.1957
MEM 54.445312 1779826204.2960
MEM 57.488281 1779826204.3962
MEM 73.007812 1779826204.4966
MEM 87.371094 1779826204.5969
MEM 93.757812 1779826204.6971
MEM 93.941406 1779826204.7974
MEM 94.484375 1779826204.8977
MEM 95.089844 1779826204.9980
MEM 95.089844 1779826205.0982
MEM 95.187500 1779826205.1985
MEM 95.187500 1779826205.2988
MEM 95.187500 1779826205.3991
MEM 95.187500 1779826205.4994
MEM 95.187500 1779826205.5997
MEM 95.187500 1779826205.7000
MEM 95.187500 1779826205.8003
MEM 96.304688 1779826205.9006
MEM 102.242188 1779826206.0009
MEM 105.792969 1779826206.1011
MEM 108.039062 1779826206.2014
MEM 111.855469 1779826206.3017
MEM 112.546875 1779826206.4021
MEM 112.898438 1779826206.5023
MEM 112.957031 1779826206.6027
MEM 113.171875 1779826206.7030
