CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1779808963.5931
MEM 26.296875 1779808963.6934
MEM 34.347656 1779808963.7937
MEM 46.691406 1779808963.8957
MEM 60.656250 1779808963.9960
MEM 75.078125 1779808964.0962
MEM 87.765625 1779808964.1965
MEM 94.554688 1779808964.2968
MEM 94.582031 1779808964.3971
MEM 95.128906 1779808964.4973
MEM 98.148438 1779808964.5977
MEM 103.542969 1779808964.6980
MEM 107.164062 1779808964.7983
MEM 108.207031 1779808964.8987
MEM 111.992188 1779808964.9990
MEM 112.593750 1779808965.0993
MEM 112.832031 1779808965.1997
MEM 112.910156 1779808965.3001
MEM 112.949219 1779808965.4004
MEM 112.980469 1779808965.5008
MEM 110.046875 1779808965.6011
