CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.265625 1779987864.9937
MEM 26.500000 1779987865.0940
MEM 34.632812 1779987865.1944
MEM 45.964844 1779987865.2954
MEM 61.843750 1779987865.3958
MEM 74.273438 1779987865.4961
MEM 90.554688 1779987865.5964
MEM 93.714844 1779987865.6967
MEM 94.375000 1779987865.7970
MEM 94.507812 1779987865.8975
MEM 94.765625 1779987865.9977
MEM 95.078125 1779987866.0981
MEM 95.078125 1779987866.1985
MEM 95.078125 1779987866.2988
MEM 95.078125 1779987866.3990
MEM 97.539062 1779987866.4994
MEM 102.617188 1779987866.5997
MEM 106.425781 1779987866.7000
MEM 108.101562 1779987866.8004
MEM 111.808594 1779987866.9006
MEM 112.453125 1779987867.0010
MEM 112.683594 1779987867.1014
MEM 112.796875 1779987867.2017
MEM 113.050781 1779987867.3021
MEM 113.238281 1779987867.4024
MEM 0.000000 1779987867.5027
