CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.250000 1780932478.7628
MEM 26.402344 1780932478.8631
MEM 34.875000 1780932478.9633
MEM 47.218750 1780932479.0644
MEM 54.953125 1780932479.1646
MEM 63.742188 1780932479.2649
MEM 77.312500 1780932479.3653
MEM 89.574219 1780932479.4656
MEM 93.886719 1780932479.5658
MEM 94.429688 1780932479.6661
MEM 95.132812 1780932479.7664
MEM 98.261719 1780932479.8667
MEM 103.527344 1780932479.9670
MEM 107.367188 1780932480.0673
MEM 108.199219 1780932480.1676
MEM 112.058594 1780932480.2679
MEM 112.503906 1780932480.3683
MEM 112.800781 1780932480.4686
MEM 113.031250 1780932480.5689
MEM 113.070312 1780932480.6693
MEM 113.101562 1780932480.7696
MEM 108.914062 1780932480.8699
