CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1780940596.5118
MEM 29.796875 1780940596.6121
MEM 41.769531 1780940596.7145
MEM 63.593750 1780940596.8148
MEM 80.398438 1780940596.9151
MEM 89.894531 1780940597.0154
MEM 95.234375 1780940597.1157
MEM 100.621094 1780940597.2159
MEM 101.394531 1780940597.3162
MEM 104.425781 1780940597.4165
MEM 104.425781 1780940597.5167
MEM 104.480469 1780940597.6169
MEM 104.585938 1780940597.7172
MEM 104.816406 1780940597.8175
MEM 106.089844 1780940597.9177
MEM 107.093750 1780940598.0179
MEM 107.093750 1780940598.1182
MEM 107.093750 1780940598.2184
MEM 107.093750 1780940598.3187
MEM 107.093750 1780940598.4189
MEM 107.093750 1780940598.5191
MEM 107.093750 1780940598.6194
MEM 107.093750 1780940598.7196
MEM 107.093750 1780940598.8199
MEM 107.093750 1780940598.9201
MEM 107.093750 1780940599.0203
MEM 107.093750 1780940599.1206
MEM 107.093750 1780940599.2208
MEM 107.093750 1780940599.3210
MEM 107.093750 1780940599.4212
MEM 107.093750 1780940599.5216
MEM 107.093750 1780940599.6219
MEM 107.093750 1780940599.7221
MEM 107.093750 1780940599.8224
MEM 107.093750 1780940599.9226
MEM 107.093750 1780940600.0229
MEM 107.093750 1780940600.1231
MEM 107.093750 1780940600.2234
MEM 107.093750 1780940600.3236
MEM 107.093750 1780940600.4239
MEM 107.093750 1780940600.5241
MEM 107.093750 1780940600.6243
MEM 107.093750 1780940600.7246
MEM 107.093750 1780940600.8248
MEM 107.093750 1780940600.9250
MEM 107.093750 1780940601.0252
MEM 107.093750 1780940601.1255
MEM 107.093750 1780940601.2257
MEM 107.093750 1780940601.3259
MEM 107.093750 1780940601.4261
MEM 107.093750 1780940601.5264
MEM 107.093750 1780940601.6266
MEM 107.093750 1780940601.7269
MEM 107.093750 1780940601.8271
MEM 107.093750 1780940601.9274
MEM 107.093750 1780940602.0276
MEM 107.093750 1780940602.1278
MEM 107.093750 1780940602.2281
MEM 107.093750 1780940602.3283
MEM 107.093750 1780940602.4286
MEM 107.093750 1780940602.5288
MEM 107.093750 1780940602.6290
MEM 107.093750 1780940602.7292
MEM 107.093750 1780940602.8295
MEM 107.093750 1780940602.9297
MEM 107.093750 1780940603.0299
MEM 107.093750 1780940603.1301
MEM 107.093750 1780940603.2305
MEM 107.093750 1780940603.3307
MEM 107.093750 1780940603.4309
MEM 107.093750 1780940603.5311
MEM 107.093750 1780940603.6314
MEM 107.093750 1780940603.7316
MEM 107.093750 1780940603.8318
MEM 107.093750 1780940603.9321
MEM 107.093750 1780940604.0323
MEM 107.093750 1780940604.1326
MEM 107.093750 1780940604.2328
MEM 107.093750 1780940604.3330
MEM 107.093750 1780940604.4333
MEM 107.093750 1780940604.5335
MEM 107.093750 1780940604.6337
MEM 107.093750 1780940604.7339
MEM 107.093750 1780940604.8342
MEM 107.093750 1780940604.9344
MEM 107.093750 1780940605.0346
MEM 107.093750 1780940605.1348
MEM 107.093750 1780940605.2351
MEM 107.093750 1780940605.3353
MEM 107.093750 1780940605.4356
MEM 107.093750 1780940605.5358
MEM 107.093750 1780940605.6360
MEM 107.093750 1780940605.7362
MEM 107.093750 1780940605.8364
MEM 107.093750 1780940605.9366
MEM 107.093750 1780940606.0369
MEM 107.093750 1780940606.1372
MEM 107.093750 1780940606.2374
MEM 107.093750 1780940606.3377
MEM 107.093750 1780940606.4379
MEM 107.093750 1780940606.5381
MEM 107.093750 1780940606.6383
MEM 107.093750 1780940606.7386
MEM 107.093750 1780940606.8388
MEM 107.093750 1780940606.9391
MEM 107.093750 1780940607.0393
MEM 107.093750 1780940607.1396
MEM 107.093750 1780940607.2398
MEM 107.093750 1780940607.3401
MEM 107.093750 1780940607.4403
MEM 107.093750 1780940607.5405
MEM 107.093750 1780940607.6407
MEM 107.093750 1780940607.7409
MEM 107.093750 1780940607.8412
MEM 107.093750 1780940607.9415
MEM 107.093750 1780940608.0417
MEM 107.093750 1780940608.1419
MEM 107.093750 1780940608.2422
MEM 107.093750 1780940608.3424
MEM 107.093750 1780940608.4427
MEM 107.093750 1780940608.5429
MEM 107.093750 1780940608.6431
MEM 107.093750 1780940608.7434
MEM 107.093750 1780940608.8436
MEM 107.093750 1780940608.9438
MEM 107.093750 1780940609.0441
MEM 107.093750 1780940609.1444
MEM 107.093750 1780940609.2446
MEM 107.093750 1780940609.3448
MEM 107.093750 1780940609.4451
MEM 107.093750 1780940609.5453
MEM 107.093750 1780940609.6455
MEM 107.093750 1780940609.7458
MEM 107.093750 1780940609.8460
MEM 107.093750 1780940609.9462
MEM 107.093750 1780940610.0465
MEM 107.093750 1780940610.1467
MEM 107.093750 1780940610.2469
MEM 107.093750 1780940610.3472
MEM 107.093750 1780940610.4474
MEM 107.093750 1780940610.5477
MEM 107.093750 1780940610.6479
MEM 107.093750 1780940610.7481
MEM 107.093750 1780940610.8484
MEM 107.093750 1780940610.9486
MEM 107.093750 1780940611.0488
MEM 107.093750 1780940611.1491
MEM 107.093750 1780940611.2493
MEM 107.093750 1780940611.3495
MEM 107.097656 1780940611.4497
MEM 107.097656 1780940611.5500
MEM 107.097656 1780940611.6502
MEM 107.097656 1780940611.7505
MEM 107.097656 1780940611.8508
