CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1781018106.0149
MEM 26.460938 1781018106.1151
MEM 33.906250 1781018106.2154
MEM 34.933594 1781018106.3156
MEM 47.652344 1781018106.4159
MEM 56.375000 1781018106.5161
MEM 71.500000 1781018106.6164
MEM 78.535156 1781018106.7166
MEM 93.613281 1781018106.8169
MEM 93.613281 1781018106.9172
MEM 93.613281 1781018107.0175
MEM 94.328125 1781018107.1178
MEM 94.421875 1781018107.2181
MEM 94.953125 1781018107.3183
MEM 94.953125 1781018107.4187
MEM 94.953125 1781018107.5190
MEM 94.953125 1781018107.6193
MEM 94.953125 1781018107.7196
MEM 94.953125 1781018107.8199
MEM 94.953125 1781018107.9201
MEM 94.953125 1781018108.0203
MEM 94.953125 1781018108.1205
MEM 95.050781 1781018108.2208
MEM 95.050781 1781018108.3210
MEM 95.050781 1781018108.4212
MEM 95.050781 1781018108.5214
MEM 95.050781 1781018108.6216
MEM 95.050781 1781018108.7219
MEM 95.050781 1781018108.8221
MEM 95.503906 1781018108.9224
MEM 101.281250 1781018109.0226
MEM 104.917969 1781018109.1230
MEM 107.726562 1781018109.2232
MEM 109.320312 1781018109.3234
MEM 112.375000 1781018109.4236
MEM 112.734375 1781018109.5239
MEM 112.824219 1781018109.6241
MEM 113.046875 1781018109.7243
MEM 113.113281 1781018109.8245
MEM 106.527344 1781018109.9249
