CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1781102666.2235
MEM 25.335938 1781102666.3239
MEM 39.734375 1781102666.4260
MEM 61.554688 1781102666.5263
MEM 75.292969 1781102666.6266
MEM 87.460938 1781102666.7269
MEM 93.667969 1781102666.8272
MEM 99.250000 1781102666.9276
MEM 100.859375 1781102667.0279
MEM 102.542969 1781102667.1283
MEM 104.171875 1781102667.2286
MEM 104.171875 1781102667.3290
MEM 104.257812 1781102667.4294
MEM 104.417969 1781102667.5297
MEM 105.109375 1781102667.6300
MEM 106.808594 1781102667.7304
MEM 106.808594 1781102667.8307
MEM 106.808594 1781102667.9310
MEM 106.808594 1781102668.0312
MEM 106.808594 1781102668.1316
MEM 106.808594 1781102668.2319
MEM 106.808594 1781102668.3322
MEM 106.808594 1781102668.4326
MEM 106.808594 1781102668.5329
MEM 106.808594 1781102668.6332
MEM 106.808594 1781102668.7335
MEM 106.808594 1781102668.8338
MEM 106.808594 1781102668.9342
MEM 106.808594 1781102669.0344
MEM 106.808594 1781102669.1348
MEM 106.808594 1781102669.2352
MEM 106.808594 1781102669.3355
MEM 106.808594 1781102669.4359
MEM 106.808594 1781102669.5362
MEM 106.808594 1781102669.6365
MEM 106.808594 1781102669.7369
MEM 106.808594 1781102669.8372
MEM 106.808594 1781102669.9375
MEM 106.808594 1781102670.0378
MEM 106.808594 1781102670.1381
MEM 106.808594 1781102670.2385
MEM 106.808594 1781102670.3389
MEM 106.808594 1781102670.4392
MEM 106.808594 1781102670.5395
MEM 106.808594 1781102670.6398
MEM 106.808594 1781102670.7402
MEM 106.808594 1781102670.8405
MEM 106.808594 1781102670.9409
MEM 106.808594 1781102671.0412
MEM 106.808594 1781102671.1416
MEM 106.808594 1781102671.2421
MEM 106.808594 1781102671.3424
MEM 106.808594 1781102671.4427
MEM 106.808594 1781102671.5431
MEM 106.808594 1781102671.6433
MEM 106.808594 1781102671.7436
MEM 106.808594 1781102671.8439
MEM 106.808594 1781102671.9442
MEM 106.808594 1781102672.0445
MEM 106.808594 1781102672.1448
MEM 106.808594 1781102672.2450
MEM 106.808594 1781102672.3453
MEM 106.808594 1781102672.4456
MEM 106.808594 1781102672.5459
MEM 106.808594 1781102672.6462
MEM 106.808594 1781102672.7465
MEM 106.808594 1781102672.8469
MEM 106.808594 1781102672.9472
MEM 106.808594 1781102673.0475
MEM 106.808594 1781102673.1478
MEM 106.808594 1781102673.2481
MEM 106.808594 1781102673.3484
MEM 106.808594 1781102673.4487
MEM 106.808594 1781102673.5490
MEM 106.808594 1781102673.6493
MEM 106.808594 1781102673.7495
MEM 106.808594 1781102673.8498
MEM 106.808594 1781102673.9501
MEM 106.808594 1781102674.0504
MEM 106.808594 1781102674.1507
MEM 106.808594 1781102674.2510
MEM 106.808594 1781102674.3513
MEM 106.808594 1781102674.4516
MEM 106.808594 1781102674.5519
MEM 106.808594 1781102674.6521
MEM 106.808594 1781102674.7524
MEM 106.808594 1781102674.8527
MEM 106.808594 1781102674.9530
MEM 106.808594 1781102675.0533
MEM 106.808594 1781102675.1536
MEM 106.808594 1781102675.2540
MEM 106.808594 1781102675.3542
MEM 106.808594 1781102675.4546
MEM 106.808594 1781102675.5549
MEM 106.808594 1781102675.6552
MEM 106.808594 1781102675.7555
MEM 106.808594 1781102675.8557
MEM 106.808594 1781102675.9560
MEM 106.808594 1781102676.0563
MEM 106.808594 1781102676.1566
MEM 106.808594 1781102676.2569
MEM 106.808594 1781102676.3573
MEM 106.808594 1781102676.4576
MEM 106.808594 1781102676.5580
MEM 106.808594 1781102676.6583
MEM 106.808594 1781102676.7587
MEM 106.808594 1781102676.8590
MEM 106.808594 1781102676.9593
MEM 106.808594 1781102677.0596
MEM 106.808594 1781102677.1599
MEM 106.808594 1781102677.2601
MEM 106.808594 1781102677.3603
MEM 106.808594 1781102677.4607
MEM 106.808594 1781102677.5610
MEM 106.808594 1781102677.6613
MEM 106.808594 1781102677.7617
MEM 106.808594 1781102677.8620
MEM 106.808594 1781102677.9623
MEM 106.808594 1781102678.0626
MEM 106.808594 1781102678.1630
MEM 106.808594 1781102678.2632
MEM 106.808594 1781102678.3635
MEM 106.808594 1781102678.4639
MEM 106.808594 1781102678.5642
MEM 106.808594 1781102678.6645
MEM 106.808594 1781102678.7649
MEM 106.808594 1781102678.8651
MEM 106.808594 1781102678.9654
MEM 106.808594 1781102679.0658
MEM 106.808594 1781102679.1661
MEM 106.808594 1781102679.2664
MEM 106.808594 1781102679.3667
MEM 106.808594 1781102679.4670
MEM 106.808594 1781102679.5672
MEM 106.808594 1781102679.6676
MEM 106.808594 1781102679.7679
MEM 106.808594 1781102679.8681
MEM 106.808594 1781102679.9685
MEM 106.808594 1781102680.0689
MEM 106.808594 1781102680.1692
MEM 106.808594 1781102680.2696
MEM 106.808594 1781102680.3699
MEM 106.808594 1781102680.4702
MEM 106.808594 1781102680.5706
MEM 106.808594 1781102680.6709
MEM 106.808594 1781102680.7712
MEM 106.808594 1781102680.8715
MEM 106.808594 1781102680.9717
MEM 106.808594 1781102681.0721
MEM 106.808594 1781102681.1724
MEM 106.808594 1781102681.2727
MEM 106.808594 1781102681.3730
MEM 106.808594 1781102681.4733
MEM 106.808594 1781102681.5737
MEM 106.808594 1781102681.6741
MEM 106.808594 1781102681.7744
MEM 106.808594 1781102681.8747
MEM 106.808594 1781102681.9750
MEM 106.808594 1781102682.0754
MEM 106.808594 1781102682.1757
MEM 106.808594 1781102682.2760
MEM 106.808594 1781102682.3763
MEM 106.808594 1781102682.4766
MEM 106.808594 1781102682.5770
MEM 106.808594 1781102682.6773
MEM 106.808594 1781102682.7776
MEM 106.808594 1781102682.8779
MEM 106.808594 1781102682.9783
MEM 106.808594 1781102683.0786
MEM 106.812500 1781102683.1790
MEM 106.812500 1781102683.2793
MEM 106.812500 1781102683.3796
MEM 106.812500 1781102683.4800
MEM 106.812500 1781102683.5802
MEM 106.812500 1781102683.6804
MEM 106.812500 1781102683.7807
MEM 106.812500 1781102683.8810
MEM 106.812500 1781102683.9813
MEM 106.812500 1781102684.0817
MEM 106.812500 1781102684.1820
MEM 106.812500 1781102684.2822
MEM 106.812500 1781102684.3826
MEM 106.812500 1781102684.4829
MEM 106.812500 1781102684.5832
MEM 106.812500 1781102684.6835
MEM 106.812500 1781102684.7839
MEM 106.816406 1781102684.8842
MEM 106.820312 1781102684.9845
MEM 106.820312 1781102685.0848
MEM 106.824219 1781102685.1851
MEM 105.847656 1781102685.2854
