CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.390625 1781273892.0059
MEM 25.652344 1781273892.1062
MEM 43.457031 1781273892.2090
MEM 63.984375 1781273892.3092
MEM 79.414062 1781273892.4095
MEM 91.226562 1781273892.5099
MEM 98.082031 1781273892.6101
MEM 103.000000 1781273892.7104
MEM 104.089844 1781273892.8108
MEM 107.242188 1781273892.9111
MEM 107.242188 1781273893.0114
MEM 107.324219 1781273893.1118
MEM 107.464844 1781273893.2121
MEM 108.062500 1781273893.3124
MEM 109.585938 1781273893.4127
MEM 109.585938 1781273893.5130
MEM 109.585938 1781273893.6133
MEM 109.585938 1781273893.7137
MEM 109.585938 1781273893.8140
MEM 109.585938 1781273893.9143
MEM 109.585938 1781273894.0147
MEM 109.585938 1781273894.1150
MEM 109.585938 1781273894.2153
MEM 109.585938 1781273894.3157
MEM 109.585938 1781273894.4160
MEM 109.585938 1781273894.5163
MEM 109.585938 1781273894.6166
MEM 109.585938 1781273894.7170
MEM 109.585938 1781273894.8173
MEM 109.585938 1781273894.9176
MEM 109.585938 1781273895.0180
MEM 109.585938 1781273895.1183
MEM 109.585938 1781273895.2186
MEM 109.585938 1781273895.3190
MEM 109.585938 1781273895.4193
MEM 109.585938 1781273895.5196
MEM 109.585938 1781273895.6200
MEM 109.585938 1781273895.7203
MEM 109.585938 1781273895.8207
MEM 109.585938 1781273895.9210
MEM 109.585938 1781273896.0213
MEM 109.585938 1781273896.1217
MEM 109.585938 1781273896.2220
MEM 109.585938 1781273896.3223
MEM 109.585938 1781273896.4227
MEM 109.585938 1781273896.5231
MEM 109.585938 1781273896.6234
MEM 109.585938 1781273896.7238
MEM 109.585938 1781273896.8241
MEM 109.585938 1781273896.9245
MEM 109.585938 1781273897.0249
MEM 109.585938 1781273897.1253
MEM 109.585938 1781273897.2256
MEM 109.585938 1781273897.3260
MEM 109.585938 1781273897.4263
MEM 109.585938 1781273897.5267
MEM 109.585938 1781273897.6270
MEM 109.585938 1781273897.7274
MEM 109.585938 1781273897.8278
MEM 109.585938 1781273897.9281
MEM 109.585938 1781273898.0285
MEM 109.585938 1781273898.1288
MEM 109.585938 1781273898.2292
MEM 109.585938 1781273898.3296
MEM 109.585938 1781273898.4299
MEM 109.585938 1781273898.5302
MEM 109.585938 1781273898.6306
MEM 109.585938 1781273898.7310
MEM 109.585938 1781273898.8313
MEM 109.585938 1781273898.9317
MEM 109.585938 1781273899.0320
MEM 109.585938 1781273899.1323
MEM 109.585938 1781273899.2327
MEM 109.585938 1781273899.3330
MEM 109.585938 1781273899.4334
MEM 109.585938 1781273899.5337
MEM 109.585938 1781273899.6340
MEM 109.585938 1781273899.7344
MEM 109.585938 1781273899.8348
MEM 109.585938 1781273899.9351
MEM 109.585938 1781273900.0355
MEM 109.585938 1781273900.1359
MEM 109.585938 1781273900.2363
MEM 109.585938 1781273900.3367
MEM 109.585938 1781273900.4370
MEM 109.585938 1781273900.5374
MEM 109.585938 1781273900.6377
MEM 109.585938 1781273900.7381
MEM 109.585938 1781273900.8385
MEM 109.585938 1781273900.9388
MEM 109.585938 1781273901.0392
MEM 109.585938 1781273901.1396
MEM 109.585938 1781273901.2399
MEM 109.589844 1781273901.3403
MEM 109.589844 1781273901.4407
MEM 109.597656 1781273901.5410
MEM 109.597656 1781273901.6414
MEM 109.597656 1781273901.7417
MEM 109.597656 1781273901.8420
MEM 109.597656 1781273901.9424
MEM 109.597656 1781273902.0428
MEM 109.597656 1781273902.1431
MEM 109.597656 1781273902.2435
MEM 109.597656 1781273902.3439
MEM 109.597656 1781273902.4442
MEM 109.597656 1781273902.5445
MEM 109.597656 1781273902.6449
MEM 109.597656 1781273902.7453
MEM 109.597656 1781273902.8456
MEM 109.628906 1781273902.9460
MEM 109.628906 1781273903.0463
MEM 109.628906 1781273903.1467
MEM 109.628906 1781273903.2470
MEM 109.628906 1781273903.3473
MEM 109.628906 1781273903.4477
MEM 109.628906 1781273903.5480
MEM 109.628906 1781273903.6483
MEM 109.628906 1781273903.7487
MEM 109.628906 1781273903.8490
MEM 109.628906 1781273903.9493
MEM 109.628906 1781273904.0497
MEM 109.628906 1781273904.1500
MEM 109.628906 1781273904.2504
MEM 109.628906 1781273904.3507
MEM 109.628906 1781273904.4510
MEM 109.628906 1781273904.5514
MEM 109.628906 1781273904.6518
MEM 109.628906 1781273904.7522
MEM 109.628906 1781273904.8525
MEM 109.628906 1781273904.9529
MEM 109.628906 1781273905.0532
MEM 109.628906 1781273905.1535
MEM 109.628906 1781273905.2539
MEM 109.628906 1781273905.3542
MEM 109.628906 1781273905.4545
MEM 109.628906 1781273905.5549
MEM 109.628906 1781273905.6552
MEM 109.628906 1781273905.7556
MEM 109.628906 1781273905.8559
MEM 109.628906 1781273905.9562
MEM 109.628906 1781273906.0565
MEM 109.628906 1781273906.1569
MEM 109.628906 1781273906.2572
MEM 109.628906 1781273906.3575
MEM 109.628906 1781273906.4579
MEM 109.628906 1781273906.5583
MEM 109.628906 1781273906.6586
MEM 109.628906 1781273906.7590
MEM 109.628906 1781273906.8593
MEM 109.628906 1781273906.9596
MEM 109.628906 1781273907.0600
MEM 109.628906 1781273907.1603
MEM 109.628906 1781273907.2607
MEM 109.628906 1781273907.3611
MEM 109.628906 1781273907.4614
MEM 109.628906 1781273907.5618
MEM 109.628906 1781273907.6622
MEM 109.628906 1781273907.7625
MEM 109.628906 1781273907.8629
MEM 109.628906 1781273907.9632
MEM 109.628906 1781273908.0635
MEM 109.628906 1781273908.1639
MEM 109.628906 1781273908.2642
MEM 109.628906 1781273908.3646
MEM 109.628906 1781273908.4650
MEM 109.628906 1781273908.5653
MEM 109.628906 1781273908.6657
MEM 109.628906 1781273908.7660
MEM 109.628906 1781273908.8664
MEM 109.628906 1781273908.9667
MEM 109.628906 1781273909.0670
MEM 109.628906 1781273909.1673
MEM 109.628906 1781273909.2677
MEM 109.628906 1781273909.3680
MEM 109.628906 1781273909.4684
MEM 109.628906 1781273909.5687
MEM 109.628906 1781273909.6691
MEM 109.628906 1781273909.7694
MEM 109.628906 1781273909.8698
