CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1781276555.5244
MEM 30.695312 1781276555.6254
MEM 41.273438 1781276555.7274
MEM 63.121094 1781276555.8277
MEM 79.031250 1781276555.9279
MEM 91.214844 1781276556.0283
MEM 97.753906 1781276556.1286
MEM 102.605469 1781276556.2289
MEM 103.890625 1781276556.3292
MEM 107.093750 1781276556.4296
MEM 107.207031 1781276556.5299
MEM 107.207031 1781276556.6302
MEM 107.335938 1781276556.7305
MEM 107.464844 1781276556.8309
MEM 108.175781 1781276556.9313
MEM 109.796875 1781276557.0316
MEM 109.796875 1781276557.1319
MEM 109.796875 1781276557.2321
MEM 109.796875 1781276557.3325
MEM 109.796875 1781276557.4328
MEM 109.796875 1781276557.5331
MEM 109.796875 1781276557.6334
MEM 109.796875 1781276557.7336
MEM 109.796875 1781276557.8340
MEM 109.796875 1781276557.9344
MEM 109.796875 1781276558.0346
MEM 109.796875 1781276558.1350
MEM 109.796875 1781276558.2354
MEM 109.796875 1781276558.3357
MEM 109.796875 1781276558.4360
MEM 109.796875 1781276558.5363
MEM 109.796875 1781276558.6367
MEM 109.796875 1781276558.7370
MEM 109.796875 1781276558.8374
MEM 109.796875 1781276558.9376
MEM 109.796875 1781276559.0379
MEM 109.796875 1781276559.1383
MEM 109.796875 1781276559.2386
MEM 109.796875 1781276559.3390
MEM 109.796875 1781276559.4394
MEM 109.796875 1781276559.5396
MEM 109.796875 1781276559.6399
MEM 109.796875 1781276559.7403
MEM 109.800781 1781276559.8406
MEM 109.800781 1781276559.9409
MEM 109.800781 1781276560.0412
MEM 109.800781 1781276560.1416
MEM 109.800781 1781276560.2419
MEM 109.800781 1781276560.3423
MEM 109.800781 1781276560.4427
MEM 109.800781 1781276560.5430
MEM 109.800781 1781276560.6434
MEM 109.800781 1781276560.7437
MEM 109.800781 1781276560.8440
MEM 109.800781 1781276560.9444
MEM 109.800781 1781276561.0447
MEM 109.800781 1781276561.1451
MEM 109.800781 1781276561.2455
MEM 109.800781 1781276561.3457
MEM 109.800781 1781276561.4460
