CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1781277659.8604
MEM 26.671875 1781277659.9607
MEM 42.707031 1781277660.0618
MEM 63.437500 1781277660.1621
MEM 78.996094 1781277660.2624
MEM 91.148438 1781277660.3627
MEM 97.789062 1781277660.4630
MEM 102.925781 1781277660.5632
MEM 103.878906 1781277660.6635
MEM 107.152344 1781277660.7639
MEM 107.152344 1781277660.8642
MEM 107.246094 1781277660.9645
MEM 107.375000 1781277661.0648
MEM 107.625000 1781277661.1651
MEM 109.156250 1781277661.2657
MEM 109.695312 1781277661.3660
MEM 109.695312 1781277661.4663
MEM 109.695312 1781277661.5666
MEM 109.695312 1781277661.6670
MEM 109.695312 1781277661.7673
MEM 109.695312 1781277661.8676
MEM 109.695312 1781277661.9679
MEM 109.695312 1781277662.0682
MEM 109.695312 1781277662.1685
MEM 109.695312 1781277662.2688
MEM 109.695312 1781277662.3691
MEM 109.695312 1781277662.4695
MEM 109.695312 1781277662.5698
MEM 109.695312 1781277662.6701
MEM 109.695312 1781277662.7705
MEM 109.695312 1781277662.8708
MEM 109.695312 1781277662.9710
MEM 109.695312 1781277663.0714
MEM 109.695312 1781277663.1717
MEM 109.695312 1781277663.2721
MEM 109.695312 1781277663.3724
MEM 109.695312 1781277663.4727
MEM 109.695312 1781277663.5731
MEM 109.695312 1781277663.6734
MEM 109.695312 1781277663.7737
MEM 109.695312 1781277663.8740
MEM 109.695312 1781277663.9743
MEM 109.695312 1781277664.0747
MEM 109.695312 1781277664.1750
MEM 109.695312 1781277664.2753
MEM 109.695312 1781277664.3756
MEM 109.695312 1781277664.4759
MEM 109.695312 1781277664.5763
MEM 109.695312 1781277664.6766
MEM 109.695312 1781277664.7769
MEM 109.695312 1781277664.8772
MEM 109.695312 1781277664.9776
MEM 109.695312 1781277665.0779
MEM 109.695312 1781277665.1782
MEM 109.699219 1781277665.2785
MEM 109.699219 1781277665.3789
MEM 109.699219 1781277665.4792
MEM 109.699219 1781277665.5795
MEM 109.699219 1781277665.6799
MEM 109.699219 1781277665.7802
MEM 109.699219 1781277665.8805
MEM 109.699219 1781277665.9808
MEM 109.699219 1781277666.0811
MEM 109.699219 1781277666.1815
MEM 109.699219 1781277666.2818
MEM 109.699219 1781277666.3821
MEM 109.699219 1781277666.4824
MEM 109.699219 1781277666.5828
MEM 109.699219 1781277666.6831
MEM 109.699219 1781277666.7834
MEM 109.699219 1781277666.8838
MEM 109.699219 1781277666.9841
MEM 109.699219 1781277667.0845
MEM 109.699219 1781277667.1848
MEM 109.699219 1781277667.2852
MEM 109.699219 1781277667.3855
MEM 109.699219 1781277667.4858
MEM 109.699219 1781277667.5862
MEM 109.699219 1781277667.6865
MEM 109.699219 1781277667.7868
MEM 109.699219 1781277667.8872
MEM 109.699219 1781277667.9875
MEM 109.699219 1781277668.0878
MEM 109.699219 1781277668.1881
MEM 109.699219 1781277668.2884
MEM 109.699219 1781277668.3888
MEM 109.699219 1781277668.4891
MEM 109.699219 1781277668.5894
MEM 109.699219 1781277668.6897
MEM 109.699219 1781277668.7900
MEM 109.699219 1781277668.8903
MEM 109.699219 1781277668.9907
MEM 109.699219 1781277669.0910
