CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.324219 1781534727.4872
MEM 24.894531 1781534727.5875
MEM 37.738281 1781534727.6878
MEM 55.929688 1781534727.7881
MEM 69.925781 1781534727.8884
MEM 85.542969 1781534727.9887
MEM 92.875000 1781534728.0890
MEM 98.804688 1781534728.1893
MEM 103.308594 1781534728.2897
MEM 103.851562 1781534728.3900
MEM 107.148438 1781534728.4904
MEM 107.167969 1781534728.5908
MEM 107.167969 1781534728.6911
MEM 107.312500 1781534728.7915
MEM 107.457031 1781534728.8919
MEM 108.390625 1781534728.9922
MEM 110.117188 1781534729.0926
MEM 110.191406 1781534729.1929
MEM 110.191406 1781534729.2933
MEM 110.191406 1781534729.3937
MEM 110.191406 1781534729.4940
MEM 110.191406 1781534729.5944
MEM 110.191406 1781534729.6947
MEM 110.191406 1781534729.7951
MEM 110.191406 1781534729.8955
MEM 110.191406 1781534729.9958
MEM 110.191406 1781534730.0962
MEM 110.191406 1781534730.1965
MEM 110.191406 1781534730.2969
MEM 110.191406 1781534730.3972
MEM 110.191406 1781534730.4976
MEM 110.191406 1781534730.5979
MEM 110.191406 1781534730.6983
MEM 110.191406 1781534730.7987
MEM 110.191406 1781534730.8990
MEM 110.191406 1781534730.9994
MEM 110.191406 1781534731.0998
MEM 110.191406 1781534731.2001
MEM 110.191406 1781534731.3005
MEM 110.191406 1781534731.4009
MEM 110.191406 1781534731.5013
MEM 110.191406 1781534731.6016
MEM 110.191406 1781534731.7020
MEM 110.191406 1781534731.8023
MEM 110.191406 1781534731.9026
MEM 110.191406 1781534732.0029
MEM 110.191406 1781534732.1033
MEM 110.191406 1781534732.2036
MEM 110.191406 1781534732.3041
MEM 110.191406 1781534732.4045
MEM 110.191406 1781534732.5048
MEM 110.191406 1781534732.6052
MEM 110.191406 1781534732.7056
MEM 110.191406 1781534732.8059
MEM 110.191406 1781534732.9062
MEM 110.191406 1781534733.0066
MEM 110.191406 1781534733.1070
MEM 110.191406 1781534733.2073
MEM 110.191406 1781534733.3077
MEM 110.195312 1781534733.4081
MEM 110.195312 1781534733.5085
MEM 110.195312 1781534733.6088
MEM 110.195312 1781534733.7092
MEM 110.195312 1781534733.8096
MEM 110.195312 1781534733.9100
MEM 110.195312 1781534734.0103
MEM 110.195312 1781534734.1107
MEM 110.195312 1781534734.2110
MEM 110.195312 1781534734.3115
MEM 110.195312 1781534734.4118
MEM 110.195312 1781534734.5122
MEM 110.195312 1781534734.6126
MEM 110.195312 1781534734.7129
MEM 110.195312 1781534734.8133
MEM 110.195312 1781534734.9136
MEM 110.195312 1781534735.0140
MEM 110.195312 1781534735.1144
MEM 110.195312 1781534735.2146
MEM 110.195312 1781534735.3150
MEM 110.195312 1781534735.4155
MEM 110.195312 1781534735.5159
MEM 110.195312 1781534735.6163
MEM 110.195312 1781534735.7167
MEM 110.195312 1781534735.8170
MEM 110.195312 1781534735.9174
MEM 110.195312 1781534736.0178
MEM 110.195312 1781534736.1181
MEM 110.195312 1781534736.2185
MEM 110.195312 1781534736.3189
MEM 110.195312 1781534736.4192
MEM 110.195312 1781534736.5197
MEM 110.195312 1781534736.6201
MEM 110.195312 1781534736.7205
MEM 110.195312 1781534736.8208
MEM 110.195312 1781534736.9212
MEM 110.195312 1781534737.0216
MEM 110.195312 1781534737.1219
MEM 110.195312 1781534737.2223
MEM 110.195312 1781534737.3227
MEM 110.195312 1781534737.4230
MEM 110.195312 1781534737.5234
MEM 110.195312 1781534737.6239
MEM 110.195312 1781534737.7242
MEM 110.195312 1781534737.8246
MEM 110.195312 1781534737.9250
MEM 110.195312 1781534738.0253
MEM 110.195312 1781534738.1257
MEM 110.195312 1781534738.2260
MEM 110.195312 1781534738.3264
MEM 110.195312 1781534738.4267
MEM 110.195312 1781534738.5271
MEM 110.195312 1781534738.6275
MEM 110.195312 1781534738.7278
MEM 110.195312 1781534738.8281
MEM 110.195312 1781534738.9285
MEM 110.195312 1781534739.0288
MEM 110.195312 1781534739.1291
MEM 110.195312 1781534739.2295
MEM 110.195312 1781534739.3299
MEM 110.195312 1781534739.4303
MEM 110.195312 1781534739.5307
MEM 110.195312 1781534739.6310
MEM 110.195312 1781534739.7314
MEM 110.195312 1781534739.8317
MEM 110.195312 1781534739.9321
MEM 110.195312 1781534740.0325
MEM 110.195312 1781534740.1328
MEM 110.195312 1781534740.2332
MEM 110.195312 1781534740.3336
MEM 110.195312 1781534740.4340
MEM 110.195312 1781534740.5343
MEM 110.195312 1781534740.6347
MEM 110.195312 1781534740.7351
MEM 110.195312 1781534740.8354
MEM 110.195312 1781534740.9358
MEM 110.195312 1781534741.0362
MEM 110.199219 1781534741.1366
MEM 110.199219 1781534741.2369
MEM 110.203125 1781534741.3373
MEM 110.207031 1781534741.4377
MEM 110.207031 1781534741.5381
MEM 110.207031 1781534741.6385
MEM 110.207031 1781534741.7388
MEM 110.207031 1781534741.8392
MEM 110.207031 1781534741.9396
MEM 110.207031 1781534742.0399
MEM 110.207031 1781534742.1402
MEM 110.207031 1781534742.2407
MEM 110.207031 1781534742.3411
MEM 110.207031 1781534742.4416
MEM 110.207031 1781534742.5419
MEM 110.207031 1781534742.6423
MEM 110.207031 1781534742.7427
MEM 110.207031 1781534742.8430
MEM 110.207031 1781534742.9434
MEM 110.207031 1781534743.0438
MEM 110.207031 1781534743.1441
MEM 110.207031 1781534743.2445
MEM 110.207031 1781534743.3449
MEM 110.207031 1781534743.4452
MEM 110.207031 1781534743.5457
MEM 110.207031 1781534743.6460
MEM 110.207031 1781534743.7464
MEM 110.207031 1781534743.8468
MEM 110.207031 1781534743.9471
MEM 110.207031 1781534744.0475
