CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1781804383.8113
MEM 26.433594 1781804383.9116
MEM 41.105469 1781804384.0125
MEM 62.535156 1781804384.1128
MEM 78.875000 1781804384.2131
MEM 90.894531 1781804384.3134
MEM 97.691406 1781804384.4136
MEM 102.425781 1781804384.5138
MEM 103.816406 1781804384.6141
MEM 106.957031 1781804384.7144
MEM 107.007812 1781804384.8146
MEM 107.035156 1781804384.9148
MEM 107.148438 1781804385.0151
MEM 107.320312 1781804385.1153
MEM 108.242188 1781804385.2156
MEM 109.667969 1781804385.3158
MEM 109.671875 1781804385.4160
MEM 109.671875 1781804385.5163
MEM 109.671875 1781804385.6165
MEM 109.671875 1781804385.7167
MEM 109.675781 1781804385.8170
MEM 109.675781 1781804385.9172
MEM 109.675781 1781804386.0175
MEM 109.675781 1781804386.1177
MEM 109.675781 1781804386.2179
MEM 109.675781 1781804386.3181
MEM 109.675781 1781804386.4183
MEM 109.675781 1781804386.5186
MEM 109.675781 1781804386.6188
MEM 109.679688 1781804386.7190
MEM 109.683594 1781804386.8192
MEM 109.687500 1781804386.9195
MEM 109.687500 1781804387.0197
MEM 109.687500 1781804387.1200
MEM 109.691406 1781804387.2202
MEM 109.695312 1781804387.3204
MEM 109.699219 1781804387.4207
MEM 109.703125 1781804387.5209
MEM 109.703125 1781804387.6211
MEM 109.707031 1781804387.7213
MEM 109.710938 1781804387.8215
MEM 109.714844 1781804387.9218
MEM 109.714844 1781804388.0220
MEM 109.718750 1781804388.1222
MEM 109.722656 1781804388.2225
MEM 109.726562 1781804388.3227
MEM 109.730469 1781804388.4230
MEM 109.730469 1781804388.5232
MEM 109.734375 1781804388.6235
MEM 109.738281 1781804388.7237
MEM 109.742188 1781804388.8239
MEM 109.746094 1781804388.9242
MEM 109.746094 1781804389.0245
MEM 109.750000 1781804389.1247
MEM 109.757812 1781804389.2249
MEM 109.761719 1781804389.3251
MEM 109.761719 1781804389.4253
MEM 109.761719 1781804389.5255
MEM 109.761719 1781804389.6258
MEM 109.765625 1781804389.7260
MEM 109.769531 1781804389.8262
MEM 109.769531 1781804389.9265
MEM 109.777344 1781804390.0268
MEM 109.785156 1781804390.1270
MEM 109.785156 1781804390.2272
MEM 109.789062 1781804390.3276
MEM 109.789062 1781804390.4279
MEM 109.789062 1781804390.5282
MEM 109.789062 1781804390.6285
MEM 109.789062 1781804390.7287
MEM 109.789062 1781804390.8290
MEM 109.789062 1781804390.9293
MEM 109.789062 1781804391.0297
MEM 109.789062 1781804391.1299
MEM 109.789062 1781804391.2302
MEM 109.789062 1781804391.3304
MEM 109.789062 1781804391.4306
MEM 109.789062 1781804391.5309
MEM 109.789062 1781804391.6311
MEM 109.789062 1781804391.7313
MEM 109.789062 1781804391.8315
MEM 109.789062 1781804391.9318
MEM 109.789062 1781804392.0320
MEM 109.789062 1781804392.1322
MEM 109.789062 1781804392.2326
MEM 109.789062 1781804392.3329
MEM 109.789062 1781804392.4333
MEM 109.789062 1781804392.5336
MEM 109.789062 1781804392.6338
MEM 109.789062 1781804392.7341
MEM 109.789062 1781804392.8343
MEM 109.789062 1781804392.9346
MEM 109.789062 1781804393.0348
MEM 109.789062 1781804393.1351
MEM 109.789062 1781804393.2353
MEM 109.789062 1781804393.3355
MEM 109.789062 1781804393.4357
MEM 109.789062 1781804393.5360
MEM 109.789062 1781804393.6362
MEM 109.789062 1781804393.7364
MEM 109.789062 1781804393.8367
MEM 109.792969 1781804393.9369
MEM 109.796875 1781804394.0371
MEM 109.796875 1781804394.1373
MEM 109.800781 1781804394.2375
MEM 109.800781 1781804394.3378
MEM 109.800781 1781804394.4381
MEM 109.800781 1781804394.5383
MEM 109.800781 1781804394.6386
MEM 109.800781 1781804394.7389
MEM 109.800781 1781804394.8391
MEM 109.800781 1781804394.9393
MEM 109.800781 1781804395.0395
MEM 109.800781 1781804395.1398
MEM 109.800781 1781804395.2400
MEM 109.804688 1781804395.3403
MEM 109.804688 1781804395.4406
MEM 109.808594 1781804395.5408
MEM 109.812500 1781804395.6410
MEM 109.816406 1781804395.7413
MEM 109.816406 1781804395.8416
MEM 109.816406 1781804395.9418
MEM 109.820312 1781804396.0420
MEM 109.824219 1781804396.1423
MEM 109.828125 1781804396.2425
MEM 109.832031 1781804396.3428
MEM 109.832031 1781804396.4430
MEM 109.835938 1781804396.5433
MEM 109.839844 1781804396.6435
MEM 109.843750 1781804396.7437
MEM 109.843750 1781804396.8440
MEM 109.847656 1781804396.9442
MEM 109.851562 1781804397.0446
MEM 109.855469 1781804397.1450
MEM 109.859375 1781804397.2453
MEM 109.863281 1781804397.3456
MEM 109.867188 1781804397.4459
MEM 109.871094 1781804397.5461
MEM 109.875000 1781804397.6464
MEM 109.878906 1781804397.7466
MEM 109.878906 1781804397.8469
MEM 109.878906 1781804397.9471
MEM 109.882812 1781804398.0473
MEM 109.886719 1781804398.1476
MEM 109.886719 1781804398.2478
MEM 109.890625 1781804398.3481
MEM 109.894531 1781804398.4484
MEM 109.898438 1781804398.5486
MEM 109.902344 1781804398.6489
MEM 109.902344 1781804398.7491
MEM 109.906250 1781804398.8493
MEM 109.914062 1781804398.9495
MEM 109.917969 1781804399.0497
MEM 109.921875 1781804399.1500
MEM 109.925781 1781804399.2503
MEM 109.925781 1781804399.3506
MEM 109.925781 1781804399.4508
MEM 109.929688 1781804399.5511
MEM 109.933594 1781804399.6514
MEM 109.933594 1781804399.7517
MEM 109.937500 1781804399.8520
MEM 109.937500 1781804399.9522
MEM 109.937500 1781804400.0526
MEM 109.937500 1781804400.1528
MEM 109.937500 1781804400.2531
MEM 109.937500 1781804400.3533
MEM 109.937500 1781804400.4536
MEM 109.937500 1781804400.5538
MEM 109.937500 1781804400.6540
MEM 109.937500 1781804400.7542
MEM 109.937500 1781804400.8545
MEM 109.937500 1781804400.9547
MEM 109.937500 1781804401.0550
MEM 109.937500 1781804401.1552
MEM 109.937500 1781804401.2555
MEM 109.937500 1781804401.3558
MEM 109.937500 1781804401.4562
MEM 109.937500 1781804401.5565
MEM 109.937500 1781804401.6567
MEM 109.937500 1781804401.7569
MEM 109.937500 1781804401.8571
MEM 109.937500 1781804401.9574
MEM 109.937500 1781804402.0577
MEM 109.937500 1781804402.1579
MEM 109.937500 1781804402.2582
MEM 109.937500 1781804402.3584
MEM 109.937500 1781804402.4586
MEM 109.937500 1781804402.5588
MEM 109.937500 1781804402.6590
MEM 109.937500 1781804402.7592
MEM 109.937500 1781804402.8596
MEM 109.937500 1781804402.9598
MEM 109.937500 1781804403.0600
MEM 109.937500 1781804403.1602
MEM 109.937500 1781804403.2605
MEM 109.937500 1781804403.3607
MEM 109.937500 1781804403.4610
