CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.257812 1781796721.1675
MEM 27.867188 1781796721.2678
MEM 41.164062 1781796721.3682
MEM 62.164062 1781796721.4684
MEM 77.468750 1781796721.5687
MEM 89.257812 1781796721.6690
MEM 96.171875 1781796721.7693
MEM 101.632812 1781796721.8696
MEM 103.527344 1781796721.9700
MEM 106.085938 1781796722.0703
MEM 107.171875 1781796722.1706
MEM 107.171875 1781796722.2709
MEM 107.296875 1781796722.3712
MEM 107.445312 1781796722.4715
MEM 107.718750 1781796722.5719
MEM 108.527344 1781796722.6722
MEM 109.167969 1781796722.7725
MEM 109.167969 1781796722.8728
MEM 109.343750 1781796722.9732
MEM 109.343750 1781796723.0735
MEM 109.343750 1781796723.1739
MEM 109.343750 1781796723.2742
MEM 109.343750 1781796723.3746
MEM 109.343750 1781796723.4749
MEM 109.343750 1781796723.5752
MEM 109.343750 1781796723.6756
MEM 109.343750 1781796723.7759
MEM 109.343750 1781796723.8762
MEM 109.343750 1781796723.9766
MEM 109.343750 1781796724.0768
MEM 109.343750 1781796724.1772
MEM 109.343750 1781796724.2775
MEM 109.343750 1781796724.3778
MEM 109.343750 1781796724.4782
MEM 109.343750 1781796724.5785
MEM 109.343750 1781796724.6788
MEM 109.343750 1781796724.7792
MEM 109.343750 1781796724.8795
MEM 109.343750 1781796724.9798
MEM 109.343750 1781796725.0802
MEM 109.343750 1781796725.1805
MEM 109.343750 1781796725.2808
MEM 109.343750 1781796725.3812
MEM 109.343750 1781796725.4815
MEM 109.343750 1781796725.5819
MEM 109.343750 1781796725.6822
MEM 109.460938 1781796725.7825
MEM 109.460938 1781796725.8828
MEM 109.460938 1781796725.9832
MEM 109.460938 1781796726.0835
MEM 109.460938 1781796726.1838
MEM 109.460938 1781796726.2843
MEM 109.460938 1781796726.3846
MEM 109.460938 1781796726.4849
MEM 109.460938 1781796726.5853
MEM 109.460938 1781796726.6856
MEM 109.460938 1781796726.7859
MEM 109.460938 1781796726.8863
MEM 109.460938 1781796726.9866
MEM 109.460938 1781796727.0869
MEM 109.460938 1781796727.1873
MEM 109.460938 1781796727.2876
MEM 109.460938 1781796727.3880
MEM 109.460938 1781796727.4883
MEM 109.460938 1781796727.5886
MEM 109.460938 1781796727.6889
MEM 109.460938 1781796727.7892
MEM 109.460938 1781796727.8895
MEM 109.460938 1781796727.9898
MEM 109.460938 1781796728.0902
MEM 109.460938 1781796728.1905
MEM 109.460938 1781796728.2908
MEM 109.460938 1781796728.3912
MEM 109.460938 1781796728.4915
MEM 109.460938 1781796728.5918
MEM 109.460938 1781796728.6921
MEM 109.460938 1781796728.7923
MEM 109.460938 1781796728.8926
MEM 109.460938 1781796728.9929
MEM 109.460938 1781796729.0933
MEM 109.460938 1781796729.1936
MEM 109.460938 1781796729.2939
MEM 109.460938 1781796729.3942
MEM 109.460938 1781796729.4945
MEM 109.460938 1781796729.5948
MEM 109.460938 1781796729.6951
MEM 109.460938 1781796729.7954
MEM 109.460938 1781796729.8957
MEM 109.460938 1781796729.9959
MEM 109.460938 1781796730.0963
MEM 109.460938 1781796730.1966
MEM 109.460938 1781796730.2968
MEM 109.460938 1781796730.3972
MEM 109.460938 1781796730.4975
MEM 109.460938 1781796730.5978
MEM 109.460938 1781796730.6982
MEM 109.460938 1781796730.7984
