CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.261719 1781797856.7165
MEM 35.242188 1781797856.8182
MEM 54.339844 1781797856.9184
MEM 75.589844 1781797857.0186
MEM 92.507812 1781797857.1189
MEM 99.703125 1781797857.2192
MEM 103.660156 1781797857.3195
MEM 107.417969 1781797857.4198
MEM 107.417969 1781797857.5201
MEM 107.558594 1781797857.6203
MEM 108.031250 1781797857.7206
MEM 109.976562 1781797857.8208
MEM 109.976562 1781797857.9211
MEM 109.976562 1781797858.0214
MEM 109.976562 1781797858.1217
MEM 109.976562 1781797858.2220
MEM 109.976562 1781797858.3223
MEM 109.976562 1781797858.4225
MEM 109.976562 1781797858.5228
MEM 109.976562 1781797858.6231
MEM 109.976562 1781797858.7234
MEM 109.976562 1781797858.8236
MEM 109.976562 1781797858.9239
MEM 109.976562 1781797859.0242
MEM 109.976562 1781797859.1245
MEM 109.976562 1781797859.2247
MEM 109.976562 1781797859.3250
MEM 109.976562 1781797859.4253
MEM 109.976562 1781797859.5256
MEM 109.976562 1781797859.6259
MEM 109.976562 1781797859.7262
MEM 109.976562 1781797859.8264
MEM 109.976562 1781797859.9267
MEM 109.976562 1781797860.0270
MEM 109.976562 1781797860.1273
MEM 109.976562 1781797860.2276
MEM 109.976562 1781797860.3278
MEM 109.976562 1781797860.4282
MEM 109.976562 1781797860.5284
MEM 109.976562 1781797860.6287
MEM 109.976562 1781797860.7289
MEM 109.976562 1781797860.8292
MEM 109.976562 1781797860.9295
MEM 109.976562 1781797861.0298
MEM 109.980469 1781797861.1301
MEM 109.980469 1781797861.2303
MEM 109.980469 1781797861.3306
MEM 109.980469 1781797861.4309
MEM 109.980469 1781797861.5312
MEM 109.980469 1781797861.6315
MEM 109.980469 1781797861.7318
MEM 109.980469 1781797861.8320
MEM 109.980469 1781797861.9323
MEM 109.980469 1781797862.0325
MEM 109.980469 1781797862.1328
MEM 109.980469 1781797862.2331
MEM 109.980469 1781797862.3334
MEM 109.980469 1781797862.4337
MEM 109.980469 1781797862.5340
MEM 109.980469 1781797862.6343
MEM 109.980469 1781797862.7345
MEM 109.980469 1781797862.8348
MEM 109.980469 1781797862.9351
MEM 109.980469 1781797863.0354
MEM 109.980469 1781797863.1356
MEM 109.980469 1781797863.2359
MEM 109.980469 1781797863.3362
MEM 109.980469 1781797863.4365
MEM 109.980469 1781797863.5368
MEM 109.980469 1781797863.6371
MEM 109.980469 1781797863.7374
MEM 109.980469 1781797863.8376
MEM 109.980469 1781797863.9379
MEM 109.980469 1781797864.0382
MEM 109.980469 1781797864.1385
MEM 109.980469 1781797864.2388
MEM 109.980469 1781797864.3391
MEM 109.980469 1781797864.4394
MEM 109.980469 1781797864.5396
MEM 109.980469 1781797864.6399
MEM 109.980469 1781797864.7402
MEM 109.980469 1781797864.8405
MEM 109.984375 1781797864.9408
MEM 109.988281 1781797865.0411
MEM 109.992188 1781797865.1414
MEM 109.992188 1781797865.2416
MEM 109.992188 1781797865.3419
MEM 109.992188 1781797865.4422
MEM 109.992188 1781797865.5425
MEM 109.992188 1781797865.6428
MEM 109.992188 1781797865.7431
MEM 109.992188 1781797865.8433
MEM 109.992188 1781797865.9436
MEM 109.992188 1781797866.0439
MEM 109.992188 1781797866.1442
MEM 109.992188 1781797866.2445
MEM 109.992188 1781797866.3447
MEM 109.992188 1781797866.4450
MEM 109.992188 1781797866.5454
MEM 109.992188 1781797866.6456
MEM 109.992188 1781797866.7459
MEM 109.992188 1781797866.8462
MEM 109.992188 1781797866.9466
MEM 109.992188 1781797867.0469
MEM 109.992188 1781797867.1471
MEM 109.992188 1781797867.2474
MEM 109.992188 1781797867.3477
MEM 109.992188 1781797867.4479
MEM 109.992188 1781797867.5482
MEM 109.992188 1781797867.6485
MEM 109.992188 1781797867.7488
MEM 109.992188 1781797867.8491
MEM 109.992188 1781797867.9493
MEM 109.992188 1781797868.0496
MEM 109.992188 1781797868.1499
MEM 109.992188 1781797868.2502
MEM 109.992188 1781797868.3504
MEM 109.992188 1781797868.4507
MEM 109.992188 1781797868.5510
MEM 109.992188 1781797868.6513
MEM 109.992188 1781797868.7515
MEM 109.992188 1781797868.8518
MEM 109.992188 1781797868.9521
MEM 109.992188 1781797869.0524
MEM 109.992188 1781797869.1526
MEM 109.992188 1781797869.2530
MEM 109.992188 1781797869.3533
MEM 109.992188 1781797869.4535
MEM 109.992188 1781797869.5538
MEM 109.992188 1781797869.6541
MEM 109.992188 1781797869.7544
MEM 109.992188 1781797869.8546
MEM 109.992188 1781797869.9549
MEM 109.992188 1781797870.0552
MEM 109.992188 1781797870.1555
MEM 109.992188 1781797870.2557
MEM 109.992188 1781797870.3560
MEM 109.992188 1781797870.4563
MEM 109.992188 1781797870.5566
MEM 109.992188 1781797870.6568
MEM 109.992188 1781797870.7571
MEM 109.992188 1781797870.8574
