CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1781886402.7654
MEM 27.347656 1781886402.8657
MEM 42.492188 1781886402.9670
MEM 54.148438 1781886403.0672
MEM 54.460938 1781886403.1675
MEM 55.800781 1781886403.2678
MEM 68.921875 1781886403.3681
MEM 76.914062 1781886403.4685
MEM 87.414062 1781886403.5687
MEM 90.406250 1781886403.6690
MEM 96.769531 1781886403.7693
MEM 97.488281 1781886403.8695
MEM 97.582031 1781886403.9699
MEM 98.015625 1781886404.0702
MEM 102.718750 1781886404.1705
MEM 106.609375 1781886404.2707
MEM 110.773438 1781886404.3711
MEM 112.914062 1781886404.4714
MEM 115.546875 1781886404.5718
MEM 116.035156 1781886404.6721
MEM 116.285156 1781886404.7724
MEM 116.339844 1781886404.8727
MEM 116.378906 1781886404.9731
MEM 111.500000 1781886405.0734
