CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_uni_bi_small.py
MEM 0.265625 1782232823.3782
MEM 26.625000 1782232823.4786
MEM 47.972656 1782232823.5789
MEM 67.296875 1782232823.6792
MEM 81.664062 1782232823.7794
MEM 92.621094 1782232823.8798
MEM 98.992188 1782232823.9801
MEM 103.519531 1782232824.0804
MEM 104.351562 1782232824.1807
MEM 107.183594 1782232824.2811
MEM 107.230469 1782232824.3814
MEM 107.300781 1782232824.4817
MEM 107.492188 1782232824.5820
MEM 108.246094 1782232824.6824
MEM 109.968750 1782232824.7827
MEM 109.976562 1782232824.8830
MEM 109.976562 1782232824.9833
MEM 109.976562 1782232825.0836
MEM 109.976562 1782232825.1840
MEM 109.976562 1782232825.2844
MEM 109.976562 1782232825.3847
MEM 109.976562 1782232825.4851
MEM 109.976562 1782232825.5854
MEM 109.976562 1782232825.6857
MEM 109.980469 1782232825.7861
MEM 109.984375 1782232825.8864
MEM 109.992188 1782232825.9867
MEM 109.992188 1782232826.0870
MEM 109.996094 1782232826.1874
MEM 110.000000 1782232826.2877
MEM 110.003906 1782232826.3881
MEM 110.007812 1782232826.4884
MEM 110.007812 1782232826.5888
MEM 110.015625 1782232826.6891
MEM 110.015625 1782232826.7894
MEM 110.015625 1782232826.8898
MEM 110.015625 1782232826.9901
MEM 110.019531 1782232827.0905
MEM 110.023438 1782232827.1908
MEM 110.027344 1782232827.2911
MEM 110.031250 1782232827.3915
MEM 110.035156 1782232827.4918
MEM 110.035156 1782232827.5921
MEM 110.039062 1782232827.6925
MEM 110.042969 1782232827.7928
MEM 110.046875 1782232827.8931
MEM 110.046875 1782232827.9935
MEM 110.054688 1782232828.0938
MEM 110.058594 1782232828.1942
MEM 110.058594 1782232828.2945
MEM 110.062500 1782232828.3948
MEM 110.062500 1782232828.4952
MEM 110.062500 1782232828.5956
MEM 110.066406 1782232828.6959
MEM 110.070312 1782232828.7962
MEM 110.070312 1782232828.8966
MEM 110.078125 1782232828.9969
MEM 110.078125 1782232829.0973
MEM 110.085938 1782232829.1976
MEM 110.085938 1782232829.2979
MEM 110.085938 1782232829.3983
MEM 110.085938 1782232829.4986
MEM 110.089844 1782232829.5990
MEM 110.097656 1782232829.6993
MEM 110.101562 1782232829.7996
MEM 110.105469 1782232829.9000
MEM 110.109375 1782232830.0003
MEM 110.113281 1782232830.1006
MEM 110.117188 1782232830.2010
MEM 110.121094 1782232830.3013
MEM 110.125000 1782232830.4016
MEM 110.128906 1782232830.5020
MEM 110.132812 1782232830.6023
MEM 110.132812 1782232830.7027
MEM 110.136719 1782232830.8030
MEM 110.136719 1782232830.9033
MEM 110.136719 1782232831.0037
MEM 110.136719 1782232831.1040
MEM 110.136719 1782232831.2044
MEM 110.136719 1782232831.3047
MEM 110.136719 1782232831.4051
MEM 110.136719 1782232831.5054
MEM 110.136719 1782232831.6057
MEM 110.136719 1782232831.7061
MEM 110.136719 1782232831.8064
MEM 110.136719 1782232831.9067
MEM 110.136719 1782232832.0071
MEM 110.136719 1782232832.1075
MEM 110.136719 1782232832.2078
MEM 110.136719 1782232832.3082
MEM 110.136719 1782232832.4085
MEM 110.136719 1782232832.5088
MEM 110.136719 1782232832.6092
MEM 110.136719 1782232832.7095
MEM 110.136719 1782232832.8098
MEM 110.136719 1782232832.9101
MEM 110.140625 1782232833.0105
MEM 110.144531 1782232833.1108
MEM 110.144531 1782232833.2112
MEM 110.144531 1782232833.3115
MEM 110.144531 1782232833.4119
MEM 110.144531 1782232833.5122
MEM 110.144531 1782232833.6126
MEM 110.144531 1782232833.7129
MEM 110.144531 1782232833.8132
MEM 110.148438 1782232833.9136
MEM 110.152344 1782232834.0139
MEM 110.156250 1782232834.1142
MEM 110.160156 1782232834.2146
MEM 110.160156 1782232834.3149
MEM 110.164062 1782232834.4153
MEM 110.167969 1782232834.5156
MEM 110.171875 1782232834.6160
MEM 110.175781 1782232834.7164
MEM 110.183594 1782232834.8167
MEM 110.183594 1782232834.9171
MEM 110.183594 1782232835.0174
MEM 110.187500 1782232835.1178
MEM 110.191406 1782232835.2181
MEM 110.195312 1782232835.3185
MEM 110.195312 1782232835.4188
MEM 110.199219 1782232835.5191
MEM 110.203125 1782232835.6195
MEM 110.207031 1782232835.7198
MEM 110.210938 1782232835.8202
MEM 110.214844 1782232835.9205
MEM 110.214844 1782232836.0209
MEM 110.214844 1782232836.1212
MEM 110.214844 1782232836.2216
MEM 110.214844 1782232836.3220
MEM 110.214844 1782232836.4224
MEM 110.214844 1782232836.5227
MEM 110.218750 1782232836.6231
MEM 110.222656 1782232836.7234
MEM 110.226562 1782232836.8237
MEM 110.226562 1782232836.9241
MEM 110.226562 1782232837.0244
MEM 110.226562 1782232837.1248
MEM 110.226562 1782232837.2251
MEM 110.226562 1782232837.3254
MEM 110.226562 1782232837.4258
MEM 110.226562 1782232837.5261
MEM 110.226562 1782232837.6264
MEM 110.226562 1782232837.7268
MEM 110.226562 1782232837.8271
MEM 110.226562 1782232837.9275
MEM 110.226562 1782232838.0278
MEM 110.226562 1782232838.1282
MEM 110.226562 1782232838.2285
MEM 110.226562 1782232838.3289
MEM 110.226562 1782232838.4292
