CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.269531 1782231557.6004
MEM 26.503906 1782231557.7007
MEM 41.410156 1782231557.8013
MEM 54.617188 1782231557.9043
MEM 65.062500 1782231558.0046
MEM 78.617188 1782231558.1049
MEM 89.972656 1782231558.2052
MEM 96.855469 1782231558.3056
MEM 97.527344 1782231558.4058
MEM 97.703125 1782231558.5061
MEM 97.707031 1782231558.6063
MEM 98.128906 1782231558.7065
MEM 102.664062 1782231558.8068
MEM 106.628906 1782231558.9070
MEM 110.699219 1782231559.0073
MEM 111.585938 1782231559.1075
MEM 114.902344 1782231559.2079
MEM 115.500000 1782231559.3082
MEM 115.906250 1782231559.4085
MEM 115.960938 1782231559.5089
MEM 116.003906 1782231559.6093
MEM 116.031250 1782231559.7096
MEM 112.050781 1782231559.8099
