CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1782253874.8958
MEM 25.933594 1782253874.9961
MEM 34.597656 1782253875.0964
MEM 54.187500 1782253875.1979
MEM 65.851562 1782253875.2982
MEM 78.695312 1782253875.3985
MEM 90.351562 1782253875.4988
MEM 97.335938 1782253875.5990
MEM 97.414062 1782253875.6993
MEM 97.500000 1782253875.7996
MEM 97.929688 1782253875.8999
MEM 102.066406 1782253876.0002
MEM 105.539062 1782253876.1005
MEM 110.050781 1782253876.2009
MEM 111.031250 1782253876.3012
MEM 114.320312 1782253876.4016
MEM 115.496094 1782253876.5020
MEM 115.949219 1782253876.6023
MEM 116.031250 1782253876.7026
MEM 116.074219 1782253876.8030
MEM 116.117188 1782253876.9033
MEM 116.144531 1782253877.0037
