CMDLINE /opt/hostedtoolcache/Python/3.12.13/x64/bin/python profile_heterodimerization_small.py
MEM 0.261719 1782918929.7568
MEM 26.304688 1782918929.8571
MEM 41.363281 1782918929.9581
MEM 54.890625 1782918930.0584
MEM 69.105469 1782918930.1586
MEM 84.761719 1782918930.2590
MEM 96.445312 1782918930.3592
MEM 97.214844 1782918930.4595
MEM 97.335938 1782918930.5598
MEM 97.582031 1782918930.6601
MEM 101.402344 1782918930.7603
MEM 105.589844 1782918930.8607
MEM 109.855469 1782918930.9611
MEM 110.832031 1782918931.0614
MEM 114.503906 1782918931.1617
MEM 115.152344 1782918931.2621
MEM 115.332031 1782918931.3625
MEM 115.527344 1782918931.4628
MEM 115.644531 1782918931.5631
MEM 115.683594 1782918931.6635
MEM 114.089844 1782918931.7638
